# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_1/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31
# plane	POL=3		POL=3		POL=4		POL=4		POL=2		POL=0		POL=1		POL=2		POL=1		POL=4		POL=2		POL=2		POL=5		POL=1		POL=3		POL=4		POL=1		POL=3		POL=5		POL=2		POL=3		POL=3		POL=3		POL=0		POL=2		POL=4		POL=2		POL=4		POL=4		POL=5		POL=2	
1	2.758e+04	1.661e+02	7.434e+04	2.726e+02	6.456e+04	2.541e+02	2.648e+04	1.627e+02	1.902e+04	1.379e+02	1.112e+04	1.054e+02	2.381e+04	1.543e+02	5.262e+04	2.294e+02	1.464e+04	1.210e+02	2.478e+04	1.574e+02	1.464e+04	1.210e+02	2.765e+04	1.663e+02	1.173e+04	1.083e+02	2.228e+04	1.493e+02	2.414e+04	1.554e+02	9.168e+03	9.575e+01	1.178e+04	1.085e+02	3.732e+04	1.932e+02	1.350e+04	1.162e+02	4.235e+04	2.058e+02	1.101e+04	1.049e+02	1.746e+04	1.321e+02	2.277e+04	1.509e+02	8.809e+03	9.386e+01	2.062e+04	1.436e+02	8.267e+03	9.092e+01	9.089e+03	9.534e+01	2.021e+04	1.422e+02	1.382e+04	1.176e+02	1.959e+04	1.400e+02	6.986e+03	8.358e+01
2	2.618e+04	1.618e+02	7.043e+04	2.654e+02	6.258e+04	2.501e+02	2.528e+04	1.590e+02	1.820e+04	1.349e+02	1.091e+04	1.044e+02	2.099e+04	1.449e+02	5.208e+04	2.282e+02	1.527e+04	1.236e+02	2.639e+04	1.624e+02	1.412e+04	1.188e+02	2.534e+04	1.592e+02	1.136e+04	1.066e+02	2.102e+04	1.450e+02	2.361e+04	1.537e+02	7.945e+03	8.913e+01	1.049e+04	1.024e+02	3.695e+04	1.922e+02	1.465e+04	1.210e+02	3.939e+04	1.985e+02	9.692e+03	9.845e+01	1.560e+04	1.249e+02	2.142e+04	1.464e+02	1.115e+04	1.056e+02	1.732e+04	1.316e+02	7.107e+03	8.430e+01	8.810e+03	9.386e+01	1.972e+04	1.404e+02	1.469e+04	1.212e+02	1.823e+04	1.350e+02	6.961e+03	8.343e+01
3	2.753e+04	1.659e+02	6.716e+04	2.591e+02	6.417e+04	2.533e+02	2.757e+04	1.660e+02	1.978e+04	1.407e+02	9.082e+03	9.530e+01	2.193e+04	1.481e+02	4.465e+04	2.113e+02	1.401e+04	1.184e+02	2.744e+04	1.656e+02	1.264e+04	1.124e+02	2.615e+04	1.617e+02	1.231e+04	1.109e+02	2.128e+04	1.459e+02	2.262e+04	1.504e+02	7.057e+03	8.401e+01	1.313e+04	1.146e+02	3.659e+04	1.913e+02	1.586e+04	1.259e+02	3.622e+04	1.903e+02	9.856e+03	9.928e+01	1.410e+04	1.187e+02	2.114e+04	1.454e+02	1.165e+04	1.079e+02	1.676e+04	1.295e+02	7.012e+03	8.374e+01	9.309e+03	9.648e+01	1.753e+04	1.324e+02	1.618e+04	1.272e+02	1.813e+04	1.346e+02	1.055e+04	1.027e+02
4	2.729e+04	1.652e+02	6.978e+04	2.642e+02	6.659e+04	2.581e+02	2.708e+04	1.645e+02	1.855e+04	1.362e+02	8.302e+03	9.112e+01	1.946e+04	1.395e+02	4.633e+04	2.153e+02	1.370e+04	1.171e+02	2.772e+04	1.665e+02	1.575e+04	1.255e+02	2.675e+04	1.636e+02	1.414e+04	1.189e+02	2.086e+04	1.444e+02	2.410e+04	1.552e+02	5.633e+03	7.505e+01	1.346e+04	1.160e+02	3.394e+04	1.842e+02	1.702e+04	1.305e+02	3.959e+04	1.990e+02	9.596e+03	9.796e+01	1.462e+04	1.209e+02	1.953e+04	1.397e+02	1.060e+04	1.030e+02	1.791e+04	1.338e+02	6.681e+03	8.174e+01	8.576e+03	9.261e+01	1.693e+04	1.301e+02	1.567e+04	1.252e+02	1.619e+04	1.272e+02	1.033e+04	1.016e+02
5	2.766e+04	1.663e+02	6.834e+04	2.614e+02	6.609e+04	2.571e+02	2.715e+04	1.648e+02	1.785e+04	1.336e+02	8.066e+03	8.981e+01	1.902e+04	1.379e+02	4.559e+04	2.135e+02	1.446e+04	1.202e+02	2.866e+04	1.693e+02	1.501e+04	1.225e+02	2.643e+04	1.626e+02	1.410e+04	1.188e+02	2.066e+04	1.437e+02	2.445e+04	1.564e+02	5.647e+03	7.515e+01	1.420e+04	1.192e+02	3.360e+04	1.833e+02	1.859e+04	1.363e+02	3.698e+04	1.923e+02	9.287e+03	9.637e+01	1.316e+04	1.147e+02	1.902e+04	1.379e+02	1.060e+04	1.030e+02	1.666e+04	1.291e+02	6.388e+03	7.992e+01	8.674e+03	9.313e+01	1.721e+04	1.312e+02	1.599e+04	1.264e+02	1.583e+04	1.258e+02	1.060e+04	1.029e+02
6	2.790e+04	1.670e+02	6.792e+04	2.606e+02	6.510e+04	2.552e+02	2.764e+04	1.663e+02	1.763e+04	1.328e+02	7.923e+03	8.901e+01	1.829e+04	1.352e+02	4.528e+04	2.128e+02	1.416e+04	1.190e+02	2.974e+04	1.725e+02	1.384e+04	1.176e+02	2.568e+04	1.603e+02	1.442e+04	1.201e+02	2.062e+04	1.436e+02	2.552e+04	1.598e+02	5.266e+03	7.257e+01	1.370e+04	1.170e+02	3.171e+04	1.781e+02	1.802e+04	1.342e+02	3.583e+04	1.893e+02	8.512e+03	9.226e+01	1.298e+04	1.139e+02	1.775e+04	1.332e+02	1.072e+04	1.035e+02	1.705e+04	1.306e+02	6.130e+03	7.829e+01	8.283e+03	9.101e+01	1.652e+04	1.285e+02	1.630e+04	1.277e+02	1.581e+04	1.257e+02	1.056e+04	1.027e+02
7	2.874e+04	1.695e+02	6.562e+04	2.562e+02	6.446e+04	2.539e+02	2.777e+04	1.666e+02	1.753e+04	1.324e+02	7.757e+03	8.807e+01	1.824e+04	1.350e+02	4.384e+04	2.094e+02	1.357e+04	1.165e+02	3.051e+04	1.747e+02	1.383e+04	1.176e+02	2.557e+04	1.599e+02	1.389e+04	1.179e+02	2.038e+04	1.428e+02	2.641e+04	1.625e+02	4.873e+03	6.981e+01	1.409e+04	1.187e+02	3.077e+04	1.754e+02	1.818e+04	1.348e+02	3.473e+04	1.864e+02	7.842e+03	8.856e+01	1.210e+04	1.100e+02	1.711e+04	1.308e+02	1.080e+04	1.039e+02	1.641e+04	1.281e+02	5.956e+03	7.718e+01	8.086e+03	8.992e+01	1.522e+04	1.234e+02	1.656e+04	1.287e+02	1.514e+04	1.230e+02	1.113e+04	1.055e+02
8	2.928e+04	1.711e+02	6.557e+04	2.561e+02	6.352e+04	2.520e+02	2.824e+04	1.680e+02	1.700e+04	1.304e+02	7.565e+03	8.698e+01	1.813e+04	1.346e+02	4.320e+04	2.078e+02	1.333e+04	1.155e+02	3.082e+04	1.755e+02	1.321e+04	1.149e+02	2.550e+04	1.597e+02	1.381e+04	1.175e+02	2.098e+04	1.448e+02	2.633e+04	1.623e+02	4.899e+03	6.999e+01	1.459e+04	1.208e+02	2.928e+04	1.711e+02	1.869e+04	1.367e+02	3.242e+04	1.800e+02	7.501e+03	8.661e+01	1.182e+04	1.087e+02	1.580e+04	1.257e+02	1.078e+04	1.038e+02	1.549e+04	1.245e+02	5.873e+03	7.664e+01	8.126e+03	9.014e+01	1.465e+04	1.210e+02	1.640e+04	1.281e+02	1.523e+04	1.234e+02	1.125e+04	1.061e+02
9	2.964e+04	1.721e+02	6.528e+04	2.555e+02	6.248e+04	2.500e+02	2.865e+04	1.693e+02	1.650e+04	1.284e+02	7.480e+03	8.649e+01	1.801e+04	1.342e+02	4.238e+04	2.059e+02	1.391e+04	1.179e+02	3.143e+04	1.773e+02	1.236e+04	1.112e+02	2.510e+04	1.584e+02	1.362e+04	1.167e+02	2.044e+04	1.430e+02	2.666e+04	1.633e+02	4.668e+03	6.832e+01	1.426e+04	1.194e+02	2.892e+04	1.701e+02	1.783e+04	1.335e+02	3.112e+04	1.764e+02	7.111e+03	8.433e+01	1.113e+04	1.055e+02	1.476e+04	1.215e+02	1.062e+04	1.030e+02	1.456e+04	1.207e+02	5.652e+03	7.518e+01	8.195e+03	9.053e+01	1.458e+04	1.208e+02	1.668e+04	1.292e+02	1.435e+04	1.198e+02	1.140e+04	1.068e+02
10	3.015e+04	1.736e+02	6.405e+04	2.531e+02	6.099e+04	2.470e+02	2.946e+04	1.717e+02	1.629e+04	1.276e+02	7.622e+03	8.730e+01	1.736e+04	1.318e+02	4.224e+04	2.055e+02	1.318e+04	1.148e+02	3.193e+04	1.787e+02	1.252e+04	1.119e+02	2.481e+04	1.575e+02	1.348e+04	1.161e+02	2.080e+04	1.442e+02	2.577e+04	1.605e+02	4.522e+03	6.725e+01	1.502e+04	1.226e+02	2.801e+04	1.674e+02	1.789e+04	1.337e+02	3.063e+04	1.750e+02	6.779e+03	8.233e+01	1.037e+04	1.018e+02	1.489e+04	1.220e+02	1.086e+04	1.042e+02	1.484e+04	1.218e+02	5.557e+03	7.455e+01	7.781e+03	8.821e+01	1.372e+04	1.171e+02	1.690e+04	1.300e+02	1.362e+04	1.167e+02	1.176e+04	1.084e+02
