# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_2/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50	MEAN51	Poiss_E51	MEAN52	Poiss_E52	MEAN53	Poiss_E53	MEAN54	Poiss_E54	MEAN55	Poiss_E55	MEAN56	Poiss_E56	MEAN57	Poiss_E57	MEAN58	Poiss_E58	MEAN59	Poiss_E59	MEAN60	Poiss_E60	MEAN61	Poiss_E61	MEAN62	Poiss_E62	MEAN63	Poiss_E63	MEAN64	Poiss_E64	MEAN65	Poiss_E65	MEAN66	Poiss_E66	MEAN67	Poiss_E67	MEAN68	Poiss_E68	MEAN69	Poiss_E69	MEAN70	Poiss_E70	MEAN71	Poiss_E71
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	0.000e+00	0.000e+00	1.639e+00	1.653e+00	2.326e+00	3.328e+00	7.634e-01	7.663e-01	1.408e+00	1.418e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.709e-01	1.380e+00	6.803e-01	9.653e-01	1.245e+00	1.023e+00	1.370e+00	1.951e+00	0.000e+00	0.000e+00	1.176e+00	1.183e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.128e+00	3.041e+00	0.000e+00	0.000e+00	1.149e+00	1.635e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.000e+00	5.774e+00	0.000e+00	0.000e+00	2.752e+00	2.279e+00	3.937e+00	2.540e+00	1.587e+00	2.263e+00	2.703e+00	3.875e+00	9.174e-01	1.303e+00	0.000e+00	0.000e+00	2.755e-01	3.901e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.219e-01	5.980e-01	0.000e+00	0.000e+00	6.579e-01	6.601e-01	0.000e+00	0.000e+00	6.565e-01	5.378e-01	0.000e+00	0.000e+00	4.348e+00	6.287e+00	1.408e+00	2.006e+00	1.149e+00	1.635e+00	8.163e-01	5.796e-01	2.564e+00	3.674e+00	1.370e+00	1.379e+00	1.923e+00	1.121e+00	1.587e+00	2.263e+00	8.130e-01	1.154e+00	0.000e+00	0.000e+00	2.041e+00	1.684e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.403e-01	1.193e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.752e-01	1.101e+00	1.205e+00	1.714e+00	3.448e+00	3.509e+00	2.469e+00	1.768e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.250e+00	1.258e+00	0.000e+00	0.000e+00	1.124e+00	1.598e+00	7.752e-01	1.101e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2	0.000e+00	0.000e+00	1.235e+00	1.242e+00	0.000e+00	0.000e+00	1.186e+00	9.740e-01	6.135e-01	8.703e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.515e+00	1.080e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.926e-01	6.984e-01	1.075e+00	1.529e+00	0.000e+00	0.000e+00	4.348e+00	6.287e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.326e+00	3.328e+00	1.852e+00	1.869e+00	1.389e+00	1.399e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.923e+00	1.942e+00	1.266e+00	1.802e+00	8.043e-01	6.594e-01	1.176e+00	1.674e+00	0.000e+00	0.000e+00	1.754e+00	1.445e+00	1.852e+00	1.869e+00	1.695e+00	1.081e+00	1.266e+00	1.802e+00	7.673e-01	6.289e-01	2.128e+00	3.041e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.614e+00	3.006e+00	4.255e-01	4.264e-01	0.000e+00	0.000e+00	1.935e+00	1.596e+00	6.289e-01	6.309e-01	2.222e+00	3.178e+00	1.639e+00	2.338e+00	0.000e+00	0.000e+00	1.775e+00	1.462e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.639e+00	1.653e+00	1.786e+00	1.802e+00	1.695e+00	2.418e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.149e+00	1.635e+00	0.000e+00	0.000e+00	1.538e+00	2.193e+00	1.389e+00	1.399e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.523e+00	1.253e+00	0.000e+00	0.000e+00	9.901e-01	1.407e+00	2.970e+00	2.462e+00	0.000e+00	0.000e+00	2.439e+00	3.492e+00	0.000e+00	0.000e+00	2.564e+00	3.674e+00
3	0.000e+00	0.000e+00	1.695e+00	1.709e+00	0.000e+00	0.000e+00	2.158e+00	1.260e+00	1.408e+00	1.418e+00	2.222e+00	3.178e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.083e+00	2.105e+00	8.475e-01	8.511e-01	1.587e+00	2.263e+00	0.000e+00	0.000e+00	5.917e-01	8.393e-01	1.124e+00	1.598e+00	2.128e+00	2.151e+00	0.000e+00	0.000e+00	5.882e+00	8.575e+00	0.000e+00	0.000e+00	2.564e+00	2.598e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.564e+00	3.674e+00	0.000e+00	0.000e+00	1.887e+00	1.905e+00	7.143e+00	7.412e+00	2.439e+00	3.492e+00	0.000e+00	0.000e+00	2.174e+00	2.198e+00	2.687e+00	1.284e+00	1.053e+00	1.497e+00	0.000e+00	0.000e+00	5.848e-01	8.295e-01	8.130e-01	1.154e+00	7.353e-01	7.380e-01	1.587e+00	2.263e+00	5.780e-01	5.797e-01	1.099e+00	1.563e+00	1.887e+00	2.694e+00	1.493e+00	2.127e+00	2.381e+00	2.410e+00	8.955e-01	7.345e-01	4.167e+00	4.256e+00	5.780e-01	8.198e-01	2.222e+00	1.201e+00	6.667e+00	6.901e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.299e+00	1.307e+00	8.547e-01	1.214e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.149e+00	1.635e+00	0.000e+00	0.000e+00	1.754e+00	2.503e+00	1.176e+00	1.674e+00	2.222e+00	1.835e+00	1.493e+00	2.127e+00	3.297e+00	2.737e+00	2.041e+00	2.916e+00	9.524e-01	1.353e+00	0.000e+00	0.000e+00	3.030e+00	4.352e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.587e+00	2.263e+00	2.256e+00	1.863e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
4	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.231e-01	7.572e-01	1.786e+00	1.802e+00	2.041e+00	2.916e+00	0.000e+00	0.000e+00	4.000e+00	5.774e+00	1.961e+00	2.801e+00	0.000e+00	0.000e+00	8.475e-01	8.511e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.000e-01	1.136e+00	2.500e+00	2.532e+00	1.333e+00	1.898e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.887e+00	2.694e+00	3.448e+00	4.963e+00	0.000e+00	0.000e+00	2.041e+00	2.062e+00	1.923e+00	1.942e+00	1.887e+00	2.694e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.857e+00	2.899e+00	1.099e+00	7.813e-01	9.009e-01	1.280e+00	0.000e+00	0.000e+00	7.092e-01	1.007e+00	1.075e+00	1.529e+00	2.280e+00	1.233e+00	0.000e+00	0.000e+00	2.083e+00	1.216e+00	1.299e+00	1.849e+00	2.564e+00	3.674e+00	0.000e+00	0.000e+00	9.709e-01	1.380e+00	1.897e+00	1.024e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.993e-01	7.018e-01	2.326e+00	3.328e+00	1.961e+00	2.801e+00	0.000e+00	0.000e+00	5.587e-01	7.923e-01	9.709e-01	1.380e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.887e+00	1.905e+00	9.524e-01	1.353e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.099e+00	1.105e+00	2.273e+00	2.299e+00	1.266e+00	1.802e+00	1.266e+00	1.802e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.149e+00	1.635e+00	2.273e+00	2.299e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5	5.882e+00	8.575e+00	1.724e+00	1.739e+00	0.000e+00	0.000e+00	1.779e+00	1.136e+00	7.519e-01	1.067e+00	3.226e+00	4.637e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.264e-01	1.174e+00	0.000e+00	0.000e+00	1.408e+00	2.006e+00	0.000e+00	0.000e+00	6.897e-01	9.787e-01	1.370e+00	1.951e+00	1.408e+00	2.006e+00	7.692e+00	1.132e+01	3.704e+00	5.338e+00	1.408e+00	2.006e+00	0.000e+00	0.000e+00	1.370e+00	1.951e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.709e-01	1.380e+00	1.333e+00	1.898e+00	2.041e+00	2.916e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.754e+00	2.503e+00	1.333e+00	8.490e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.176e+00	1.183e+00	2.128e+00	2.151e+00	1.107e+00	9.089e-01	1.333e+00	1.898e+00	6.757e-01	6.780e-01	1.053e+00	1.497e+00	0.000e+00	0.000e+00	1.587e+00	2.263e+00	3.448e+00	2.865e+00	8.403e-01	6.890e-01	0.000e+00	0.000e+00	9.009e-01	1.280e+00	1.429e+00	1.017e+00	0.000e+00	0.000e+00	1.408e+00	2.006e+00	4.545e+00	4.652e+00	1.734e+00	1.428e+00	9.174e-01	1.303e+00	1.408e+00	2.006e+00	0.000e+00	0.000e+00	9.709e-01	1.380e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.695e+00	2.418e+00	1.370e+00	1.379e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.235e+00	1.242e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.696e-01	1.235e+00	3.030e+00	4.352e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6	0.000e+00	0.000e+00	8.850e-01	1.257e+00	4.000e+00	5.774e+00	1.887e+00	1.100e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.041e+00	2.916e+00	2.041e+00	2.062e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.538e+00	1.550e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.519e-01	1.067e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.696e-01	1.235e+00	4.545e+00	4.652e+00	0.000e+00	0.000e+00	7.634e-01	1.084e+00	0.000e+00	0.000e+00	1.754e+00	1.022e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.587e-01	7.923e-01	1.099e+00	1.563e+00	1.873e+00	1.196e+00	0.000e+00	0.000e+00	1.399e+00	9.959e-01	2.128e+00	3.041e+00	0.000e+00	0.000e+00	1.818e+00	2.595e+00	2.521e+00	2.085e+00	1.799e+00	9.706e-01	0.000e+00	0.000e+00	1.786e+00	1.802e+00	1.342e+00	9.556e-01	0.000e+00	0.000e+00	1.149e+00	1.635e+00	0.000e+00	0.000e+00	2.564e+00	1.837e+00	0.000e+00	0.000e+00	1.370e+00	1.951e+00	0.000e+00	0.000e+00	9.524e-01	1.353e+00	3.030e+00	2.176e+00	2.128e+00	3.041e+00	0.000e+00	0.000e+00	1.235e+00	1.242e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.346e-01	1.328e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.099e+00	1.563e+00	8.850e-01	1.257e+00	0.000e+00	0.000e+00	2.703e+00	3.875e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7	0.000e+00	0.000e+00	2.128e+00	1.756e+00	4.348e+00	6.287e+00	1.942e+00	9.804e-01	8.403e-01	1.193e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.571e+00	3.637e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.158e+00	2.620e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.009e-01	1.280e+00	2.041e+00	2.062e+00	0.000e+00	0.000e+00	2.857e+00	4.100e+00	2.703e+00	2.740e+00	7.874e-01	1.118e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.211e-01	8.811e-01	3.448e+00	3.509e+00	1.071e+00	6.808e-01	9.709e-01	1.380e+00	0.000e+00	0.000e+00	5.128e-01	7.271e-01	1.818e+00	2.595e+00	1.235e+00	8.784e-01	1.818e+00	2.595e+00	1.068e+00	8.764e-01	2.703e+00	2.740e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.307e+00	9.304e-01	0.000e+00	0.000e+00	7.299e-01	1.036e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.235e+00	1.242e+00	2.069e+00	1.707e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.695e+00	1.709e+00	0.000e+00	0.000e+00	5.263e+00	5.407e+00	0.000e+00	0.000e+00	1.299e+00	1.307e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.348e+00	4.446e+00	8.130e-01	1.154e+00	2.857e+00	4.100e+00	0.000e+00	0.000e+00	7.752e-01	1.101e+00	0.000e+00	0.000e+00	3.509e+00	2.526e+00	0.000e+00	0.000e+00	2.041e+00	2.916e+00	2.326e+00	3.328e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.405e-01	5.420e-01	1.667e+00	1.681e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.031e+00	1.466e+00	1.299e+00	1.067e+00	0.000e+00	0.000e+00	2.778e+00	2.817e+00	3.067e+00	1.971e+00	0.000e+00	0.000e+00	9.901e-01	1.407e+00	2.564e+00	3.674e+00	0.000e+00	0.000e+00	1.266e+00	1.802e+00	0.000e+00	0.000e+00	1.149e+00	1.635e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.874e-01	1.118e+00	0.000e+00	0.000e+00	1.828e+00	9.860e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.262e+00	1.447e+00	0.000e+00	0.000e+00	3.460e-01	4.902e-01	3.571e+00	3.637e+00	8.065e-01	8.097e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.130e-01	1.154e+00	2.674e+00	1.212e+00	0.000e+00	0.000e+00	3.759e+00	2.424e+00	6.803e-01	6.826e-01	1.818e+00	2.595e+00	2.564e+00	2.598e+00	1.587e+00	2.263e+00	2.353e+00	1.684e+00	1.370e+00	1.379e+00	0.000e+00	0.000e+00	2.564e+00	3.674e+00	8.547e-01	1.214e+00	3.448e+00	3.509e+00	0.000e+00	0.000e+00	9.524e-01	1.353e+00	3.125e+00	2.245e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.711e-01	9.523e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.709e-01	1.380e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.143e+00	7.412e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9	0.000e+00	0.000e+00	1.515e+00	1.527e+00	0.000e+00	0.000e+00	1.117e+00	7.945e-01	8.403e-01	1.193e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.695e+00	1.209e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.092e-01	1.007e+00	1.639e+00	2.338e+00	9.709e-01	1.380e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.266e+00	1.274e+00	0.000e+00	0.000e+00	3.226e+00	4.637e+00	3.448e+00	4.963e+00	7.299e-01	1.036e+00	9.346e-01	1.328e+00	0.000e+00	0.000e+00	2.222e+00	3.178e+00	6.369e-01	9.037e-01	0.000e+00	0.000e+00	9.174e-01	6.517e-01	8.850e-01	1.257e+00	0.000e+00	0.000e+00	4.695e-01	6.655e-01	1.299e+00	1.849e+00	1.597e+00	1.018e+00	1.493e+00	2.127e+00	2.190e+00	1.278e+00	3.846e+00	3.922e+00	0.000e+00	0.000e+00	5.882e+00	3.835e+00	0.000e+00	0.000e+00	1.149e+00	8.175e-01	0.000e+00	0.000e+00	3.125e+00	2.245e+00	6.897e-01	6.920e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.222e+00	2.247e+00	0.000e+00	0.000e+00	1.250e+00	1.258e+00	1.449e+00	2.065e+00	0.000e+00	0.000e+00	3.797e+00	3.161e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.149e+00	1.635e+00	2.941e+00	2.111e+00	0.000e+00	0.000e+00	1.235e+00	1.757e+00	3.571e+00	3.637e+00	8.547e-01	1.214e+00	0.000e+00	0.000e+00	3.448e+00	4.963e+00	6.061e-01	8.597e-01	0.000e+00	0.000e+00	1.235e+00	1.757e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.222e+00	3.178e+00	0.000e+00	0.000e+00	4.762e+00	6.901e+00
10	0.000e+00	0.000e+00	1.515e+00	1.527e+00	0.000e+00	0.000e+00	1.435e+00	8.347e-01	6.135e-01	8.703e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.519e-01	1.067e+00	1.802e+00	1.286e+00	0.000e+00	0.000e+00	2.041e+00	2.916e+00	6.623e-01	9.397e-01	1.587e+00	2.263e+00	4.202e+00	2.715e+00	0.000e+00	0.000e+00	4.348e+00	6.287e+00	1.149e+00	1.635e+00	1.408e+00	1.158e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.000e+00	5.774e+00	1.852e+00	1.869e+00	1.075e+00	1.529e+00	3.226e+00	3.279e+00	2.128e+00	3.041e+00	6.536e-01	9.274e-01	2.128e+00	3.041e+00	1.085e+00	6.897e-01	1.667e+00	1.681e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.538e+00	2.193e+00	2.208e+00	1.194e+00	4.167e+00	4.256e+00	2.041e+00	1.190e+00	3.030e+00	3.077e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.093e+00	2.565e+00	5.848e-01	5.865e-01	2.273e+00	2.299e+00	6.803e-01	9.653e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.235e+00	1.757e+00	0.000e+00	0.000e+00	4.651e-01	6.593e-01	6.711e-01	9.523e-01	2.326e+00	2.353e+00	2.439e+00	3.492e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.400e+00	1.984e+00	0.000e+00	0.000e+00	1.124e+00	1.598e+00	3.846e+00	3.922e+00	1.370e+00	1.379e+00	9.091e+00	9.535e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.547e-01	1.214e+00	7.519e-01	1.067e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
