# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_2/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50	MEAN51	Poiss_E51	MEAN52	Poiss_E52	MEAN53	Poiss_E53	MEAN54	Poiss_E54	MEAN55	Poiss_E55	MEAN56	Poiss_E56	MEAN57	Poiss_E57	MEAN58	Poiss_E58	MEAN59	Poiss_E59	MEAN60	Poiss_E60	MEAN61	Poiss_E61	MEAN62	Poiss_E62	MEAN63	Poiss_E63	MEAN64	Poiss_E64	MEAN65	Poiss_E65	MEAN66	Poiss_E66	MEAN67	Poiss_E67	MEAN68	Poiss_E68	MEAN69	Poiss_E69	MEAN70	Poiss_E70	MEAN71	Poiss_E71
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	0.000e+00	0.000e+00	5.525e-01	5.533e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.714e-01	8.093e-01	4.950e-01	7.010e-01	3.846e-01	3.850e-01	5.319e-01	7.532e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.268e-01	4.625e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.263e-01	7.453e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.128e+00	3.025e+00	1.587e+00	2.254e+00	6.579e-01	9.319e-01	3.484e-01	4.932e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.587e-01	6.495e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.333e-01	4.718e-01	5.882e+00	8.448e+00	1.852e-01	2.620e-01	5.236e-01	7.414e-01	1.675e-01	2.370e-01	0.000e+00	0.000e+00	5.872e-01	3.144e-01	6.410e-01	9.080e-01	2.381e+00	3.388e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.456e-01	2.920e-01	0.000e+00	0.000e+00	2.183e-01	3.089e-01	6.723e-01	4.762e-01	9.346e-01	1.325e+00	0.000e+00	0.000e+00	5.000e-01	7.080e-01	0.000e+00	0.000e+00	4.065e-01	5.755e-01	4.184e-01	5.923e-01	2.653e-01	3.754e-01	2.646e-01	3.744e-01	0.000e+00	0.000e+00	7.752e-01	1.098e+00	8.403e-01	1.191e+00	3.521e-01	4.984e-01	8.043e-01	6.580e-01	0.000e+00	0.000e+00	1.117e+00	1.120e+00	1.392e+00	8.066e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.167e-01	5.899e-01	2.857e+00	2.878e+00	9.677e-01	7.921e-01	5.780e-01	4.726e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.944e-01	6.957e-01	1.020e+00	8.353e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.429e+00	2.028e+00	2.190e+00	1.798e+00	0.000e+00	0.000e+00	7.005e-01	4.962e-01	0.000e+00	0.000e+00	2.013e+00	1.652e+00	5.747e-01	5.755e-01	7.273e-01	7.286e-01	2.890e-01	4.090e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.435e-01	7.696e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.756e-01	9.780e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.457e-01	3.477e-01	0.000e+00	0.000e+00	1.538e-01	2.177e-01	5.348e-01	7.573e-01	1.854e-01	1.854e-01	6.211e-01	8.798e-01	2.128e+00	3.025e+00	0.000e+00	0.000e+00	8.696e-01	8.715e-01	1.692e-01	1.693e-01	8.889e-01	8.909e-01	0.000e+00	0.000e+00	1.689e-01	2.390e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.484e-01	6.349e-01	9.804e-01	9.828e-01	0.000e+00	0.000e+00	3.257e-01	4.610e-01	1.471e+00	2.087e+00	5.025e-01	7.116e-01	1.212e+00	1.216e+00	6.042e-01	6.051e-01	3.003e-01	4.250e-01	4.065e-01	5.755e-01	1.105e+00	1.108e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.525e-01	7.824e-01	0.000e+00	0.000e+00	7.937e-01	7.952e-01	4.425e-01	4.430e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.091e-01	1.289e+00
3	4.762e+00	6.818e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.378e-01	4.782e-01	3.759e-01	5.322e-01	0.000e+00	0.000e+00	1.667e+00	2.367e+00	1.961e+00	2.787e+00	0.000e+00	0.000e+00	8.734e-01	8.753e-01	5.042e-01	4.122e-01	1.170e+00	1.173e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.065e-01	8.081e-01	0.000e+00	0.000e+00	3.390e+00	3.419e+00	0.000e+00	0.000e+00	4.425e-01	6.265e-01	4.808e-01	6.807e-01	6.494e-01	9.198e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.155e-01	7.299e-01	6.024e-01	8.532e-01	3.571e+00	3.604e+00	3.788e-01	5.362e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.141e+00	9.340e-01	0.000e+00	0.000e+00	5.155e-01	5.161e-01	2.449e+00	1.423e+00	4.785e-01	3.911e-01	8.621e-01	8.639e-01	3.534e-01	2.888e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.018e-01	1.441e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.333e-01	1.181e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.096e-01	4.382e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.968e-01	5.618e-01	1.068e+00	8.741e-01	0.000e+00	0.000e+00	6.098e-01	8.636e-01	1.399e+00	1.404e+00	0.000e+00	0.000e+00	7.380e-01	7.394e-01	8.850e-01	8.869e-01	0.000e+00	0.000e+00	7.246e-01	5.927e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.211e-01	8.798e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.564e-01	3.629e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.099e+00	1.558e+00
4	0.000e+00	0.000e+00	6.024e-01	6.033e-01	0.000e+00	0.000e+00	1.479e+00	9.391e-01	3.817e-01	5.403e-01	9.346e-01	1.325e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.993e-01	9.907e-01	0.000e+00	0.000e+00	1.689e-01	2.390e-01	2.069e+00	1.698e+00	5.376e-01	7.614e-01	5.917e-01	5.926e-01	4.167e-01	5.899e-01	6.557e-01	6.568e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.076e-01	7.188e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.987e+00	1.630e+00	2.000e+00	2.843e+00	3.650e-01	5.166e-01	0.000e+00	0.000e+00	4.016e-01	5.685e-01	7.722e-01	7.737e-01	0.000e+00	0.000e+00	5.236e-01	5.242e-01	0.000e+00	0.000e+00	5.671e-01	4.637e-01	5.747e-01	8.139e-01	7.205e-01	4.565e-01	5.435e-01	7.696e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.937e-01	3.976e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.647e-01	2.331e-01	0.000e+00	0.000e+00	7.407e-01	1.050e+00	0.000e+00	0.000e+00	3.115e-01	4.409e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.546e-01	5.019e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.865e-01	5.874e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.429e+00	1.171e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.288e+00	1.055e+00	4.751e-01	4.756e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.408e+00	1.999e+00
5	6.667e+00	6.785e+00	8.130e-01	6.652e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.587e+00	2.254e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.058e+00	1.061e+00	1.880e-01	2.660e-01	0.000e+00	0.000e+00	5.525e-01	7.824e-01	6.849e-01	6.861e-01	1.010e+00	1.013e+00	0.000e+00	0.000e+00	1.515e+00	2.151e+00	0.000e+00	0.000e+00	1.036e+00	1.039e+00	5.155e-01	7.299e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.143e-01	1.012e+00	0.000e+00	0.000e+00	7.634e-01	1.082e+00	0.000e+00	0.000e+00	3.584e-01	5.073e-01	9.615e-01	1.363e+00	7.634e-01	7.648e-01	7.353e-01	7.367e-01	0.000e+00	0.000e+00	2.817e-01	3.987e-01	4.444e-01	6.292e-01	6.734e-01	4.770e-01	5.102e-01	7.225e-01	1.427e-01	2.018e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.299e-01	8.316e-01	7.001e-01	4.049e-01	0.000e+00	0.000e+00	3.058e-01	4.328e-01	3.339e-01	3.342e-01	8.475e-01	1.201e+00	1.389e+00	1.394e+00	6.410e-01	9.080e-01	2.994e-01	4.237e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.092e-01	1.005e+00	6.289e-01	6.299e-01	1.176e+00	9.634e-01	1.271e+00	1.041e+00	4.545e-01	6.436e-01	0.000e+00	0.000e+00	1.613e+00	2.290e+00	0.000e+00	0.000e+00	5.405e-01	7.655e-01	0.000e+00	0.000e+00	4.717e-01	6.679e-01	8.403e-01	6.876e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
6	0.000e+00	0.000e+00	6.601e-01	6.612e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.020e+00	1.023e+00	0.000e+00	0.000e+00	1.235e+00	1.751e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.587e+00	1.301e+00	3.540e-01	3.543e-01	0.000e+00	0.000e+00	5.587e-01	7.912e-01	6.803e-01	6.814e-01	0.000e+00	0.000e+00	3.049e-01	4.315e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.882e-01	8.331e-01	0.000e+00	0.000e+00	5.917e-01	8.381e-01	3.030e+00	3.054e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.812e-01	1.107e+00	2.586e+00	2.126e+00	0.000e+00	0.000e+00	7.547e-01	7.562e-01	1.099e+00	1.558e+00	9.050e-01	9.070e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.985e-01	4.225e-01	0.000e+00	0.000e+00	3.082e-01	3.084e-01	6.173e-01	8.743e-01	4.418e-01	3.611e-01	8.333e-01	1.181e+00	0.000e+00	0.000e+00	1.020e+00	1.023e+00	1.181e+00	9.672e-01	6.920e-01	4.002e-01	0.000e+00	0.000e+00	6.116e-01	6.126e-01	1.684e-01	2.382e-01	0.000e+00	0.000e+00	6.135e-01	8.690e-01	0.000e+00	0.000e+00	7.018e-01	7.030e-01	0.000e+00	0.000e+00	6.667e-01	9.444e-01	8.264e-01	1.171e+00	3.509e-01	4.967e-01	1.333e+00	1.892e+00	7.143e-01	1.012e+00	0.000e+00	0.000e+00	3.135e-01	4.437e-01	3.676e-01	5.204e-01	1.170e+00	1.173e+00	9.217e-01	9.238e-01	2.833e-01	4.009e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.378e-01	4.782e-01	1.013e+00	7.179e-01	1.031e+00	1.462e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.571e+00	3.604e+00
7	0.000e+00	0.000e+00	3.226e-01	4.566e-01	0.000e+00	0.000e+00	5.038e-01	5.044e-01	0.000e+00	0.000e+00	1.389e+00	1.971e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.053e+00	1.055e+00	1.015e+00	1.018e+00	4.090e-01	4.094e-01	0.000e+00	0.000e+00	5.464e-01	7.739e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.597e-01	3.676e-01	3.030e+00	3.054e+00	1.961e+00	2.787e+00	5.102e-01	7.225e-01	5.780e-01	8.187e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.536e-01	9.258e-01	7.246e-01	1.027e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.236e-01	4.580e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.077e-01	5.253e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.788e-01	5.362e-01	4.592e-01	3.251e-01	3.484e-01	4.932e-01	2.933e-01	4.150e-01	4.552e-01	3.721e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.124e+00	7.968e-01	8.929e-01	7.307e-01	7.353e-01	1.042e+00	7.092e-01	1.005e+00	0.000e+00	0.000e+00	3.571e+00	3.604e+00	1.923e+00	1.932e+00	6.289e-01	8.908e-01	1.394e+00	9.890e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.309e-01	6.319e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.250e-01	6.260e-01	2.242e-01	3.173e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
8	0.000e+00	0.000e+00	6.006e-01	6.015e-01	0.000e+00	0.000e+00	5.195e-01	5.202e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.220e+00	1.730e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.376e-01	4.396e-01	0.000e+00	0.000e+00	5.747e-01	8.139e-01	3.846e-01	5.445e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	6.024e-01	8.532e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.632e+00	1.873e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.176e+00	9.634e-01	1.961e+00	2.787e+00	1.384e+00	9.821e-01	3.906e-01	5.530e-01	0.000e+00	0.000e+00	7.653e-01	6.261e-01	1.136e+00	1.140e+00	3.478e-01	3.481e-01	0.000e+00	0.000e+00	6.885e-01	4.877e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.667e+00	1.367e+00	0.000e+00	0.000e+00	3.695e-01	3.019e-01	0.000e+00	0.000e+00	1.258e+00	8.923e-01	1.667e-01	2.358e-01	0.000e+00	0.000e+00	6.289e-01	8.908e-01	0.000e+00	0.000e+00	5.952e-01	5.961e-01	9.740e-01	7.972e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.724e+00	2.449e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.812e-01	7.828e-01	3.521e-01	4.984e-01	5.236e-01	7.414e-01	4.717e-01	6.679e-01	3.096e-01	4.382e-01	3.922e+00	3.961e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.559e-01	5.037e-01	7.481e-01	6.120e-01	1.250e+00	1.773e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.264e-01	1.171e+00	0.000e+00	0.000e+00	1.176e+00	1.669e+00	0.000e+00	0.000e+00	6.410e-01	9.080e-01	5.405e-01	7.655e-01	3.419e-01	3.422e-01	8.547e-01	1.211e+00	5.525e-01	7.824e-01	8.230e-01	8.248e-01	5.435e-01	7.696e-01	1.027e+00	8.410e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.587e-01	6.495e-01	4.950e-01	7.010e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.623e-01	5.129e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.425e-01	4.847e-01	0.000e+00	0.000e+00	9.780e-01	6.933e-01	5.291e-01	7.493e-01	6.515e-01	4.614e-01	7.692e-01	1.090e+00	5.085e-01	4.157e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.525e-01	7.824e-01	1.095e+00	8.964e-01	5.945e-01	3.766e-01	0.000e+00	0.000e+00	3.497e-01	4.949e-01	1.661e-01	2.350e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.208e-01	7.375e-01	0.000e+00	0.000e+00	6.061e-01	6.070e-01	8.130e-01	1.152e+00	0.000e+00	0.000e+00	6.270e-01	6.279e-01	0.000e+00	0.000e+00	1.923e+00	1.932e+00	2.069e+00	1.698e+00	0.000e+00	0.000e+00	3.623e-01	5.129e-01	4.739e-01	6.710e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.786e+00	2.537e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.519e-01	3.564e-01	0.000e+00	0.000e+00	2.857e+00	2.350e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10	0.000e+00	0.000e+00	9.174e-01	7.508e-01	0.000e+00	0.000e+00	4.695e-01	4.700e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.682e-01	8.047e-01	5.425e-01	4.435e-01	9.901e-01	1.404e+00	5.319e-01	7.532e-01	8.333e-01	8.351e-01	5.650e-01	8.001e-01	6.969e-01	6.981e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.219e-01	5.973e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.576e-01	7.590e-01	2.817e+00	2.837e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.825e-01	3.998e-01	1.149e+00	1.153e+00	5.618e-01	3.978e-01	8.475e-01	1.201e+00	3.810e-01	3.813e-01	6.369e-01	9.022e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.534e-01	5.002e-01	2.513e-01	2.514e-01	1.395e+00	1.143e+00	6.289e-01	6.299e-01	1.543e-01	2.183e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.634e-01	5.642e-01	6.231e-01	6.240e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.937e-01	1.125e+00	1.149e+00	9.412e-01	0.000e+00	0.000e+00	4.673e-01	6.616e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.083e+00	2.962e+00	7.576e-01	7.590e-01	2.625e-01	3.714e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.587e+00	2.254e+00
