# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=0		POL=0		POL=0		POL=0		POL=0	
1	9.326e-01	4.417e-01	9.231e-01	7.572e-01	1.190e+00	1.198e+00	1.252e+00	6.736e-01	0.000e+00	0.000e+00
2	1.972e-01	1.974e-01	1.271e+00	7.386e-01	4.785e-01	6.783e-01	8.876e-01	5.147e-01	0.000e+00	0.000e+00
3	7.326e-01	3.676e-01	8.368e-01	5.942e-01	8.772e-01	8.811e-01	1.087e+00	5.465e-01	8.065e-01	8.097e-01
4	9.159e-01	3.923e-01	1.828e-01	2.588e-01	9.434e-01	9.479e-01	8.772e-01	4.405e-01	3.195e-01	4.525e-01
5	7.539e-01	3.227e-01	1.284e+00	6.910e-01	6.667e-01	6.689e-01	9.307e-01	4.408e-01	1.734e+00	1.010e+00
6	9.734e-01	3.572e-01	6.250e-01	4.433e-01	1.460e+00	1.040e+00	8.163e-01	4.098e-01	2.151e+00	1.087e+00
7	1.061e+00	3.557e-01	1.010e+00	5.427e-01	3.484e-01	4.936e-01	5.505e-01	3.187e-01	7.407e-01	6.071e-01
8	5.099e-01	2.410e-01	5.865e-01	4.159e-01	0.000e+00	0.000e+00	8.432e-01	3.787e-01	7.782e-01	5.524e-01
9	1.135e+00	3.228e-01	1.080e+00	5.121e-01	2.387e-01	3.379e-01	9.820e-01	4.029e-01	1.912e-01	2.707e-01
10	7.449e-01	2.643e-01	4.577e-01	3.244e-01	1.818e+00	1.161e+00	1.384e+00	4.521e-01	9.174e-01	5.829e-01
11	7.673e-01	2.567e-01	9.945e-01	4.711e-01	4.525e-01	4.535e-01	7.655e-01	3.277e-01	8.818e-01	5.602e-01
12	6.112e-01	2.167e-01	7.380e-01	3.704e-01	1.365e+00	7.344e-01	7.761e-01	3.056e-01	4.959e-01	4.059e-01
13	8.529e-01	2.473e-01	1.230e+00	4.679e-01	1.408e+00	7.582e-01	1.185e+00	3.869e-01	1.019e+00	5.474e-01
14	8.951e-01	2.543e-01	1.028e+00	4.052e-01	1.223e+00	6.154e-01	8.850e-01	3.049e-01	1.270e+00	6.834e-01
15	6.817e-01	2.163e-01	4.003e-01	2.537e-01	7.576e-01	5.377e-01	1.115e+00	3.461e-01	6.916e-01	4.389e-01
16	7.483e-01	2.265e-01	1.329e+00	4.461e-01	8.264e-01	5.868e-01	9.228e-01	3.008e-01	1.657e+00	6.823e-01
17	9.408e-01	2.401e-01	7.916e-01	3.244e-01	6.150e-01	3.902e-01	1.303e+00	3.445e-01	1.546e+00	6.363e-01
18	8.926e-01	2.277e-01	8.940e-01	3.394e-01	9.550e-01	5.129e-01	7.561e-01	2.684e-01	7.026e-01	4.071e-01
19	8.696e-01	2.218e-01	7.353e-01	3.013e-01	7.133e-01	4.527e-01	1.139e+00	3.117e-01	7.964e-01	4.274e-01
20	9.745e-01	2.277e-01	1.034e+00	3.373e-01	1.053e+00	5.291e-01	1.063e+00	2.910e-01	1.194e+00	5.123e-01
21	6.689e-01	1.794e-01	1.070e+00	3.319e-01	1.336e+00	5.492e-01	1.000e+00	2.686e-01	4.348e-01	3.081e-01
22	9.560e-01	2.148e-01	9.157e-01	2.984e-01	8.048e-01	4.040e-01	1.220e+00	2.894e-01	9.174e-01	4.345e-01
23	8.740e-01	2.014e-01	8.065e-01	2.699e-01	4.907e-01	3.111e-01	1.236e+00	2.854e-01	1.712e+00	5.923e-01
24	8.954e-01	1.987e-01	8.280e-01	2.771e-01	6.886e-01	3.257e-01	9.557e-01	2.364e-01	1.026e+00	4.863e-01
25	8.529e-01	1.915e-01	7.806e-01	2.612e-01	5.622e-01	3.014e-01	7.946e-01	2.132e-01	1.425e+00	5.239e-01
26	6.877e-01	1.674e-01	9.664e-01	2.747e-01	8.892e-01	3.809e-01	5.244e-01	1.706e-01	4.344e-01	2.753e-01
27	8.003e-01	1.733e-01	8.165e-01	2.418e-01	1.127e+00	4.139e-01	7.768e-01	2.014e-01	1.149e+00	4.370e-01
28	8.006e-01	1.695e-01	8.541e-01	2.426e-01	5.682e-01	2.849e-01	1.081e+00	2.316e-01	6.029e-01	3.233e-01
29	9.165e-01	1.756e-01	8.799e-01	2.362e-01	7.903e-01	3.112e-01	1.064e+00	2.255e-01	1.345e+00	4.392e-01
30	7.801e-01	1.616e-01	6.989e-01	2.115e-01	6.975e-01	2.985e-01	1.068e+00	2.215e-01	9.150e-01	3.474e-01
31	8.757e-01	1.677e-01	7.476e-01	2.081e-01	9.269e-01	3.104e-01	8.525e-01	1.914e-01	6.925e-01	3.108e-01
32	9.105e-01	1.670e-01	1.164e+00	2.555e-01	9.892e-01	3.068e-01	9.156e-01	1.939e-01	8.244e-01	3.247e-01
33	9.697e-01	1.696e-01	1.096e+00	2.563e-01	8.130e-01	3.333e-01	1.072e+00	2.074e-01	6.662e-01	3.151e-01
34	8.211e-01	1.531e-01	9.123e-01	2.160e-01	1.100e+00	3.067e-01	6.978e-01	1.606e-01	4.950e-01	2.481e-01
35	9.977e-01	1.695e-01	1.076e+00	2.483e-01	9.798e-01	3.377e-01	8.089e-01	1.712e-01	9.993e-01	3.667e-01
36	9.287e-01	1.566e-01	1.048e+00	2.222e-01	7.322e-01	2.384e-01	1.023e+00	1.893e-01	5.076e-01	2.399e-01
37	8.177e-01	1.463e-01	7.102e-01	1.810e-01	9.132e-01	2.648e-01	9.794e-01	1.828e-01	7.955e-01	3.019e-01
38	8.184e-01	1.420e-01	1.101e+00	2.215e-01	9.838e-01	2.642e-01	8.312e-01	1.637e-01	7.231e-01	2.743e-01
39	9.108e-01	1.484e-01	8.649e-01	1.896e-01	1.213e+00	2.837e-01	8.923e-01	1.664e-01	4.810e-01	2.273e-01
40	8.948e-01	1.478e-01	7.616e-01	1.854e-01	9.491e-01	2.875e-01	9.334e-01	1.698e-01	8.808e-01	3.230e-01
41	7.824e-01	1.357e-01	9.655e-01	2.045e-01	1.017e+00	2.951e-01	8.842e-01	1.621e-01	8.366e-01	3.068e-01
42	7.771e-01	1.309e-01	8.986e-01	1.970e-01	8.503e-01	2.518e-01	8.684e-01	1.554e-01	9.224e-01	3.179e-01
43	9.415e-01	1.460e-01	1.022e+00	2.035e-01	9.887e-01	2.610e-01	1.065e+00	1.692e-01	9.224e-01	3.179e-01
44	1.193e+00	1.576e-01	9.331e-01	1.914e-01	8.511e-01	2.703e-01	1.038e+00	1.661e-01	7.689e-01	2.504e-01
45	8.129e-01	1.252e-01	1.058e+00	1.927e-01	8.493e-01	2.321e-01	8.931e-01	1.516e-01	9.057e-01	2.476e-01
46	1.120e+00	1.492e-01	1.129e+00	1.961e-01	9.798e-01	2.388e-01	1.069e+00	1.689e-01	1.096e+00	3.057e-01
47	1.083e+00	1.430e-01	1.077e+00	1.914e-01	9.854e-01	2.302e-01	1.034e+00	1.624e-01	8.857e-01	2.682e-01
48	7.878e-01	1.213e-01	1.099e+00	1.939e-01	1.100e+00	2.282e-01	8.310e-01	1.410e-01	9.210e-01	3.002e-01
49	9.870e-01	1.356e-01	8.625e-01	1.683e-01	9.454e-01	2.098e-01	1.122e+00	1.637e-01	7.260e-01	2.576e-01
50	1.012e+00	1.354e-01	1.155e+00	1.950e-01	1.099e+00	2.256e-01	1.091e+00	1.635e-01	8.568e-01	2.656e-01
51	9.400e-01	1.297e-01	1.120e+00	1.904e-01	8.679e-01	2.027e-01	1.003e+00	1.537e-01	1.164e+00	3.129e-01
52	8.385e-01	1.203e-01	8.529e-01	1.605e-01	8.189e-01	1.938e-01	8.846e-01	1.405e-01	1.148e+00	3.085e-01
53	1.060e+00	1.359e-01	8.793e-01	1.640e-01	9.967e-01	2.361e-01	1.089e+00	1.556e-01	1.053e+00	2.647e-01
54	8.891e-01	1.227e-01	9.691e-01	1.722e-01	9.337e-01	2.047e-01	9.779e-01	1.473e-01	1.020e+00	2.845e-01
55	1.031e+00	1.305e-01	1.072e+00	1.771e-01	1.100e+00	1.882e-01	1.022e+00	1.468e-01	1.276e+00	3.161e-01
56	8.860e-01	1.205e-01	9.602e-01	1.719e-01	8.556e-01	2.115e-01	1.096e+00	1.521e-01	9.099e-01	2.401e-01
57	9.606e-01	1.278e-01	1.135e+00	1.877e-01	9.618e-01	2.084e-01	9.532e-01	1.412e-01	9.210e-01	2.671e-01
58	9.755e-01	1.245e-01	1.114e+00	1.806e-01	8.293e-01	1.886e-01	9.417e-01	1.403e-01	1.132e+00	2.891e-01
