# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=0		POL=0		POL=0		POL=0		POL=0	
1	2.847e-01	2.015e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.421e-01	2.423e-01	0.000e+00	0.000e+00
2	3.717e-01	2.353e-01	1.473e-01	2.084e-01	9.868e-01	8.078e-01	3.333e-01	2.724e-01	6.024e-01	6.033e-01
3	3.353e-01	2.123e-01	3.300e-01	3.303e-01	3.096e-01	4.382e-01	3.233e-01	2.642e-01	0.000e+00	0.000e+00
4	3.289e-01	2.082e-01	1.656e-01	2.342e-01	0.000e+00	0.000e+00	6.166e-01	3.566e-01	0.000e+00	0.000e+00
5	6.347e-01	2.997e-01	1.821e-01	2.577e-01	5.208e-01	5.215e-01	1.091e-01	1.543e-01	4.090e-01	4.094e-01
6	2.719e-01	1.924e-01	1.957e-01	2.769e-01	1.078e+00	7.645e-01	3.326e-01	2.718e-01	6.637e-01	5.428e-01
7	2.717e-01	1.923e-01	0.000e+00	0.000e+00	2.770e-01	3.920e-01	0.000e+00	0.000e+00	2.404e-01	3.402e-01
8	2.915e-01	2.063e-01	5.988e-01	4.897e-01	7.481e-01	6.120e-01	3.421e-01	2.795e-01	2.193e-01	3.103e-01
9	3.340e-01	2.114e-01	3.883e-01	3.887e-01	1.912e-01	2.705e-01	3.264e-01	2.668e-01	0.000e+00	0.000e+00
10	4.357e-01	2.518e-01	4.115e-01	4.119e-01	4.706e-01	4.711e-01	1.157e-01	1.637e-01	2.410e-01	3.410e-01
11	1.466e-01	1.467e-01	2.119e-01	2.998e-01	0.000e+00	0.000e+00	2.162e-01	2.163e-01	2.119e-01	2.998e-01
12	1.372e-01	1.372e-01	2.105e-01	2.979e-01	4.357e-01	4.362e-01	3.254e-01	2.659e-01	9.852e-01	6.984e-01
13	4.881e-01	2.612e-01	1.908e-01	2.700e-01	0.000e+00	0.000e+00	4.860e-01	3.441e-01	0.000e+00	0.000e+00
14	4.412e-01	2.550e-01	0.000e+00	0.000e+00	2.079e-01	2.942e-01	2.116e-01	2.118e-01	2.370e-01	3.353e-01
15	2.821e-01	1.996e-01	2.020e-01	2.858e-01	4.255e-01	4.260e-01	2.232e-01	2.233e-01	7.653e-01	6.261e-01
16	4.655e-01	2.691e-01	0.000e+00	0.000e+00	2.500e-01	3.538e-01	1.033e-01	1.461e-01	2.463e-01	3.485e-01
17	3.837e-01	2.429e-01	0.000e+00	0.000e+00	6.579e-01	5.381e-01	3.236e-01	2.645e-01	8.451e-01	6.915e-01
18	2.262e-01	1.848e-01	0.000e+00	0.000e+00	7.143e-01	5.843e-01	3.250e-01	2.656e-01	5.698e-01	5.706e-01
19	3.768e-01	2.385e-01	2.049e-01	2.899e-01	4.785e-01	4.790e-01	1.060e-01	1.500e-01	2.950e-01	4.175e-01
20	3.968e-01	2.512e-01	4.167e-01	4.171e-01	2.513e-01	3.556e-01	0.000e+00	0.000e+00	5.277e-01	5.284e-01
