# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=2		POL=2		POL=1		POL=2		POL=1	
1	7.600e+01	8.718e+00	2.200e+01	4.690e+00	2.400e+01	4.899e+00	7.500e+01	8.660e+00	2.500e+01	5.000e+00
2	6.600e+01	8.124e+00	3.200e+01	5.657e+00	2.200e+01	4.690e+00	6.400e+01	8.000e+00	1.700e+01	4.123e+00
3	8.600e+01	9.274e+00	2.500e+01	5.000e+00	2.400e+01	4.899e+00	7.300e+01	8.544e+00	2.000e+01	4.472e+00
4	8.500e+01	9.220e+00	3.600e+01	6.000e+00	2.700e+01	5.196e+00	8.000e+01	8.944e+00	3.100e+01	5.568e+00
5	7.400e+01	8.602e+00	3.700e+01	6.083e+00	3.700e+01	6.083e+00	9.900e+01	9.950e+00	2.200e+01	4.690e+00
6	8.700e+01	9.327e+00	3.700e+01	6.083e+00	4.900e+01	7.000e+00	8.500e+01	9.220e+00	2.500e+01	5.000e+00
7	9.500e+01	9.747e+00	3.900e+01	6.245e+00	4.700e+01	6.856e+00	8.700e+01	9.327e+00	3.600e+01	6.000e+00
8	8.100e+01	9.000e+00	3.100e+01	5.568e+00	4.400e+01	6.633e+00	7.600e+01	8.718e+00	4.500e+01	6.708e+00
9	1.000e+02	1.000e+01	3.100e+01	5.568e+00	5.600e+01	7.483e+00	8.200e+01	9.055e+00	3.900e+01	6.245e+00
10	1.260e+02	1.122e+01	2.900e+01	5.385e+00	5.300e+01	7.280e+00	9.800e+01	9.899e+00	3.300e+01	5.745e+00
11	1.160e+02	1.077e+01	3.500e+01	5.916e+00	5.500e+01	7.416e+00	1.060e+02	1.030e+01	5.100e+01	7.141e+00
12	1.070e+02	1.034e+01	3.500e+01	5.916e+00	5.400e+01	7.348e+00	1.040e+02	1.020e+01	5.000e+01	7.071e+00
13	1.260e+02	1.122e+01	4.500e+01	6.708e+00	7.600e+01	8.718e+00	1.140e+02	1.068e+01	4.300e+01	6.557e+00
14	1.350e+02	1.162e+01	5.200e+01	7.211e+00	7.900e+01	8.888e+00	1.420e+02	1.192e+01	2.800e+01	5.292e+00
15	1.360e+02	1.166e+01	4.300e+01	6.557e+00	5.900e+01	7.681e+00	1.470e+02	1.212e+01	5.100e+01	7.141e+00
16	1.590e+02	1.261e+01	5.500e+01	7.416e+00	6.500e+01	8.062e+00	1.460e+02	1.208e+01	3.000e+01	5.477e+00
17	1.480e+02	1.217e+01	5.000e+01	7.071e+00	6.800e+01	8.246e+00	1.450e+02	1.204e+01	4.800e+01	6.928e+00
18	1.790e+02	1.338e+01	5.900e+01	7.681e+00	7.400e+01	8.602e+00	1.650e+02	1.285e+01	5.400e+01	7.348e+00
19	1.850e+02	1.360e+01	6.200e+01	7.874e+00	7.800e+01	8.832e+00	1.710e+02	1.308e+01	4.800e+01	6.928e+00
20	1.800e+02	1.342e+01	5.500e+01	7.416e+00	8.000e+01	8.944e+00	1.600e+02	1.265e+01	4.700e+01	6.856e+00
