# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=1		POL=1		POL=1		POL=1		POL=1	
1	9.000e+00	3.000e+00	3.000e+00	1.732e+00	2.000e+00	1.414e+00	7.000e+00	2.646e+00	0.000e+00	0.000e+00
2	2.000e+00	1.414e+00	6.000e+00	2.449e+00	1.000e+00	1.000e+00	6.000e+00	2.449e+00	0.000e+00	0.000e+00
3	8.000e+00	2.828e+00	4.000e+00	2.000e+00	2.000e+00	1.414e+00	8.000e+00	2.828e+00	2.000e+00	1.414e+00
4	1.100e+01	3.317e+00	1.000e+00	1.000e+00	2.000e+00	1.414e+00	8.000e+00	2.828e+00	1.000e+00	1.000e+00
5	1.100e+01	3.317e+00	7.000e+00	2.646e+00	2.000e+00	1.414e+00	9.000e+00	3.000e+00	6.000e+00	2.449e+00
6	1.500e+01	3.873e+00	4.000e+00	2.000e+00	4.000e+00	2.000e+00	8.000e+00	2.828e+00	8.000e+00	2.828e+00
7	1.800e+01	4.243e+00	7.000e+00	2.646e+00	1.000e+00	1.000e+00	6.000e+00	2.449e+00	3.000e+00	1.732e+00
8	9.000e+00	3.000e+00	4.000e+00	2.000e+00	0.000e+00	0.000e+00	1.000e+01	3.162e+00	4.000e+00	2.000e+00
9	2.500e+01	5.000e+00	9.000e+00	3.000e+00	1.000e+00	1.000e+00	1.200e+01	3.464e+00	1.000e+00	1.000e+00
10	1.600e+01	4.000e+00	4.000e+00	2.000e+00	5.000e+00	2.236e+00	1.900e+01	4.359e+00	5.000e+00	2.236e+00
11	1.800e+01	4.243e+00	9.000e+00	3.000e+00	2.000e+00	1.414e+00	1.100e+01	3.317e+00	5.000e+00	2.236e+00
12	1.600e+01	4.000e+00	8.000e+00	2.828e+00	7.000e+00	2.646e+00	1.300e+01	3.606e+00	3.000e+00	1.732e+00
13	2.400e+01	4.899e+00	1.400e+01	3.742e+00	7.000e+00	2.646e+00	1.900e+01	4.359e+00	7.000e+00	2.646e+00
14	2.500e+01	5.000e+00	1.300e+01	3.606e+00	8.000e+00	2.828e+00	1.700e+01	4.123e+00	7.000e+00	2.646e+00
15	2.000e+01	4.472e+00	5.000e+00	2.236e+00	4.000e+00	2.000e+00	2.100e+01	4.583e+00	5.000e+00	2.236e+00
16	2.200e+01	4.690e+00	1.800e+01	4.243e+00	4.000e+00	2.000e+00	1.900e+01	4.359e+00	1.200e+01	3.464e+00
17	3.100e+01	5.568e+00	1.200e+01	3.464e+00	5.000e+00	2.236e+00	2.900e+01	5.385e+00	1.200e+01	3.464e+00
18	3.100e+01	5.568e+00	1.400e+01	3.742e+00	7.000e+00	2.646e+00	1.600e+01	4.000e+00	6.000e+00	2.449e+00
19	3.100e+01	5.568e+00	1.200e+01	3.464e+00	5.000e+00	2.236e+00	2.700e+01	5.196e+00	7.000e+00	2.646e+00
20	3.700e+01	6.083e+00	1.900e+01	4.359e+00	8.000e+00	2.828e+00	2.700e+01	5.196e+00	1.100e+01	3.317e+00
21	2.800e+01	5.292e+00	2.100e+01	4.583e+00	1.200e+01	3.464e+00	2.800e+01	5.292e+00	4.000e+00	2.000e+00
22	4.000e+01	6.325e+00	1.900e+01	4.359e+00	8.000e+00	2.828e+00	3.600e+01	6.000e+00	9.000e+00	3.000e+00
23	3.800e+01	6.164e+00	1.800e+01	4.243e+00	5.000e+00	2.236e+00	3.800e+01	6.164e+00	1.700e+01	4.123e+00
24	4.100e+01	6.403e+00	1.800e+01	4.243e+00	9.000e+00	3.000e+00	3.300e+01	5.745e+00	9.000e+00	3.000e+00
25	4.000e+01	6.325e+00	1.800e+01	4.243e+00	7.000e+00	2.646e+00	2.800e+01	5.292e+00	1.500e+01	3.873e+00
26	3.400e+01	5.831e+00	2.500e+01	5.000e+00	1.100e+01	3.317e+00	1.900e+01	4.359e+00	5.000e+00	2.236e+00
27	4.300e+01	6.557e+00	2.300e+01	4.796e+00	1.500e+01	3.873e+00	3.000e+01	5.477e+00	1.400e+01	3.742e+00
28	4.500e+01	6.708e+00	2.500e+01	5.000e+00	8.000e+00	2.828e+00	4.400e+01	6.633e+00	7.000e+00	2.646e+00
29	5.500e+01	7.416e+00	2.800e+01	5.292e+00	1.300e+01	3.606e+00	4.500e+01	6.708e+00	1.900e+01	4.359e+00
30	4.700e+01	6.856e+00	2.200e+01	4.690e+00	1.100e+01	3.317e+00	4.700e+01	6.856e+00	1.400e+01	3.742e+00
31	5.500e+01	7.416e+00	2.600e+01	5.099e+00	1.800e+01	4.243e+00	4.000e+01	6.325e+00	1.000e+01	3.162e+00
32	6.000e+01	7.746e+00	4.200e+01	6.481e+00	2.100e+01	4.583e+00	4.500e+01	6.708e+00	1.300e+01	3.606e+00
33	6.600e+01	8.124e+00	3.700e+01	6.083e+00	1.200e+01	3.464e+00	5.400e+01	7.348e+00	9.000e+00	3.000e+00
34	5.800e+01	7.616e+00	3.600e+01	6.000e+00	2.600e+01	5.099e+00	3.800e+01	6.164e+00	8.000e+00	2.828e+00
35	7.000e+01	8.367e+00	3.800e+01	6.164e+00	1.700e+01	4.123e+00	4.500e+01	6.708e+00	1.500e+01	3.873e+00
36	7.100e+01	8.426e+00	4.500e+01	6.708e+00	1.900e+01	4.359e+00	5.900e+01	7.681e+00	9.000e+00	3.000e+00
37	6.300e+01	7.937e+00	3.100e+01	5.568e+00	2.400e+01	4.899e+00	5.800e+01	7.616e+00	1.400e+01	3.742e+00
38	6.700e+01	8.185e+00	5.000e+01	7.071e+00	2.800e+01	5.292e+00	5.200e+01	7.211e+00	1.400e+01	3.742e+00
39	7.600e+01	8.718e+00	4.200e+01	6.481e+00	3.700e+01	6.083e+00	5.800e+01	7.616e+00	9.000e+00	3.000e+00
40	7.400e+01	8.602e+00	3.400e+01	5.831e+00	2.200e+01	4.690e+00	6.100e+01	7.810e+00	1.500e+01	3.873e+00
41	6.700e+01	8.185e+00	4.500e+01	6.708e+00	2.400e+01	4.899e+00	6.000e+01	7.746e+00	1.500e+01	3.873e+00
42	7.100e+01	8.426e+00	4.200e+01	6.481e+00	2.300e+01	4.796e+00	6.300e+01	7.937e+00	1.700e+01	4.123e+00
43	8.400e+01	9.165e+00	5.100e+01	7.141e+00	2.900e+01	5.385e+00	8.000e+01	8.944e+00	1.700e+01	4.123e+00
44	1.160e+02	1.077e+01	4.800e+01	6.928e+00	2.000e+01	4.472e+00	7.900e+01	8.888e+00	1.900e+01	4.359e+00
45	8.500e+01	9.220e+00	6.100e+01	7.810e+00	2.700e+01	5.196e+00	7.000e+01	8.367e+00	2.700e+01	5.196e+00
46	1.140e+02	1.068e+01	6.700e+01	8.185e+00	3.400e+01	5.831e+00	8.100e+01	9.000e+00	2.600e+01	5.099e+00
47	1.160e+02	1.077e+01	6.400e+01	8.000e+00	3.700e+01	6.083e+00	8.200e+01	9.055e+00	2.200e+01	4.690e+00
48	8.500e+01	9.220e+00	6.500e+01	8.062e+00	4.700e+01	6.856e+00	7.000e+01	8.367e+00	1.900e+01	4.359e+00
49	1.070e+02	1.034e+01	5.300e+01	7.280e+00	4.100e+01	6.403e+00	9.500e+01	9.747e+00	1.600e+01	4.000e+00
50	1.130e+02	1.063e+01	7.100e+01	8.426e+00	4.800e+01	6.928e+00	9.000e+01	9.487e+00	2.100e+01	4.583e+00
51	1.060e+02	1.030e+01	7.000e+01	8.367e+00	3.700e+01	6.083e+00	8.600e+01	9.274e+00	2.800e+01	5.292e+00
52	9.800e+01	9.899e+00	5.700e+01	7.550e+00	3.600e+01	6.000e+00	8.000e+01	8.944e+00	2.800e+01	5.292e+00
53	1.230e+02	1.109e+01	5.800e+01	7.616e+00	3.600e+01	6.000e+00	9.900e+01	9.950e+00	3.200e+01	5.657e+00
54	1.060e+02	1.030e+01	6.400e+01	8.000e+00	4.200e+01	6.481e+00	8.900e+01	9.434e+00	2.600e+01	5.099e+00
55	1.260e+02	1.122e+01	7.400e+01	8.602e+00	6.900e+01	8.307e+00	9.800e+01	9.899e+00	3.300e+01	5.745e+00
56	1.090e+02	1.044e+01	6.300e+01	7.937e+00	3.300e+01	5.745e+00	1.050e+02	1.025e+01	2.900e+01	5.385e+00
57	1.140e+02	1.068e+01	7.400e+01	8.602e+00	4.300e+01	6.557e+00	9.200e+01	9.592e+00	2.400e+01	4.899e+00
58	1.240e+02	1.114e+01	7.700e+01	8.775e+00	3.900e+01	6.245e+00	9.100e+01	9.539e+00	3.100e+01	5.568e+00
