# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=1		POL=4		POL=4		POL=3		POL=4	
1	1.401e+03	3.743e+01	6.300e+02	2.510e+01	3.430e+02	1.852e+01	8.240e+02	2.871e+01	3.300e+02	1.817e+01
2	1.340e+03	3.661e+01	6.780e+02	2.604e+01	3.010e+02	1.735e+01	8.970e+02	2.995e+01	3.300e+02	1.817e+01
3	1.486e+03	3.855e+01	6.040e+02	2.458e+01	3.220e+02	1.794e+01	9.250e+02	3.041e+01	4.040e+02	2.010e+01
4	1.515e+03	3.892e+01	6.030e+02	2.456e+01	3.410e+02	1.847e+01	9.670e+02	3.110e+01	4.690e+02	2.166e+01
5	1.409e+03	3.754e+01	5.480e+02	2.341e+01	3.820e+02	1.954e+01	9.160e+02	3.027e+01	4.870e+02	2.207e+01
6	1.467e+03	3.830e+01	5.100e+02	2.258e+01	3.670e+02	1.916e+01	8.990e+02	2.998e+01	4.490e+02	2.119e+01
7	1.468e+03	3.831e+01	5.080e+02	2.254e+01	3.600e+02	1.897e+01	8.640e+02	2.939e+01	4.150e+02	2.037e+01
8	1.368e+03	3.699e+01	4.980e+02	2.232e+01	3.980e+02	1.995e+01	8.740e+02	2.956e+01	4.550e+02	2.133e+01
9	1.492e+03	3.863e+01	5.130e+02	2.265e+01	5.220e+02	2.285e+01	9.160e+02	3.027e+01	4.220e+02	2.054e+01
10	1.371e+03	3.703e+01	4.840e+02	2.200e+01	4.230e+02	2.057e+01	8.630e+02	2.938e+01	4.140e+02	2.035e+01
11	1.362e+03	3.691e+01	4.710e+02	2.170e+01	4.390e+02	2.095e+01	9.230e+02	3.038e+01	4.710e+02	2.170e+01
12	1.456e+03	3.816e+01	4.740e+02	2.177e+01	4.570e+02	2.138e+01	9.190e+02	3.032e+01	4.020e+02	2.005e+01
13	1.427e+03	3.778e+01	5.230e+02	2.287e+01	4.530e+02	2.128e+01	8.190e+02	2.862e+01	4.050e+02	2.012e+01
14	1.354e+03	3.680e+01	4.570e+02	2.138e+01	4.800e+02	2.191e+01	9.430e+02	3.071e+01	4.210e+02	2.052e+01
15	1.414e+03	3.760e+01	4.940e+02	2.223e+01	4.680e+02	2.163e+01	8.940e+02	2.990e+01	3.890e+02	1.972e+01
16	1.283e+03	3.582e+01	4.450e+02	2.110e+01	3.990e+02	1.997e+01	9.670e+02	3.110e+01	4.050e+02	2.012e+01
17	1.298e+03	3.603e+01	4.590e+02	2.142e+01	4.530e+02	2.128e+01	9.240e+02	3.040e+01	3.520e+02	1.876e+01
18	1.323e+03	3.637e+01	4.540e+02	2.131e+01	4.170e+02	2.042e+01	9.200e+02	3.033e+01	3.490e+02	1.868e+01
19	1.322e+03	3.636e+01	4.870e+02	2.207e+01	4.160e+02	2.040e+01	9.420e+02	3.069e+01	3.380e+02	1.838e+01
