# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=2		POL=3		POL=1		POL=3		POL=1	
1	4.780e+02	2.186e+01	1.610e+02	1.269e+01	8.300e+01	9.110e+00	2.760e+02	1.661e+01	1.330e+02	1.153e+01
2	5.060e+02	2.249e+01	2.330e+02	1.526e+01	1.040e+02	1.020e+01	3.350e+02	1.830e+01	9.700e+01	9.849e+00
3	5.420e+02	2.328e+01	2.370e+02	1.539e+01	1.130e+02	1.063e+01	3.640e+02	1.908e+01	1.230e+02	1.109e+01
4	5.950e+02	2.439e+01	2.730e+02	1.652e+01	1.050e+02	1.025e+01	4.520e+02	2.126e+01	1.560e+02	1.249e+01
5	7.240e+02	2.691e+01	2.690e+02	1.640e+01	1.490e+02	1.221e+01	4.790e+02	2.189e+01	1.700e+02	1.304e+01
6	7.630e+02	2.762e+01	3.180e+02	1.783e+01	1.350e+02	1.162e+01	4.860e+02	2.205e+01	1.820e+02	1.349e+01
7	8.390e+02	2.897e+01	3.430e+02	1.852e+01	1.430e+02	1.196e+01	5.420e+02	2.328e+01	2.010e+02	1.418e+01
8	8.780e+02	2.963e+01	3.390e+02	1.841e+01	1.330e+02	1.153e+01	5.880e+02	2.425e+01	2.550e+02	1.597e+01
9	1.089e+03	3.300e+01	4.120e+02	2.030e+01	2.090e+02	1.446e+01	6.050e+02	2.460e+01	2.610e+02	1.616e+01
10	1.066e+03	3.265e+01	4.350e+02	2.086e+01	1.350e+02	1.162e+01	6.770e+02	2.602e+01	2.700e+02	1.643e+01
11	1.164e+03	3.412e+01	4.480e+02	2.117e+01	2.200e+02	1.483e+01	7.130e+02	2.670e+01	2.810e+02	1.676e+01
12	1.301e+03	3.607e+01	5.380e+02	2.319e+01	2.530e+02	1.591e+01	8.310e+02	2.883e+01	3.010e+02	1.735e+01
13	1.395e+03	3.735e+01	5.620e+02	2.371e+01	2.450e+02	1.565e+01	7.920e+02	2.814e+01	3.400e+02	1.844e+01
14	1.384e+03	3.720e+01	6.260e+02	2.502e+01	3.230e+02	1.797e+01	9.520e+02	3.085e+01	2.720e+02	1.649e+01
15	1.457e+03	3.817e+01	6.220e+02	2.494e+01	2.620e+02	1.619e+01	9.310e+02	3.051e+01	3.590e+02	1.895e+01
16	1.459e+03	3.820e+01	6.680e+02	2.585e+01	2.400e+02	1.549e+01	1.020e+03	3.194e+01	3.560e+02	1.887e+01
17	1.632e+03	4.040e+01	7.520e+02	2.742e+01	4.040e+02	2.010e+01	1.098e+03	3.314e+01	3.820e+02	1.954e+01
18	1.721e+03	4.148e+01	7.760e+02	2.786e+01	3.630e+02	1.905e+01	1.050e+03	3.240e+01	4.240e+02	2.059e+01
19	1.767e+03	4.204e+01	8.100e+02	2.846e+01	3.480e+02	1.865e+01	1.172e+03	3.423e+01	4.360e+02	2.088e+01
20	1.880e+03	4.336e+01	9.090e+02	3.015e+01	3.760e+02	1.939e+01	1.256e+03	3.544e+01	4.550e+02	2.133e+01
21	2.079e+03	4.560e+01	9.710e+02	3.116e+01	4.430e+02	2.105e+01	1.386e+03	3.723e+01	4.580e+02	2.140e+01
22	2.072e+03	4.552e+01	1.028e+03	3.206e+01	4.930e+02	2.220e+01	1.457e+03	3.817e+01	4.860e+02	2.205e+01
23	2.155e+03	4.642e+01	1.107e+03	3.327e+01	5.070e+02	2.252e+01	1.518e+03	3.896e+01	4.880e+02	2.209e+01
24	2.269e+03	4.763e+01	1.078e+03	3.283e+01	6.490e+02	2.548e+01	1.710e+03	4.135e+01	4.340e+02	2.083e+01
25	2.325e+03	4.822e+01	1.144e+03	3.382e+01	6.190e+02	2.488e+01	1.748e+03	4.181e+01	5.190e+02	2.278e+01
26	2.455e+03	4.955e+01	1.281e+03	3.579e+01	6.130e+02	2.476e+01	1.802e+03	4.245e+01	5.730e+02	2.394e+01
27	2.665e+03	5.162e+01	1.397e+03	3.738e+01	6.580e+02	2.565e+01	1.916e+03	4.377e+01	6.020e+02	2.454e+01
28	2.788e+03	5.280e+01	1.451e+03	3.809e+01	7.000e+02	2.646e+01	2.014e+03	4.488e+01	5.770e+02	2.402e+01
29	2.973e+03	5.453e+01	1.577e+03	3.971e+01	8.160e+02	2.857e+01	2.092e+03	4.574e+01	6.970e+02	2.640e+01
30	2.989e+03	5.467e+01	1.563e+03	3.953e+01	7.830e+02	2.798e+01	2.177e+03	4.666e+01	7.580e+02	2.753e+01
31	3.113e+03	5.579e+01	1.726e+03	4.155e+01	9.620e+02	3.102e+01	2.326e+03	4.823e+01	7.170e+02	2.678e+01
32	3.265e+03	5.714e+01	1.783e+03	4.223e+01	1.051e+03	3.242e+01	2.435e+03	4.935e+01	7.820e+02	2.796e+01
33	3.370e+03	5.805e+01	1.669e+03	4.085e+01	7.320e+02	2.706e+01	2.492e+03	4.992e+01	6.710e+02	2.590e+01
34	3.503e+03	5.919e+01	1.955e+03	4.422e+01	1.169e+03	3.419e+01	2.704e+03	5.200e+01	8.040e+02	2.835e+01
35	3.473e+03	5.893e+01	1.746e+03	4.179e+01	8.590e+02	2.931e+01	2.759e+03	5.253e+01	7.430e+02	2.726e+01
36	3.787e+03	6.154e+01	2.124e+03	4.609e+01	1.288e+03	3.589e+01	2.854e+03	5.342e+01	8.820e+02	2.970e+01
37	3.821e+03	6.181e+01	2.167e+03	4.655e+01	1.302e+03	3.608e+01	2.932e+03	5.415e+01	8.730e+02	2.955e+01
38	4.060e+03	6.372e+01	2.245e+03	4.738e+01	1.409e+03	3.754e+01	3.102e+03	5.570e+01	9.610e+02	3.100e+01
39	4.134e+03	6.430e+01	2.407e+03	4.906e+01	1.507e+03	3.882e+01	3.221e+03	5.675e+01	9.310e+02	3.051e+01
40	4.098e+03	6.402e+01	2.215e+03	4.706e+01	1.148e+03	3.388e+01	3.237e+03	5.689e+01	8.440e+02	2.905e+01
41	4.248e+03	6.518e+01	2.308e+03	4.804e+01	1.168e+03	3.418e+01	3.363e+03	5.799e+01	8.890e+02	2.982e+01
42	4.533e+03	6.733e+01	2.316e+03	4.812e+01	1.341e+03	3.662e+01	3.596e+03	5.997e+01	9.130e+02	3.022e+01
43	4.419e+03	6.648e+01	2.469e+03	4.969e+01	1.452e+03	3.811e+01	3.717e+03	6.097e+01	9.130e+02	3.022e+01
44	4.802e+03	6.930e+01	2.548e+03	5.048e+01	1.165e+03	3.413e+01	3.765e+03	6.136e+01	1.226e+03	3.501e+01
45	5.186e+03	7.201e+01	2.851e+03	5.339e+01	1.576e+03	3.970e+01	3.884e+03	6.232e+01	1.477e+03	3.843e+01
46	5.032e+03	7.094e+01	2.935e+03	5.418e+01	1.718e+03	4.145e+01	3.748e+03	6.122e+01	1.173e+03	3.425e+01
47	5.297e+03	7.278e+01	2.939e+03	5.421e+01	1.859e+03	4.312e+01	3.923e+03	6.263e+01	1.231e+03	3.509e+01
48	5.352e+03	7.316e+01	2.924e+03	5.407e+01	2.113e+03	4.597e+01	4.177e+03	6.463e+01	1.022e+03	3.197e+01
49	5.367e+03	7.326e+01	3.046e+03	5.519e+01	2.148e+03	4.635e+01	4.187e+03	6.471e+01	1.094e+03	3.308e+01
50	5.524e+03	7.432e+01	3.038e+03	5.512e+01	2.160e+03	4.648e+01	4.081e+03	6.388e+01	1.215e+03	3.486e+01
51	5.585e+03	7.473e+01	3.089e+03	5.558e+01	2.113e+03	4.597e+01	4.246e+03	6.516e+01	1.189e+03	3.448e+01
52	5.795e+03	7.612e+01	3.313e+03	5.756e+01	2.180e+03	4.669e+01	4.482e+03	6.695e+01	1.206e+03	3.473e+01
53	5.742e+03	7.578e+01	3.269e+03	5.718e+01	1.788e+03	4.228e+01	4.497e+03	6.706e+01	1.503e+03	3.877e+01
54	5.908e+03	7.686e+01	3.270e+03	5.718e+01	2.228e+03	4.720e+01	4.506e+03	6.713e+01	1.261e+03	3.551e+01
55	6.049e+03	7.778e+01	3.416e+03	5.845e+01	3.103e+03	5.570e+01	4.745e+03	6.888e+01	1.277e+03	3.574e+01
56	6.097e+03	7.808e+01	3.249e+03	5.700e+01	1.912e+03	4.373e+01	4.738e+03	6.883e+01	1.579e+03	3.974e+01
57	5.877e+03	7.666e+01	3.222e+03	5.676e+01	2.214e+03	4.705e+01	4.780e+03	6.914e+01	1.291e+03	3.593e+01
58	6.294e+03	7.933e+01	3.417e+03	5.846e+01	2.332e+03	4.829e+01	4.786e+03	6.918e+01	1.354e+03	3.680e+01
