# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=0		POL=0		POL=0		POL=0		POL=0	
1	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.316e+00	1.867e+00	0.000e+00	0.000e+00
2	1.493e+00	2.119e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.556e+00	7.971e+00
3	1.149e+00	1.630e+00	3.846e+00	5.493e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
4	1.163e+00	1.649e+00	0.000e+00	0.000e+00	6.897e+00	7.023e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5	0.000e+00	0.000e+00	2.632e+00	3.747e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.348e+00	6.218e+00
6	4.396e+00	3.144e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.407e+00	7.554e+00
7	2.062e+00	2.073e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.136e+00	1.612e+00	2.703e+00	3.849e+00
8	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.222e+00	3.161e+00	1.299e+00	1.843e+00	0.000e+00	0.000e+00
9	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.754e+00	2.492e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10	7.874e-01	1.116e+00	0.000e+00	0.000e+00	5.357e+00	4.436e+00	2.970e+00	2.444e+00	0.000e+00	0.000e+00
11	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.786e+00	2.537e+00	0.000e+00	0.000e+00	1.923e+00	2.733e+00
12	1.835e+00	1.843e+00	7.895e+00	6.583e+00	0.000e+00	0.000e+00	1.887e+00	1.896e+00	0.000e+00	0.000e+00
13	7.874e-01	1.116e+00	0.000e+00	0.000e+00	1.299e+00	1.843e+00	8.696e-01	1.232e+00	2.273e+00	3.233e+00
14	2.878e+00	2.050e+00	0.000e+00	0.000e+00	1.250e+00	1.773e+00	2.069e+00	1.698e+00	3.448e+00	4.920e+00
15	7.299e-01	1.034e+00	0.000e+00	0.000e+00	1.667e+00	2.367e+00	2.000e+00	1.641e+00	0.000e+00	0.000e+00
16	1.242e+00	1.246e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.351e+00	1.356e+00	6.250e+00	6.353e+00
17	6.711e-01	9.507e-01	0.000e+00	0.000e+00	4.225e+00	3.488e+00	6.849e-01	9.703e-01	0.000e+00	0.000e+00
18	5.556e-01	7.868e-01	1.667e+00	2.367e+00	0.000e+00	0.000e+00	6.024e-01	8.532e-01	0.000e+00	0.000e+00
19	5.376e-01	7.614e-01	0.000e+00	0.000e+00	1.266e+00	1.796e+00	5.814e-01	8.234e-01	0.000e+00	0.000e+00
20	0.000e+00	0.000e+00	1.786e+00	2.537e+00	0.000e+00	0.000e+00	1.235e+00	1.238e+00	0.000e+00	0.000e+00
21	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.266e+00	1.796e+00	5.435e-01	7.696e-01	1.923e+00	2.733e+00
22	2.020e+00	1.436e+00	1.351e+00	1.918e+00	2.564e+00	2.581e+00	1.000e+00	1.003e+00	0.000e+00	0.000e+00
23	8.264e-01	8.282e-01	0.000e+00	0.000e+00	1.408e+00	1.999e+00	5.128e-01	7.262e-01	2.817e+00	2.837e+00
24	0.000e+00	0.000e+00	9.259e-01	1.313e+00	1.835e+00	1.843e+00	0.000e+00	0.000e+00	2.439e+00	3.471e+00
25	4.219e-01	5.973e-01	1.980e+00	1.990e+00	3.614e+00	2.979e+00	8.368e-01	8.386e-01	0.000e+00	0.000e+00
26	1.880e+00	1.195e+00	9.174e-01	1.300e+00	0.000e+00	0.000e+00	2.000e+00	1.271e+00	2.000e+00	2.843e+00
27	1.075e+00	8.803e-01	8.000e-01	1.134e+00	0.000e+00	0.000e+00	3.571e-01	5.055e-01	0.000e+00	0.000e+00
28	7.874e-01	7.890e-01	2.013e+00	1.652e+00	8.929e-01	1.266e+00	7.042e-01	7.055e-01	1.639e+00	2.328e+00
29	3.236e-01	4.580e-01	1.899e+00	1.558e+00	1.042e+00	1.477e+00	7.407e-01	7.421e-01	0.000e+00	0.000e+00
30	5.900e-01	5.908e-01	5.952e-01	8.431e-01	8.696e-01	1.232e+00	3.322e-01	4.702e-01	2.439e+00	2.454e+00
31	1.425e+00	9.042e-01	1.149e+00	1.153e+00	0.000e+00	0.000e+00	9.259e-01	7.578e-01	0.000e+00	0.000e+00
32	4.785e-01	4.790e-01	1.970e+00	1.400e+00	1.389e+00	1.394e+00	6.211e-01	6.221e-01	1.266e+00	1.796e+00
33	7.353e-01	6.015e-01	0.000e+00	0.000e+00	1.042e+00	1.477e+00	1.096e+00	7.771e-01	1.282e+00	1.819e+00
34	7.407e-01	6.059e-01	5.405e-01	7.655e-01	1.307e+00	1.312e+00	1.939e+00	1.042e+00	1.408e+00	1.999e+00
35	1.606e+00	8.617e-01	9.569e-01	9.592e-01	2.256e+00	1.852e+00	1.299e+00	8.241e-01	1.389e+00	1.971e+00
36	8.439e-01	5.980e-01	0.000e+00	0.000e+00	5.952e-01	8.431e-01	2.022e+00	9.583e-01	0.000e+00	0.000e+00
37	7.874e-01	5.579e-01	1.056e+00	8.648e-01	5.181e-01	7.337e-01	6.579e-01	5.381e-01	0.000e+00	0.000e+00
38	5.714e-01	4.672e-01	9.868e-01	8.078e-01	1.435e+00	1.176e+00	1.064e+00	6.746e-01	1.136e+00	1.612e+00
39	1.565e+00	7.026e-01	9.740e-01	7.972e-01	4.739e-01	6.710e-01	1.220e+00	7.063e-01	2.062e+00	2.073e+00
40	6.711e-01	4.754e-01	6.645e-01	6.656e-01	1.105e+00	1.108e+00	1.509e+00	7.576e-01	9.709e-01	1.376e+00
41	9.682e-01	5.188e-01	2.907e-01	4.114e-01	0.000e+00	0.000e+00	8.803e-01	5.580e-01	1.942e+00	1.951e+00
42	1.724e+00	7.070e-01	9.554e-01	7.820e-01	4.785e-01	6.775e-01	1.148e+00	6.152e-01	1.064e+00	1.509e+00
43	9.943e-01	5.328e-01	5.249e-01	5.256e-01	4.587e-01	6.495e-01	6.319e-01	4.475e-01	1.031e+00	1.462e+00
44	5.277e-01	3.736e-01	1.013e+00	7.179e-01	1.442e+00	1.182e+00	7.342e-01	4.652e-01	5.882e-01	8.331e-01
45	7.528e-01	4.355e-01	9.709e-01	6.882e-01	1.288e+00	1.055e+00	1.385e+00	6.216e-01	0.000e+00	0.000e+00
46	1.040e+00	4.918e-01	4.237e-01	4.242e-01	3.448e-01	4.881e-01	6.596e-01	4.179e-01	0.000e+00	0.000e+00
47	1.272e+00	5.440e-01	1.600e+00	8.032e-01	1.812e+00	1.151e+00	8.895e-01	4.765e-01	1.439e+00	1.444e+00
48	6.383e-01	3.691e-01	6.369e-01	5.209e-01	1.047e+00	7.424e-01	9.021e-01	4.833e-01	7.874e-01	1.116e+00
49	1.537e+00	5.634e-01	1.107e+00	6.409e-01	1.370e+00	8.694e-01	7.151e-01	4.136e-01	0.000e+00	0.000e+00
50	1.437e+00	5.453e-01	3.643e-01	3.646e-01	8.000e-01	6.545e-01	1.179e+00	5.289e-01	0.000e+00	0.000e+00
51	1.009e+00	4.314e-01	1.250e+00	6.703e-01	3.058e-01	4.328e-01	1.052e+00	4.715e-01	6.098e-01	8.636e-01
52	1.024e+00	4.379e-01	6.711e-01	4.754e-01	5.181e-01	5.188e-01	8.686e-01	4.353e-01	1.829e+00	1.501e+00
53	1.245e+00	4.560e-01	8.039e-01	5.094e-01	7.326e-01	7.340e-01	1.038e+00	4.437e-01	1.210e+00	9.907e-01
54	1.086e+00	4.272e-01	9.317e-01	5.392e-01	5.128e-01	5.135e-01	1.426e+00	5.225e-01	5.587e-01	7.912e-01
55	1.034e+00	4.067e-01	8.383e-01	4.490e-01	8.143e-01	5.161e-01	1.125e+00	4.604e-01	5.780e-01	8.187e-01
56	5.319e-01	2.847e-01	7.553e-01	4.786e-01	3.215e-01	4.551e-01	7.902e-01	3.732e-01	1.724e+00	1.095e+00
57	1.077e+00	4.081e-01	5.563e-01	3.939e-01	6.928e-01	5.667e-01	4.437e-01	2.809e-01	1.478e+00	1.211e+00
58	8.277e-01	3.537e-01	8.242e-01	4.768e-01	1.182e+00	7.498e-01	9.658e-01	4.128e-01	4.566e-01	6.465e-01
