# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=1		POL=4		POL=3		POL=1		POL=3	
1	5.000e+01	7.071e+00	4.300e+01	6.557e+00	2.000e+00	1.414e+00	1.100e+01	3.317e+00	3.000e+00	1.732e+00
2	4.600e+01	6.782e+00	6.400e+01	8.000e+00	8.000e+00	2.828e+00	7.000e+00	2.646e+00	4.000e+00	2.000e+00
3	5.700e+01	7.550e+00	1.030e+02	1.015e+01	8.000e+00	2.828e+00	9.000e+00	3.000e+00	3.000e+00	1.732e+00
4	7.000e+01	8.367e+00	1.170e+02	1.082e+01	4.000e+00	2.000e+00	2.000e+01	4.472e+00	1.000e+01	3.162e+00
5	7.200e+01	8.485e+00	1.430e+02	1.196e+01	8.000e+00	2.828e+00	1.100e+01	3.317e+00	5.000e+00	2.236e+00
6	7.400e+01	8.602e+00	1.430e+02	1.196e+01	1.000e+01	3.162e+00	1.500e+01	3.873e+00	1.000e+01	3.162e+00
7	8.200e+01	9.055e+00	1.480e+02	1.217e+01	1.700e+01	4.123e+00	2.100e+01	4.583e+00	9.000e+00	3.000e+00
8	9.900e+01	9.950e+00	1.280e+02	1.131e+01	1.300e+01	3.606e+00	1.800e+01	4.243e+00	1.300e+01	3.606e+00
9	8.500e+01	9.220e+00	8.200e+01	9.055e+00	2.600e+01	5.099e+00	1.600e+01	4.000e+00	1.300e+01	3.606e+00
10	7.500e+01	8.660e+00	8.400e+01	9.165e+00	1.900e+01	4.359e+00	9.000e+00	3.000e+00	1.600e+01	4.000e+00
11	7.600e+01	8.718e+00	8.300e+01	9.110e+00	2.500e+01	5.000e+00	1.900e+01	4.359e+00	1.000e+01	3.162e+00
12	1.000e+02	1.000e+01	5.900e+01	7.681e+00	2.400e+01	4.899e+00	1.500e+01	3.873e+00	1.000e+01	3.162e+00
13	7.400e+01	8.602e+00	7.500e+01	8.660e+00	1.600e+01	4.000e+00	1.500e+01	3.873e+00	1.100e+01	3.317e+00
14	1.060e+02	1.030e+01	5.400e+01	7.348e+00	1.800e+01	4.243e+00	1.700e+01	4.123e+00	9.000e+00	3.000e+00
15	1.210e+02	1.100e+01	4.500e+01	6.708e+00	1.800e+01	4.243e+00	2.000e+01	4.472e+00	9.000e+00	3.000e+00
16	9.100e+01	9.539e+00	5.200e+01	7.211e+00	2.000e+01	4.472e+00	1.900e+01	4.359e+00	1.400e+01	3.742e+00
17	1.040e+02	1.020e+01	4.300e+01	6.557e+00	1.300e+01	3.606e+00	1.700e+01	4.123e+00	2.000e+01	4.472e+00
18	1.050e+02	1.025e+01	4.000e+01	6.325e+00	1.700e+01	4.123e+00	1.600e+01	4.000e+00	1.000e+01	3.162e+00
19	1.050e+02	1.025e+01	2.100e+01	4.583e+00	2.100e+01	4.583e+00	1.800e+01	4.243e+00	5.000e+00	2.236e+00
20	1.210e+02	1.100e+01	2.600e+01	5.099e+00	2.100e+01	4.583e+00	2.300e+01	4.796e+00	1.300e+01	3.606e+00
21	1.200e+02	1.095e+01	2.000e+01	4.472e+00	1.400e+01	3.742e+00	2.700e+01	5.196e+00	1.500e+01	3.873e+00
22	1.140e+02	1.068e+01	2.800e+01	5.292e+00	1.100e+01	3.317e+00	2.000e+01	4.472e+00	6.000e+00	2.449e+00
23	1.180e+02	1.086e+01	2.100e+01	4.583e+00	1.900e+01	4.359e+00	2.900e+01	5.385e+00	1.400e+01	3.742e+00
24	1.290e+02	1.136e+01	1.800e+01	4.243e+00	1.200e+01	3.464e+00	2.300e+01	4.796e+00	1.100e+01	3.317e+00
25	1.210e+02	1.100e+01	1.500e+01	3.873e+00	1.800e+01	4.243e+00	2.500e+01	5.000e+00	7.000e+00	2.646e+00
26	1.180e+02	1.086e+01	1.400e+01	3.742e+00	1.400e+01	3.742e+00	2.000e+01	4.472e+00	1.000e+01	3.162e+00
27	1.180e+02	1.086e+01	1.400e+01	3.742e+00	2.400e+01	4.899e+00	3.300e+01	5.745e+00	6.000e+00	2.449e+00
28	1.490e+02	1.221e+01	7.000e+00	2.646e+00	1.900e+01	4.359e+00	1.700e+01	4.123e+00	8.000e+00	2.828e+00
29	1.310e+02	1.145e+01	2.000e+01	4.472e+00	1.900e+01	4.359e+00	1.400e+01	3.742e+00	1.000e+01	3.162e+00
30	1.410e+02	1.187e+01	1.500e+01	3.873e+00	1.300e+01	3.606e+00	2.200e+01	4.690e+00	8.000e+00	2.828e+00
31	1.470e+02	1.212e+01	1.800e+01	4.243e+00	1.700e+01	4.123e+00	2.800e+01	5.292e+00	5.000e+00	2.236e+00
32	1.470e+02	1.212e+01	1.300e+01	3.606e+00	1.100e+01	3.317e+00	1.900e+01	4.359e+00	5.000e+00	2.236e+00
33	1.260e+02	1.122e+01	1.100e+01	3.317e+00	1.100e+01	3.317e+00	2.100e+01	4.583e+00	5.000e+00	2.236e+00
34	1.540e+02	1.241e+01	1.200e+01	3.464e+00	1.300e+01	3.606e+00	3.000e+01	5.477e+00	5.000e+00	2.236e+00
35	1.400e+02	1.183e+01	1.600e+01	4.000e+00	1.100e+01	3.317e+00	2.500e+01	5.000e+00	2.000e+00	1.414e+00
36	1.350e+02	1.162e+01	1.100e+01	3.317e+00	7.000e+00	2.646e+00	2.600e+01	5.099e+00	6.000e+00	2.449e+00
37	1.860e+02	1.364e+01	1.400e+01	3.742e+00	1.700e+01	4.123e+00	2.000e+01	4.472e+00	1.000e+00	1.000e+00
38	1.630e+02	1.277e+01	5.000e+00	2.236e+00	1.300e+01	3.606e+00	3.400e+01	5.831e+00	3.000e+00	1.732e+00
39	1.530e+02	1.237e+01	1.000e+01	3.162e+00	9.000e+00	3.000e+00	2.100e+01	4.583e+00	4.000e+00	2.000e+00
