# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_3/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5
# plane	POL=2		POL=2		POL=2		POL=2		POL=2	
1	1.252e+04	1.119e+02	4.488e+03	6.699e+01	1.026e+04	1.013e+02	1.007e+04	1.004e+02	1.087e+04	1.042e+02
2	1.378e+04	1.174e+02	4.844e+03	6.960e+01	1.159e+04	1.077e+02	1.065e+04	1.032e+02	1.015e+04	1.008e+02
3	1.408e+04	1.187e+02	4.945e+03	7.032e+01	1.165e+04	1.079e+02	1.086e+04	1.042e+02	9.464e+03	9.728e+01
4	1.439e+04	1.200e+02	4.982e+03	7.058e+01	1.165e+04	1.079e+02	1.106e+04	1.052e+02	9.413e+03	9.702e+01
5	1.451e+04	1.205e+02	4.983e+03	7.059e+01	1.140e+04	1.068e+02	1.121e+04	1.059e+02	9.354e+03	9.672e+01
6	1.447e+04	1.203e+02	4.878e+03	6.984e+01	1.126e+04	1.061e+02	1.126e+04	1.061e+02	9.084e+03	9.531e+01
7	1.456e+04	1.207e+02	4.923e+03	7.016e+01	1.131e+04	1.063e+02	1.150e+04	1.072e+02	8.811e+03	9.387e+01
8	1.447e+04	1.203e+02	4.964e+03	7.046e+01	1.126e+04	1.061e+02	1.147e+04	1.071e+02	8.478e+03	9.208e+01
9	1.446e+04	1.203e+02	4.748e+03	6.891e+01	1.069e+04	1.034e+02	1.140e+04	1.068e+02	8.679e+03	9.316e+01
10	1.445e+04	1.202e+02	4.799e+03	6.927e+01	1.101e+04	1.049e+02	1.169e+04	1.081e+02	8.140e+03	9.022e+01
11	1.450e+04	1.204e+02	4.778e+03	6.912e+01	1.048e+04	1.024e+02	1.162e+04	1.078e+02	8.304e+03	9.113e+01
12	1.454e+04	1.206e+02	4.898e+03	6.999e+01	1.034e+04	1.017e+02	1.168e+04	1.081e+02	8.183e+03	9.046e+01
13	1.455e+04	1.206e+02	4.863e+03	6.974e+01	1.049e+04	1.024e+02	1.190e+04	1.091e+02	7.901e+03	8.889e+01
14	1.456e+04	1.207e+02	4.972e+03	7.051e+01	9.894e+03	9.947e+01	1.169e+04	1.081e+02	7.635e+03	8.738e+01
15	1.479e+04	1.216e+02	4.981e+03	7.058e+01	1.079e+04	1.039e+02	1.228e+04	1.108e+02	7.667e+03	8.756e+01
16	1.474e+04	1.214e+02	5.138e+03	7.168e+01	1.034e+04	1.017e+02	1.219e+04	1.104e+02	6.856e+03	8.280e+01
17	1.478e+04	1.216e+02	5.056e+03	7.111e+01	1.014e+04	1.007e+02	1.227e+04	1.108e+02	7.291e+03	8.539e+01
18	1.495e+04	1.223e+02	5.137e+03	7.167e+01	1.066e+04	1.033e+02	1.257e+04	1.121e+02	7.168e+03	8.466e+01
19	1.509e+04	1.228e+02	5.249e+03	7.245e+01	1.091e+04	1.044e+02	1.275e+04	1.129e+02	7.024e+03	8.381e+01
