# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=0		POL=0		POL=0		POL=0	
1	1.044e+00	1.539e-01	1.078e+00	1.517e-01	1.101e+00	1.857e-01	1.221e+00	4.345e-01
2	9.860e-01	1.430e-01	9.890e-01	1.359e-01	1.092e+00	1.736e-01	8.850e-01	3.487e-01
3	1.067e+00	1.446e-01	1.013e+00	1.337e-01	9.264e-01	1.551e-01	1.351e+00	4.303e-01
4	1.014e+00	1.374e-01	1.045e+00	1.319e-01	1.009e+00	1.583e-01	9.070e-01	3.221e-01
5	1.247e+00	1.505e-01	1.036e+00	1.286e-01	1.176e+00	1.699e-01	7.892e-01	2.995e-01
6	9.134e-01	1.249e-01	1.024e+00	1.271e-01	1.315e+00	1.753e-01	1.065e+00	3.386e-01
7	9.729e-01	1.262e-01	1.134e+00	1.330e-01	9.495e-01	1.481e-01	9.078e-01	2.959e-01
8	9.870e-01	1.250e-01	9.313e-01	1.193e-01	1.022e+00	1.540e-01	8.612e-01	2.883e-01
9	1.090e+00	1.288e-01	1.165e+00	1.332e-01	1.051e+00	1.541e-01	7.888e-01	2.640e-01
10	1.031e+00	1.235e-01	1.098e+00	1.288e-01	1.028e+00	1.523e-01	1.245e+00	3.291e-01
11	1.012e+00	1.186e-01	1.005e+00	1.203e-01	1.261e+00	1.652e-01	9.397e-01	2.726e-01
12	9.572e-01	1.150e-01	9.255e-01	1.153e-01	1.107e+00	1.529e-01	1.088e+00	2.923e-01
13	1.123e+00	1.236e-01	1.119e+00	1.259e-01	1.017e+00	1.460e-01	1.144e+00	2.971e-01
14	1.013e+00	1.128e-01	1.252e+00	1.335e-01	1.053e+00	1.447e-01	9.215e-01	2.618e-01
15	9.881e-01	1.110e-01	1.129e+00	1.251e-01	9.327e-01	1.325e-01	1.211e+00	2.873e-01
16	1.044e+00	1.132e-01	1.114e+00	1.222e-01	1.118e+00	1.457e-01	8.491e-01	2.365e-01
17	8.744e-01	1.017e-01	1.223e+00	1.269e-01	1.029e+00	1.369e-01	1.222e+00	2.785e-01
18	1.028e+00	1.096e-01	1.014e+00	1.136e-01	1.021e+00	1.359e-01	7.874e-01	2.236e-01
19	1.118e+00	1.127e-01	1.167e+00	1.214e-01	1.045e+00	1.328e-01	1.293e+00	2.807e-01
20	8.614e-01	9.764e-02	9.612e-01	1.087e-01	1.132e+00	1.381e-01	8.547e-01	2.294e-01
21	9.111e-01	9.957e-02	1.016e+00	1.095e-01	1.146e+00	1.367e-01	7.774e-01	2.124e-01
22	9.249e-01	9.877e-02	1.106e+00	1.126e-01	1.174e+00	1.369e-01	1.151e+00	2.496e-01
23	8.803e-01	9.453e-02	1.099e+00	1.110e-01	1.071e+00	1.287e-01	1.009e+00	2.297e-01
24	1.028e+00	1.013e-01	1.068e+00	1.076e-01	1.215e+00	1.346e-01	1.011e+00	2.363e-01
25	9.546e-01	9.789e-02	1.100e+00	1.079e-01	1.049e+00	1.218e-01	8.235e-01	2.067e-01
26	9.995e-01	9.803e-02	1.054e+00	1.039e-01	9.564e-01	1.153e-01	9.738e-01	2.216e-01
27	1.046e+00	1.009e-01	1.023e+00	1.016e-01	9.746e-01	1.142e-01	1.284e+00	2.463e-01
28	9.095e-01	9.253e-02	1.028e+00	9.987e-02	1.064e+00	1.178e-01	1.013e+00	2.172e-01
29	1.035e+00	9.657e-02	1.192e+00	1.074e-01	1.076e+00	1.166e-01	9.847e-01	2.134e-01
30	1.077e+00	9.703e-02	1.033e+00	9.747e-02	9.464e-01	1.053e-01	9.383e-01	2.033e-01
