# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=0		POL=0		POL=0		POL=0	
1	2.820e-01	4.407e-02	4.028e-01	8.317e-02	4.434e-01	1.046e-01	4.094e-01	2.898e-01
2	3.425e-01	4.800e-02	3.269e-01	7.226e-02	5.061e-01	1.106e-01	4.686e-01	2.967e-01
3	3.492e-01	4.824e-02	4.396e-01	8.317e-02	2.834e-01	8.363e-02	2.967e-01	2.425e-01
4	3.466e-01	4.881e-02	4.457e-01	8.509e-02	3.612e-01	9.495e-02	3.766e-01	2.666e-01
5	3.420e-01	4.940e-02	4.058e-01	8.206e-02	3.186e-01	9.018e-02	6.494e-01	3.477e-01
6	3.902e-01	5.291e-02	3.248e-01	7.458e-02	3.448e-01	9.571e-02	5.040e-01	3.192e-01
7	4.071e-01	5.520e-02	2.698e-01	6.858e-02	3.510e-01	9.936e-02	0.000e+00	0.000e+00
8	3.521e-01	5.225e-02	3.225e-01	7.607e-02	4.441e-01	1.129e-01	5.056e-01	3.202e-01
9	3.118e-01	5.029e-02	3.727e-01	8.140e-02	4.258e-01	1.139e-01	5.241e-01	3.319e-01
10	4.183e-01	5.893e-02	2.854e-01	7.140e-02	4.895e-01	1.245e-01	3.175e-01	2.594e-01
11	4.074e-01	5.886e-02	2.973e-01	7.324e-02	4.935e-01	1.255e-01	2.086e-01	2.087e-01
12	3.479e-01	5.505e-02	2.520e-01	6.864e-02	3.840e-01	1.133e-01	5.005e-01	3.169e-01
13	3.367e-01	5.502e-02	3.890e-01	8.496e-02	2.203e-01	8.647e-02	1.057e-01	1.495e-01
14	3.860e-01	5.962e-02	4.433e-01	9.155e-02	3.821e-01	1.153e-01	1.957e-01	1.958e-01
15	3.216e-01	5.520e-02	3.478e-01	8.205e-02	4.784e-01	1.304e-01	7.431e-01	3.979e-01
16	3.345e-01	5.700e-02	3.916e-01	8.765e-02	5.251e-01	1.405e-01	3.272e-01	2.673e-01
17	3.325e-01	5.706e-02	4.273e-01	9.119e-02	3.060e-01	1.083e-01	1.032e-01	1.460e-01
18	3.739e-01	6.112e-02	3.581e-01	8.448e-02	2.886e-01	1.055e-01	3.191e-01	2.608e-01
19	3.718e-01	6.161e-02	3.891e-01	8.710e-02	2.976e-01	1.088e-01	2.286e-01	2.287e-01
20	3.370e-01	5.917e-02	3.122e-01	7.937e-02	3.615e-01	1.206e-01	5.365e-01	3.398e-01
21	3.609e-01	6.241e-02	3.544e-01	8.478e-02	3.407e-01	1.170e-01	5.807e-01	3.678e-01
22	3.752e-01	6.303e-02	4.587e-01	9.681e-02	3.073e-01	1.123e-01	6.734e-01	3.894e-01
23	3.592e-01	6.211e-02	3.524e-01	8.554e-02	3.766e-01	1.256e-01	0.000e+00	0.000e+00
24	3.356e-01	6.132e-02	3.351e-01	8.386e-02	3.692e-01	1.267e-01	3.764e-01	3.076e-01
25	3.357e-01	6.135e-02	2.607e-01	7.378e-02	3.326e-01	1.215e-01	4.779e-01	3.383e-01
26	4.511e-01	7.186e-02	4.376e-01	9.676e-02	3.959e-01	1.321e-01	3.717e-01	3.038e-01
27	3.849e-01	6.707e-02	3.367e-01	8.424e-02	1.799e-01	9.001e-02	1.233e-01	1.744e-01
28	2.961e-01	5.926e-02	3.490e-01	8.732e-02	2.777e-01	1.135e-01	2.611e-01	2.613e-01
29	3.184e-01	6.132e-02	2.927e-01	7.971e-02	3.942e-01	1.354e-01	1.362e-01	1.927e-01
30	3.294e-01	6.287e-02	3.762e-01	8.876e-02	3.570e-01	1.305e-01	7.682e-01	4.444e-01
