# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=2		POL=1		POL=2		POL=1	
1	6.640e+02	2.577e+01	8.290e+02	2.879e+01	4.710e+02	2.170e+01	6.000e+01	7.746e+00
2	6.810e+02	2.610e+01	9.360e+02	3.059e+01	5.420e+02	2.328e+01	7.300e+01	8.544e+00
3	7.180e+02	2.680e+01	9.610e+02	3.100e+01	5.170e+02	2.274e+01	6.300e+01	7.937e+00
4	7.970e+02	2.823e+01	9.590e+02	3.097e+01	5.140e+02	2.267e+01	7.300e+01	8.544e+00
5	6.940e+02	2.634e+01	1.032e+03	3.212e+01	5.470e+02	2.339e+01	6.600e+01	8.124e+00
6	7.730e+02	2.780e+01	1.094e+03	3.308e+01	5.580e+02	2.362e+01	1.000e+02	1.000e+01
7	7.880e+02	2.807e+01	1.084e+03	3.292e+01	5.860e+02	2.421e+01	1.040e+02	1.020e+01
8	8.400e+02	2.898e+01	1.127e+03	3.357e+01	6.300e+02	2.510e+01	8.500e+01	9.220e+00
9	8.540e+02	2.922e+01	1.171e+03	3.422e+01	6.020e+02	2.454e+01	1.210e+02	1.100e+01
10	8.650e+02	2.941e+01	1.171e+03	3.422e+01	5.460e+02	2.337e+01	9.700e+01	9.849e+00
11	8.930e+02	2.988e+01	1.267e+03	3.559e+01	6.040e+02	2.458e+01	1.250e+02	1.118e+01
12	9.760e+02	3.124e+01	1.241e+03	3.523e+01	5.670e+02	2.381e+01	1.080e+02	1.039e+01
13	9.710e+02	3.116e+01	1.228e+03	3.504e+01	6.090e+02	2.468e+01	1.360e+02	1.166e+01
14	1.084e+03	3.292e+01	1.253e+03	3.540e+01	6.400e+02	2.530e+01	1.480e+02	1.217e+01
15	1.048e+03	3.237e+01	1.301e+03	3.607e+01	6.690e+02	2.587e+01	1.660e+02	1.288e+01
16	1.151e+03	3.393e+01	1.291e+03	3.593e+01	6.970e+02	2.640e+01	1.650e+02	1.285e+01
17	1.207e+03	3.474e+01	1.474e+03	3.839e+01	7.770e+02	2.787e+01	1.870e+02	1.367e+01
18	1.154e+03	3.397e+01	1.401e+03	3.743e+01	7.920e+02	2.814e+01	1.750e+02	1.323e+01
19	1.223e+03	3.497e+01	1.389e+03	3.727e+01	8.320e+02	2.884e+01	1.730e+02	1.315e+01
20	1.222e+03	3.496e+01	1.470e+03	3.834e+01	8.130e+02	2.851e+01	2.000e+02	1.414e+01
21	1.321e+03	3.635e+01	1.530e+03	3.912e+01	8.820e+02	2.970e+01	1.990e+02	1.411e+01
22	1.395e+03	3.735e+01	1.577e+03	3.971e+01	8.870e+02	2.978e+01	2.370e+02	1.539e+01
23	1.481e+03	3.848e+01	1.580e+03	3.975e+01	9.120e+02	3.020e+01	2.280e+02	1.510e+01
24	1.545e+03	3.931e+01	1.560e+03	3.950e+01	9.720e+02	3.118e+01	2.780e+02	1.667e+01
25	1.587e+03	3.984e+01	1.641e+03	4.051e+01	9.590e+02	3.097e+01	2.480e+02	1.575e+01
26	1.563e+03	3.953e+01	1.699e+03	4.122e+01	1.025e+03	3.202e+01	2.710e+02	1.646e+01
27	1.707e+03	4.132e+01	1.741e+03	4.173e+01	1.043e+03	3.230e+01	2.730e+02	1.652e+01
28	1.806e+03	4.250e+01	1.827e+03	4.274e+01	1.192e+03	3.453e+01	3.120e+02	1.766e+01
29	1.862e+03	4.315e+01	1.891e+03	4.349e+01	1.166e+03	3.415e+01	2.960e+02	1.720e+01
30	1.942e+03	4.407e+01	1.899e+03	4.358e+01	1.264e+03	3.555e+01	3.650e+02	1.910e+01
