# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=1		POL=1		POL=1		POL=1	
1	9.300e+01	9.644e+00	1.020e+02	1.010e+01	7.100e+01	8.426e+00	1.600e+01	4.000e+00
2	9.600e+01	9.798e+00	1.070e+02	1.034e+01	8.000e+01	8.944e+00	1.300e+01	3.606e+00
3	1.100e+02	1.049e+01	1.160e+02	1.077e+01	7.200e+01	8.485e+00	2.000e+01	4.472e+00
4	1.100e+02	1.049e+01	1.270e+02	1.127e+01	8.200e+01	9.055e+00	1.600e+01	4.000e+00
5	1.390e+02	1.179e+01	1.310e+02	1.145e+01	9.700e+01	9.849e+00	1.400e+01	3.742e+00
6	1.080e+02	1.039e+01	1.310e+02	1.145e+01	1.140e+02	1.068e+01	2.000e+01	4.472e+00
7	1.200e+02	1.095e+01	1.470e+02	1.212e+01	8.300e+01	9.110e+00	1.900e+01	4.359e+00
8	1.260e+02	1.122e+01	1.230e+02	1.109e+01	8.900e+01	9.434e+00	1.800e+01	4.243e+00
9	1.450e+02	1.204e+01	1.550e+02	1.245e+01	9.400e+01	9.695e+00	1.800e+01	4.243e+00
10	1.410e+02	1.187e+01	1.470e+02	1.212e+01	9.200e+01	9.592e+00	2.900e+01	5.385e+00
11	1.470e+02	1.212e+01	1.410e+02	1.187e+01	1.180e+02	1.086e+01	2.400e+01	4.899e+00
12	1.400e+02	1.183e+01	1.300e+02	1.140e+01	1.060e+02	1.030e+01	2.800e+01	5.292e+00
13	1.670e+02	1.292e+01	1.600e+02	1.265e+01	9.800e+01	9.899e+00	3.000e+01	5.477e+00
14	1.630e+02	1.277e+01	1.780e+02	1.334e+01	1.070e+02	1.034e+01	2.500e+01	5.000e+00
15	1.600e+02	1.265e+01	1.650e+02	1.285e+01	1.000e+02	1.000e+01	3.600e+01	6.000e+00
16	1.720e+02	1.311e+01	1.680e+02	1.296e+01	1.190e+02	1.091e+01	2.600e+01	5.099e+00
17	1.490e+02	1.221e+01	1.880e+02	1.371e+01	1.140e+02	1.068e+01	3.900e+01	6.245e+00
18	1.780e+02	1.334e+01	1.610e+02	1.269e+01	1.140e+02	1.068e+01	2.500e+01	5.000e+00
19	1.990e+02	1.411e+01	1.870e+02	1.367e+01	1.250e+02	1.118e+01	4.300e+01	6.557e+00
20	1.570e+02	1.253e+01	1.580e+02	1.257e+01	1.360e+02	1.166e+01	2.800e+01	5.292e+00
21	1.690e+02	1.300e+01	1.740e+02	1.319e+01	1.420e+02	1.192e+01	2.700e+01	5.196e+00
22	1.770e+02	1.330e+01	1.950e+02	1.396e+01	1.490e+02	1.221e+01	4.300e+01	6.557e+00
23	1.750e+02	1.323e+01	1.980e+02	1.407e+01	1.400e+02	1.183e+01	3.900e+01	6.245e+00
24	2.080e+02	1.442e+01	1.990e+02	1.411e+01	1.650e+02	1.285e+01	3.700e+01	6.083e+00
25	1.920e+02	1.386e+01	2.100e+02	1.449e+01	1.500e+02	1.225e+01	3.200e+01	5.657e+00
26	2.100e+02	1.449e+01	2.080e+02	1.442e+01	1.390e+02	1.179e+01	3.900e+01	6.245e+00
27	2.170e+02	1.473e+01	2.050e+02	1.432e+01	1.470e+02	1.212e+01	5.500e+01	7.416e+00
28	1.950e+02	1.396e+01	2.140e+02	1.463e+01	1.650e+02	1.285e+01	4.400e+01	6.633e+00
29	2.320e+02	1.523e+01	2.490e+02	1.578e+01	1.720e+02	1.311e+01	4.300e+01	6.557e+00
30	2.490e+02	1.578e+01	2.270e+02	1.507e+01	1.630e+02	1.277e+01	4.300e+01	6.557e+00
