# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=1		POL=0		POL=1		POL=0	
1	8.200e+01	9.055e+00	4.700e+01	6.856e+00	3.600e+01	6.000e+00	4.000e+00	2.000e+00
2	1.020e+02	1.010e+01	4.100e+01	6.403e+00	4.200e+01	6.481e+00	5.000e+00	2.236e+00
3	1.050e+02	1.025e+01	5.600e+01	7.483e+00	2.300e+01	4.796e+00	3.000e+00	1.732e+00
4	1.010e+02	1.005e+01	5.500e+01	7.416e+00	2.900e+01	5.385e+00	4.000e+00	2.000e+00
5	9.600e+01	9.798e+00	4.900e+01	7.000e+00	2.500e+01	5.000e+00	7.000e+00	2.646e+00
6	1.090e+02	1.044e+01	3.800e+01	6.164e+00	2.600e+01	5.099e+00	5.000e+00	2.236e+00
7	1.090e+02	1.044e+01	3.100e+01	5.568e+00	2.500e+01	5.000e+00	0.000e+00	0.000e+00
8	9.100e+01	9.539e+00	3.600e+01	6.000e+00	3.100e+01	5.568e+00	5.000e+00	2.236e+00
9	7.700e+01	8.775e+00	4.200e+01	6.481e+00	2.800e+01	5.292e+00	5.000e+00	2.236e+00
10	1.010e+02	1.005e+01	3.200e+01	5.657e+00	3.100e+01	5.568e+00	3.000e+00	1.732e+00
11	9.600e+01	9.798e+00	3.300e+01	5.745e+00	3.100e+01	5.568e+00	2.000e+00	1.414e+00
12	8.000e+01	8.944e+00	2.700e+01	5.196e+00	2.300e+01	4.796e+00	5.000e+00	2.236e+00
13	7.500e+01	8.660e+00	4.200e+01	6.481e+00	1.300e+01	3.606e+00	1.000e+00	1.000e+00
14	8.400e+01	9.165e+00	4.700e+01	6.856e+00	2.200e+01	4.690e+00	2.000e+00	1.414e+00
15	6.800e+01	8.246e+00	3.600e+01	6.000e+00	2.700e+01	5.196e+00	7.000e+00	2.646e+00
16	6.900e+01	8.307e+00	4.000e+01	6.325e+00	2.800e+01	5.292e+00	3.000e+00	1.732e+00
17	6.800e+01	8.246e+00	4.400e+01	6.633e+00	1.600e+01	4.000e+00	1.000e+00	1.000e+00
18	7.500e+01	8.660e+00	3.600e+01	6.000e+00	1.500e+01	3.873e+00	3.000e+00	1.732e+00
19	7.300e+01	8.544e+00	4.000e+01	6.325e+00	1.500e+01	3.873e+00	2.000e+00	1.414e+00
20	6.500e+01	8.062e+00	3.100e+01	5.568e+00	1.800e+01	4.243e+00	5.000e+00	2.236e+00
21	6.700e+01	8.185e+00	3.500e+01	5.916e+00	1.700e+01	4.123e+00	5.000e+00	2.236e+00
22	7.100e+01	8.426e+00	4.500e+01	6.708e+00	1.500e+01	3.873e+00	6.000e+00	2.449e+00
23	6.700e+01	8.185e+00	3.400e+01	5.831e+00	1.800e+01	4.243e+00	0.000e+00	0.000e+00
24	6.000e+01	7.746e+00	3.200e+01	5.657e+00	1.700e+01	4.123e+00	3.000e+00	1.732e+00
25	6.000e+01	7.746e+00	2.500e+01	5.000e+00	1.500e+01	3.873e+00	4.000e+00	2.000e+00
26	7.900e+01	8.888e+00	4.100e+01	6.403e+00	1.800e+01	4.243e+00	3.000e+00	1.732e+00
27	6.600e+01	8.124e+00	3.200e+01	5.657e+00	8.000e+00	2.828e+00	1.000e+00	1.000e+00
28	5.000e+01	7.071e+00	3.200e+01	5.657e+00	1.200e+01	3.464e+00	2.000e+00	1.414e+00
29	5.400e+01	7.348e+00	2.700e+01	5.196e+00	1.700e+01	4.123e+00	1.000e+00	1.000e+00
30	5.500e+01	7.416e+00	3.600e+01	6.000e+00	1.500e+01	3.873e+00	6.000e+00	2.449e+00
