# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=1		POL=4		POL=2		POL=1	
1	4.408e+03	6.639e+01	4.681e+03	6.842e+01	3.190e+03	5.648e+01	6.470e+02	2.544e+01
2	4.820e+03	6.943e+01	5.356e+03	7.318e+01	3.624e+03	6.020e+01	7.280e+02	2.698e+01
3	5.100e+03	7.141e+01	5.669e+03	7.529e+01	3.850e+03	6.205e+01	7.300e+02	2.702e+01
4	5.371e+03	7.329e+01	6.012e+03	7.754e+01	4.024e+03	6.344e+01	8.740e+02	2.956e+01
5	5.503e+03	7.418e+01	6.259e+03	7.911e+01	4.075e+03	6.384e+01	8.800e+02	2.966e+01
6	5.858e+03	7.654e+01	6.333e+03	7.958e+01	4.278e+03	6.541e+01	9.290e+02	3.048e+01
7	6.107e+03	7.815e+01	6.407e+03	8.004e+01	4.329e+03	6.580e+01	1.037e+03	3.220e+01
8	6.320e+03	7.950e+01	6.542e+03	8.088e+01	4.310e+03	6.565e+01	1.036e+03	3.219e+01
9	6.577e+03	8.110e+01	6.573e+03	8.107e+01	4.426e+03	6.653e+01	1.132e+03	3.365e+01
10	6.765e+03	8.225e+01	6.620e+03	8.136e+01	4.430e+03	6.656e+01	1.150e+03	3.391e+01
11	7.190e+03	8.479e+01	6.942e+03	8.332e+01	4.619e+03	6.796e+01	1.265e+03	3.557e+01
12	7.243e+03	8.511e+01	6.958e+03	8.341e+01	4.735e+03	6.881e+01	1.273e+03	3.568e+01
13	7.351e+03	8.574e+01	7.067e+03	8.407e+01	4.770e+03	6.907e+01	1.296e+03	3.600e+01
14	7.966e+03	8.925e+01	7.022e+03	8.380e+01	5.028e+03	7.091e+01	1.344e+03	3.666e+01
15	8.016e+03	8.953e+01	7.222e+03	8.498e+01	5.311e+03	7.288e+01	1.468e+03	3.831e+01
16	8.151e+03	9.028e+01	7.457e+03	8.635e+01	5.263e+03	7.255e+01	1.518e+03	3.896e+01
17	8.446e+03	9.190e+01	7.595e+03	8.715e+01	5.485e+03	7.406e+01	1.576e+03	3.970e+01
18	8.566e+03	9.255e+01	7.861e+03	8.866e+01	5.527e+03	7.434e+01	1.575e+03	3.969e+01
19	8.800e+03	9.381e+01	7.921e+03	8.900e+01	5.920e+03	7.694e+01	1.641e+03	4.051e+01
20	9.035e+03	9.505e+01	8.140e+03	9.022e+01	5.939e+03	7.706e+01	1.624e+03	4.030e+01
21	9.190e+03	9.586e+01	8.475e+03	9.206e+01	6.127e+03	7.828e+01	1.723e+03	4.151e+01
22	9.480e+03	9.737e+01	8.721e+03	9.339e+01	6.269e+03	7.918e+01	1.847e+03	4.298e+01
23	9.852e+03	9.926e+01	8.912e+03	9.440e+01	6.468e+03	8.042e+01	1.913e+03	4.374e+01
24	1.001e+04	1.001e+02	9.220e+03	9.602e+01	6.706e+03	8.189e+01	1.811e+03	4.256e+01
25	9.961e+03	9.980e+01	9.441e+03	9.716e+01	7.072e+03	8.410e+01	1.927e+03	4.390e+01
26	1.040e+04	1.020e+02	9.765e+03	9.882e+01	7.197e+03	8.484e+01	1.983e+03	4.453e+01
27	1.027e+04	1.013e+02	9.918e+03	9.959e+01	7.468e+03	8.642e+01	2.115e+03	4.599e+01
28	1.062e+04	1.031e+02	1.030e+04	1.015e+02	7.668e+03	8.757e+01	2.149e+03	4.636e+01
29	1.110e+04	1.053e+02	1.032e+04	1.016e+02	7.910e+03	8.894e+01	2.162e+03	4.650e+01
30	1.144e+04	1.069e+02	1.087e+04	1.043e+02	8.530e+03	9.236e+01	2.270e+03	4.764e+01
