# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=0		POL=0		POL=0		POL=0	
1	7.474e-01	4.736e-01	1.427e+00	5.846e-01	8.421e-01	5.967e-01	0.000e+00	0.000e+00
2	1.161e+00	5.823e-01	1.370e+00	5.392e-01	5.505e-01	4.501e-01	2.667e+00	2.685e+00
3	6.916e-01	4.381e-01	1.233e+00	5.051e-01	7.678e-01	5.439e-01	4.545e+00	3.755e+00
4	9.938e-01	4.981e-01	9.298e-01	4.393e-01	1.154e+00	6.681e-01	0.000e+00	0.000e+00
5	1.140e+00	5.714e-01	1.055e+00	4.509e-01	2.321e+00	9.159e-01	0.000e+00	0.000e+00
6	6.427e-01	4.071e-01	1.174e+00	4.620e-01	1.239e+00	6.643e-01	1.961e+00	1.971e+00
7	1.623e+00	6.392e-01	1.185e+00	4.662e-01	8.460e-01	5.362e-01	1.887e+00	1.896e+00
8	1.293e+00	5.530e-01	9.666e-01	4.132e-01	1.716e+00	7.349e-01	0.000e+00	0.000e+00
9	5.821e-01	3.687e-01	1.597e+00	5.201e-01	4.959e-01	4.054e-01	0.000e+00	0.000e+00
10	1.143e+00	5.126e-01	1.348e+00	4.782e-01	1.087e+00	6.293e-01	1.020e+00	1.447e+00
11	4.459e-01	3.157e-01	1.477e+00	4.811e-01	9.836e-01	5.693e-01	1.575e+00	1.581e+00
12	1.514e+00	5.548e-01	1.273e+00	4.515e-01	7.005e-01	4.962e-01	9.174e-01	1.300e+00
13	1.120e+00	4.790e-01	1.048e+00	4.120e-01	1.136e+00	6.092e-01	0.000e+00	0.000e+00
14	6.416e-01	3.435e-01	8.703e-01	3.719e-01	7.752e-01	4.912e-01	0.000e+00	0.000e+00
15	1.132e+00	4.635e-01	1.514e+00	4.806e-01	1.182e+00	5.926e-01	1.190e+00	1.194e+00
16	8.613e-01	3.860e-01	1.526e+00	4.843e-01	5.706e-01	4.041e-01	6.024e-01	8.532e-01
17	9.031e-01	3.860e-01	1.339e+00	4.248e-01	5.122e-01	3.626e-01	0.000e+00	0.000e+00
18	1.029e+00	4.212e-01	8.493e-01	3.474e-01	1.124e+00	5.312e-01	5.682e-01	8.047e-01
19	8.110e-01	3.634e-01	1.419e+00	4.505e-01	1.188e+00	5.327e-01	0.000e+00	0.000e+00
20	1.053e+00	4.140e-01	1.342e+00	4.259e-01	1.693e+00	6.426e-01	1.478e+00	1.211e+00
21	7.513e-01	3.366e-01	1.734e+00	4.740e-01	6.757e-01	3.908e-01	5.000e-01	7.080e-01
22	6.410e-01	3.027e-01	8.176e-01	3.214e-01	5.605e-01	3.550e-01	1.660e+00	1.179e+00
23	1.069e+00	3.789e-01	9.404e-01	3.442e-01	8.696e-01	4.357e-01	1.299e+00	1.064e+00
24	9.615e-01	3.520e-01	1.015e+00	3.599e-01	1.119e+00	4.785e-01	1.418e+00	1.007e+00
25	6.262e-01	2.805e-01	8.459e-01	3.204e-01	1.134e+00	4.849e-01	4.016e-01	5.685e-01
26	1.076e+00	3.700e-01	1.048e+00	3.504e-01	1.252e+00	4.928e-01	1.095e+00	8.964e-01
27	1.329e+00	3.934e-01	9.670e-01	3.325e-01	1.044e+00	4.462e-01	1.087e+00	8.899e-01
28	1.041e+00	3.387e-01	1.297e+00	3.755e-01	6.667e-01	3.339e-01	9.524e-01	7.795e-01
29	7.991e-01	2.924e-01	1.562e+00	4.048e-01	1.019e+00	4.169e-01	1.661e+00	1.055e+00
30	1.271e+00	3.606e-01	8.873e-01	3.050e-01	7.849e-01	3.517e-01	8.152e-01	6.670e-01
