# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=1		POL=2		POL=4		POL=0	
1	1.410e+02	1.187e+01	1.400e+02	1.183e+01	1.170e+02	1.082e+01	1.800e+01	4.243e+00
2	1.900e+02	1.378e+01	1.890e+02	1.375e+01	1.140e+02	1.068e+01	1.700e+01	4.123e+00
3	1.980e+02	1.407e+01	2.550e+02	1.597e+01	1.400e+02	1.183e+01	1.300e+01	3.606e+00
4	1.830e+02	1.353e+01	2.020e+02	1.421e+01	1.390e+02	1.179e+01	1.800e+01	4.243e+00
5	1.800e+02	1.342e+01	2.480e+02	1.575e+01	1.440e+02	1.200e+01	1.200e+01	3.464e+00
6	1.980e+02	1.407e+01	2.480e+02	1.575e+01	1.510e+02	1.229e+01	2.100e+01	4.583e+00
7	2.030e+02	1.425e+01	2.510e+02	1.584e+01	1.550e+02	1.245e+01	1.700e+01	4.123e+00
8	1.910e+02	1.382e+01	2.640e+02	1.625e+01	1.470e+02	1.212e+01	1.900e+01	4.359e+00
9	2.280e+02	1.510e+01	3.260e+02	1.806e+01	1.360e+02	1.166e+01	2.100e+01	4.583e+00
10	1.910e+02	1.382e+01	3.730e+02	1.931e+01	1.320e+02	1.149e+01	2.000e+01	4.472e+00
11	1.950e+02	1.396e+01	3.490e+02	1.868e+01	1.330e+02	1.153e+01	2.100e+01	4.583e+00
12	2.130e+02	1.459e+01	3.380e+02	1.838e+01	1.580e+02	1.257e+01	2.000e+01	4.472e+00
13	1.960e+02	1.400e+01	3.800e+02	1.949e+01	1.380e+02	1.175e+01	2.300e+01	4.796e+00
14	2.410e+02	1.552e+01	4.070e+02	2.017e+01	1.530e+02	1.237e+01	3.000e+01	5.477e+00
15	2.010e+02	1.418e+01	4.050e+02	2.012e+01	1.240e+02	1.114e+01	2.300e+01	4.796e+00
16	2.260e+02	1.503e+01	4.460e+02	2.112e+01	1.200e+02	1.095e+01	2.600e+01	5.099e+00
17	2.130e+02	1.459e+01	4.370e+02	2.090e+01	1.420e+02	1.192e+01	2.200e+01	4.690e+00
18	2.330e+02	1.526e+01	5.040e+02	2.245e+01	1.210e+02	1.100e+01	2.100e+01	4.583e+00
19	2.510e+02	1.584e+01	4.950e+02	2.225e+01	1.350e+02	1.162e+01	2.400e+01	4.899e+00
20	2.410e+02	1.552e+01	5.100e+02	2.258e+01	1.480e+02	1.217e+01	1.500e+01	3.873e+00
21	2.220e+02	1.490e+01	4.800e+02	2.191e+01	1.530e+02	1.237e+01	2.600e+01	5.099e+00
22	2.580e+02	1.606e+01	4.030e+02	2.007e+01	1.300e+02	1.140e+01	1.700e+01	4.123e+00
23	2.680e+02	1.637e+01	4.120e+02	2.030e+01	1.650e+02	1.285e+01	3.800e+01	6.164e+00
24	2.580e+02	1.606e+01	4.290e+02	2.071e+01	1.690e+02	1.300e+01	2.300e+01	4.796e+00
25	2.820e+02	1.679e+01	4.410e+02	2.100e+01	1.710e+02	1.308e+01	2.500e+01	5.000e+00
26	2.930e+02	1.712e+01	4.270e+02	2.066e+01	1.890e+02	1.375e+01	2.900e+01	5.385e+00
27	2.650e+02	1.628e+01	4.610e+02	2.147e+01	1.630e+02	1.277e+01	3.300e+01	5.745e+00
28	2.930e+02	1.712e+01	4.260e+02	2.064e+01	1.500e+02	1.225e+01	3.200e+01	5.657e+00
29	3.080e+02	1.755e+01	4.280e+02	2.069e+01	1.630e+02	1.277e+01	2.200e+01	4.690e+00
30	3.440e+02	1.855e+01	4.430e+02	2.105e+01	1.760e+02	1.327e+01	3.500e+01	5.916e+00
