# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_4/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4
# plane	POL=1		POL=2		POL=5		POL=2	
1	5.890e+04	2.427e+02	1.594e+05	3.993e+02	9.667e+04	3.109e+02	1.231e+04	1.110e+02
2	6.347e+04	2.519e+02	1.629e+05	4.036e+02	9.956e+04	3.155e+02	1.299e+04	1.140e+02
3	6.459e+04	2.541e+02	1.634e+05	4.042e+02	9.936e+04	3.152e+02	1.308e+04	1.144e+02
4	6.465e+04	2.543e+02	1.615e+05	4.019e+02	9.935e+04	3.152e+02	1.288e+04	1.135e+02
5	6.455e+04	2.541e+02	1.605e+05	4.006e+02	9.841e+04	3.137e+02	1.302e+04	1.141e+02
6	6.540e+04	2.557e+02	1.586e+05	3.983e+02	9.679e+04	3.111e+02	1.285e+04	1.133e+02
7	6.568e+04	2.563e+02	1.567e+05	3.958e+02	9.651e+04	3.107e+02	1.287e+04	1.134e+02
8	6.543e+04	2.558e+02	1.563e+05	3.953e+02	9.553e+04	3.091e+02	1.276e+04	1.130e+02
9	6.909e+04	2.629e+02	1.562e+05	3.953e+02	9.288e+04	3.048e+02	1.294e+04	1.137e+02
10	6.938e+04	2.634e+02	1.556e+05	3.945e+02	9.289e+04	3.048e+02	1.311e+04	1.145e+02
11	6.994e+04	2.645e+02	1.552e+05	3.940e+02	9.217e+04	3.036e+02	1.316e+04	1.147e+02
12	6.983e+04	2.643e+02	1.555e+05	3.943e+02	9.251e+04	3.042e+02	1.322e+04	1.150e+02
13	7.092e+04	2.663e+02	1.552e+05	3.940e+02	9.281e+04	3.047e+02	1.345e+04	1.160e+02
14	7.113e+04	2.667e+02	1.559e+05	3.948e+02	9.338e+04	3.056e+02	1.334e+04	1.155e+02
15	7.222e+04	2.687e+02	1.555e+05	3.943e+02	9.259e+04	3.043e+02	1.347e+04	1.160e+02
16	7.342e+04	2.710e+02	1.557e+05	3.946e+02	9.308e+04	3.051e+02	1.364e+04	1.168e+02
17	7.392e+04	2.719e+02	1.562e+05	3.952e+02	9.366e+04	3.060e+02	1.361e+04	1.166e+02
18	7.479e+04	2.735e+02	1.571e+05	3.964e+02	9.406e+04	3.067e+02	1.369e+04	1.170e+02
19	7.531e+04	2.744e+02	1.570e+05	3.963e+02	9.322e+04	3.053e+02	1.387e+04	1.178e+02
20	7.576e+04	2.752e+02	1.579e+05	3.974e+02	9.497e+04	3.082e+02	1.388e+04	1.178e+02
21	7.633e+04	2.763e+02	1.583e+05	3.979e+02	9.511e+04	3.084e+02	1.396e+04	1.181e+02
22	7.747e+04	2.783e+02	1.592e+05	3.990e+02	9.545e+04	3.090e+02	1.389e+04	1.179e+02
23	7.852e+04	2.802e+02	1.596e+05	3.995e+02	9.590e+04	3.097e+02	1.417e+04	1.190e+02
24	7.962e+04	2.822e+02	1.597e+05	3.996e+02	9.655e+04	3.107e+02	1.446e+04	1.202e+02
25	8.024e+04	2.833e+02	1.603e+05	4.004e+02	9.645e+04	3.106e+02	1.455e+04	1.206e+02
26	8.102e+04	2.846e+02	1.616e+05	4.020e+02	9.752e+04	3.123e+02	1.457e+04	1.207e+02
27	8.142e+04	2.853e+02	1.611e+05	4.014e+02	9.807e+04	3.132e+02	1.484e+04	1.218e+02
28	8.251e+04	2.872e+02	1.623e+05	4.029e+02	9.865e+04	3.141e+02	1.492e+04	1.222e+02
29	8.462e+04	2.909e+02	1.639e+05	4.048e+02	1.000e+05	3.162e+02	1.516e+04	1.231e+02
30	8.726e+04	2.954e+02	1.664e+05	4.079e+02	1.014e+05	3.185e+02	1.535e+04	1.239e+02
