# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	9.743e-01	2.217e-01	1.352e+00	2.285e-01	9.053e-01	3.321e-01	1.300e+00	3.221e-01	7.767e-01	1.949e-01	8.761e-01	1.634e-01	6.452e-01	2.288e-01	9.040e-01	2.519e-01	1.123e+00	2.965e-01
2	1.078e+00	2.126e-01	9.472e-01	1.799e-01	1.303e+00	3.868e-01	8.570e-01	2.435e-01	1.011e+00	2.054e-01	9.016e-01	1.520e-01	9.317e-01	2.417e-01	9.425e-01	2.487e-01	1.090e+00	2.830e-01
3	1.088e+00	2.015e-01	9.583e-01	1.689e-01	8.671e-01	2.903e-01	1.084e+00	2.644e-01	9.268e-01	1.921e-01	1.018e+00	1.588e-01	1.053e+00	2.460e-01	9.818e-01	2.358e-01	7.934e-01	2.349e-01
4	1.019e+00	1.854e-01	1.232e+00	1.818e-01	8.280e-01	2.771e-01	9.233e-01	2.319e-01	1.141e+00	2.045e-01	1.105e+00	1.588e-01	9.146e-01	2.196e-01	9.033e-01	2.201e-01	9.223e-01	2.476e-01
5	9.508e-01	1.759e-01	1.239e+00	1.755e-01	1.383e+00	3.378e-01	9.668e-01	2.259e-01	9.012e-01	1.726e-01	9.176e-01	1.382e-01	8.960e-01	2.121e-01	1.106e+00	2.344e-01	8.666e-01	2.247e-01
6	1.208e+00	1.898e-01	1.001e+00	1.508e-01	9.847e-01	2.599e-01	7.526e-01	1.889e-01	1.149e+00	1.954e-01	1.013e+00	1.418e-01	9.639e-01	2.089e-01	1.080e+00	2.173e-01	1.044e+00	2.346e-01
7	1.105e+00	1.736e-01	1.187e+00	1.618e-01	8.649e-01	2.409e-01	1.006e+00	2.132e-01	9.393e-01	1.682e-01	1.129e+00	1.424e-01	1.073e+00	2.135e-01	1.040e+00	2.090e-01	9.560e-01	2.148e-01
8	1.042e+00	1.656e-01	1.309e+00	1.641e-01	8.746e-01	2.391e-01	7.467e-01	1.792e-01	1.089e+00	1.775e-01	9.806e-01	1.288e-01	8.480e-01	1.837e-01	9.768e-01	2.004e-01	1.131e+00	2.274e-01
9	1.219e+00	1.743e-01	1.237e+00	1.556e-01	1.011e+00	2.502e-01	1.076e+00	2.122e-01	1.210e+00	1.805e-01	1.068e+00	1.302e-01	1.160e+00	2.130e-01	1.119e+00	2.038e-01	8.023e-01	1.824e-01
10	1.023e+00	1.578e-01	1.072e+00	1.409e-01	1.286e+00	2.698e-01	1.070e+00	2.051e-01	1.115e+00	1.671e-01	1.039e+00	1.285e-01	1.073e+00	1.986e-01	1.010e+00	1.885e-01	8.644e-01	1.851e-01
