# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	2.858e-01	1.348e-01	2.814e-01	1.104e-01	4.288e-01	1.294e-01	2.357e-01	7.278e-02	3.812e-01	7.211e-02	3.889e-01	5.618e-02	4.483e-01	9.257e-02	3.917e-01	8.661e-02	3.198e-01	8.405e-02
2	3.918e-01	1.482e-01	4.210e-01	1.301e-01	3.429e-01	1.144e-01	3.812e-01	8.994e-02	3.304e-01	6.140e-02	3.472e-01	4.796e-02	3.888e-01	7.560e-02	4.417e-01	8.589e-02	3.233e-01	8.356e-02
3	2.401e-01	1.132e-01	4.976e-01	1.409e-01	2.772e-01	9.809e-02	3.333e-01	8.213e-02	3.380e-01	6.228e-02	3.515e-01	4.722e-02	3.385e-01	6.708e-02	3.490e-01	7.448e-02	3.696e-01	8.973e-02
4	4.110e-01	1.455e-01	4.984e-01	1.384e-01	3.344e-01	1.116e-01	3.502e-01	8.378e-02	3.076e-01	5.767e-02	3.600e-01	4.632e-02	4.190e-01	7.414e-02	3.309e-01	7.315e-02	3.159e-01	8.304e-02
5	2.567e-01	1.149e-01	3.276e-01	1.124e-01	4.129e-01	1.246e-01	2.912e-01	7.524e-02	4.512e-01	7.011e-02	3.464e-01	4.593e-02	3.606e-01	6.882e-02	4.070e-01	8.067e-02	3.107e-01	8.166e-02
6	3.628e-01	1.372e-01	3.636e-01	1.181e-01	2.445e-01	9.245e-02	2.481e-01	7.021e-02	3.681e-01	6.464e-02	4.056e-01	5.056e-02	4.065e-01	7.491e-02	4.397e-01	8.551e-02	3.385e-01	8.605e-02
7	3.033e-01	1.239e-01	4.751e-01	1.345e-01	4.293e-01	1.267e-01	3.505e-01	8.635e-02	3.345e-01	6.163e-02	3.878e-01	4.929e-02	3.795e-01	7.311e-02	3.726e-01	7.951e-02	3.477e-01	8.840e-02
8	4.278e-01	1.469e-01	4.767e-01	1.350e-01	4.107e-01	1.269e-01	3.465e-01	8.671e-02	3.534e-01	6.405e-02	3.010e-01	4.417e-02	3.500e-01	7.076e-02	3.767e-01	8.228e-02	4.126e-01	9.735e-02
9	3.960e-01	1.402e-01	3.239e-01	1.112e-01	2.431e-01	9.931e-02	4.192e-01	9.892e-02	2.645e-01	5.707e-02	3.627e-01	4.895e-02	3.166e-01	6.833e-02	3.092e-01	7.618e-02	3.873e-01	9.545e-02
10	3.519e-01	1.331e-01	2.496e-01	9.797e-02	2.508e-01	1.025e-01	3.246e-01	8.681e-02	3.845e-01	7.026e-02	3.644e-01	5.083e-02	3.232e-01	7.059e-02	3.438e-01	8.111e-02	3.877e-01	9.553e-02
11	2.705e-01	1.154e-01	2.517e-01	9.880e-02	4.615e-01	1.426e-01	2.182e-01	7.084e-02	3.883e-01	7.155e-02	3.162e-01	4.827e-02	3.181e-01	7.119e-02	4.395e-01	9.381e-02	3.921e-01	9.812e-02
12	2.930e-01	1.197e-01	4.533e-01	1.338e-01	5.313e-01	1.569e-01	5.041e-01	1.102e-01	3.937e-01	7.256e-02	4.310e-01	5.740e-02	4.234e-01	8.313e-02	3.241e-01	8.109e-02	3.022e-01	8.729e-02
13	3.055e-01	1.248e-01	2.532e-01	9.936e-02	2.593e-01	1.059e-01	3.734e-01	9.649e-02	4.807e-01	8.254e-02	3.624e-01	5.291e-02	4.465e-01	8.851e-02	3.376e-01	8.447e-02	2.509e-01	7.940e-02
14	4.767e-01	1.548e-01	3.246e-01	1.149e-01	4.240e-01	1.377e-01	3.609e-01	9.655e-02	3.576e-01	7.159e-02	3.943e-01	5.582e-02	3.326e-01	7.740e-02	2.820e-01	7.826e-02	2.872e-01	8.667e-02
15	2.745e-01	1.171e-01	4.164e-01	1.286e-01	3.560e-01	1.260e-01	2.900e-01	8.752e-02	2.472e-01	6.088e-02	4.084e-01	5.725e-02	2.540e-01	6.792e-02	3.384e-01	8.603e-02	4.213e-01	1.054e-01
16	4.537e-01	1.514e-01	3.338e-01	1.146e-01	2.948e-01	1.157e-01	3.212e-01	9.281e-02	5.015e-01	8.611e-02	3.641e-01	5.494e-02	3.213e-01	7.799e-02	4.177e-01	9.592e-02	3.240e-01	9.170e-02
17	3.044e-01	1.244e-01	2.260e-01	9.641e-02	2.321e-01	1.039e-01	4.077e-01	1.054e-01	3.593e-01	7.500e-02	3.116e-01	5.126e-02	2.735e-01	7.188e-02	3.856e-01	9.362e-02	3.057e-01	9.022e-02
18	3.669e-01	1.388e-01	3.949e-01	1.283e-01	4.619e-01	1.541e-01	2.932e-01	9.279e-02	2.990e-01	6.691e-02	2.999e-01	4.968e-02	3.798e-01	8.500e-02	4.490e-01	1.031e-01	3.280e-01	9.478e-02
19	3.153e-01	1.288e-01	4.452e-01	1.344e-01	3.219e-01	1.263e-01	2.777e-01	8.788e-02	4.202e-01	8.171e-02	2.692e-01	4.800e-02	3.222e-01	7.938e-02	3.116e-01	8.649e-02	2.163e-01	7.652e-02
20	3.332e-01	1.308e-01	3.453e-01	1.185e-01	4.291e-01	1.519e-01	3.950e-01	1.076e-01	3.143e-01	7.033e-02	3.597e-01	5.556e-02	2.852e-01	7.495e-02	3.031e-01	8.581e-02	3.566e-01	9.899e-02
21	2.609e-01	1.168e-01	3.353e-01	1.186e-01	4.858e-01	1.538e-01	3.551e-01	1.005e-01	3.710e-01	7.830e-02	3.028e-01	5.198e-02	2.669e-01	7.268e-02	4.463e-01	1.053e-01	3.573e-01	9.920e-02
22	4.974e-01	1.616e-01	2.294e-01	9.785e-02	4.475e-01	1.493e-01	2.459e-01	8.439e-02	4.088e-01	8.185e-02	4.335e-01	6.137e-02	3.512e-01	8.286e-02	3.096e-01	8.765e-02	2.299e-01	8.131e-02
23	2.446e-01	1.154e-01	4.840e-01	1.429e-01	3.077e-01	1.257e-01	3.204e-01	9.456e-02	3.177e-01	7.199e-02	3.978e-01	5.903e-02	3.351e-01	8.256e-02	4.457e-01	1.037e-01	3.832e-01	1.025e-01
