# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=3		POL=1		POL=4		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2	
1	3.640e+02	1.908e+01	4.760e+02	2.182e+01	1.700e+02	1.304e+01	2.770e+02	1.664e+01	4.330e+02	2.081e+01	7.620e+02	2.760e+01	3.150e+02	1.775e+01	3.600e+02	1.897e+01	2.690e+02	1.640e+01
2	3.700e+02	1.924e+01	4.060e+02	2.015e+01	1.660e+02	1.288e+01	2.490e+02	1.578e+01	4.580e+02	2.140e+01	7.460e+02	2.731e+01	3.410e+02	1.847e+01	3.150e+02	1.775e+01	2.510e+02	1.584e+01
3	3.310e+02	1.819e+01	4.540e+02	2.131e+01	1.730e+02	1.315e+01	2.580e+02	1.606e+01	4.010e+02	2.002e+01	7.760e+02	2.786e+01	3.520e+02	1.876e+01	3.490e+02	1.868e+01	2.750e+02	1.658e+01
4	3.790e+02	1.947e+01	5.100e+02	2.258e+01	1.750e+02	1.323e+01	2.860e+02	1.691e+01	4.560e+02	2.135e+01	8.030e+02	2.834e+01	3.090e+02	1.758e+01	3.620e+02	1.903e+01	2.840e+02	1.685e+01
5	3.900e+02	1.975e+01	5.480e+02	2.341e+01	1.810e+02	1.345e+01	2.830e+02	1.682e+01	4.940e+02	2.223e+01	8.010e+02	2.830e+01	3.300e+02	1.817e+01	3.880e+02	1.970e+01	3.440e+02	1.855e+01
6	4.690e+02	2.166e+01	5.920e+02	2.433e+01	2.210e+02	1.487e+01	3.270e+02	1.808e+01	4.940e+02	2.223e+01	8.380e+02	2.895e+01	3.410e+02	1.847e+01	4.120e+02	2.030e+01	3.270e+02	1.808e+01
7	4.320e+02	2.078e+01	6.290e+02	2.508e+01	2.430e+02	1.559e+01	3.110e+02	1.764e+01	5.330e+02	2.309e+01	9.180e+02	3.030e+01	3.450e+02	1.857e+01	4.170e+02	2.042e+01	3.060e+02	1.749e+01
8	5.130e+02	2.265e+01	6.680e+02	2.585e+01	2.480e+02	1.575e+01	3.230e+02	1.797e+01	5.200e+02	2.280e+01	9.570e+02	3.094e+01	4.200e+02	2.049e+01	4.150e+02	2.037e+01	3.830e+02	1.957e+01
9	5.440e+02	2.332e+01	6.720e+02	2.592e+01	2.620e+02	1.619e+01	3.330e+02	1.825e+01	5.730e+02	2.394e+01	9.880e+02	3.143e+01	4.050e+02	2.012e+01	4.360e+02	2.088e+01	3.750e+02	1.936e+01
10	5.770e+02	2.402e+01	7.950e+02	2.820e+01	2.930e+02	1.712e+01	3.600e+02	1.897e+01	6.320e+02	2.514e+01	1.028e+03	3.206e+01	3.880e+02	1.970e+01	4.980e+02	2.232e+01	4.160e+02	2.040e+01
11	6.360e+02	2.522e+01	8.090e+02	2.844e+01	2.980e+02	1.726e+01	3.490e+02	1.868e+01	6.050e+02	2.460e+01	9.450e+02	3.074e+01	4.000e+02	2.000e+01	4.980e+02	2.232e+01	4.140e+02	2.035e+01
12	6.600e+02	2.569e+01	8.990e+02	2.998e+01	3.360e+02	1.833e+01	3.870e+02	1.967e+01	5.820e+02	2.412e+01	1.038e+03	3.222e+01	4.180e+02	2.045e+01	5.060e+02	2.249e+01	4.490e+02	2.119e+01
13	6.920e+02	2.631e+01	9.590e+02	3.097e+01	3.500e+02	1.871e+01	3.680e+02	1.918e+01	6.590e+02	2.567e+01	1.110e+03	3.332e+01	4.540e+02	2.131e+01	5.500e+02	2.345e+01	4.750e+02	2.179e+01
14	7.530e+02	2.744e+01	9.780e+02	3.127e+01	3.710e+02	1.926e+01	4.150e+02	2.037e+01	6.850e+02	2.617e+01	1.155e+03	3.399e+01	4.650e+02	2.156e+01	5.590e+02	2.364e+01	5.120e+02	2.263e+01
15	7.910e+02	2.812e+01	1.020e+03	3.194e+01	3.400e+02	1.844e+01	4.510e+02	2.124e+01	7.230e+02	2.689e+01	1.220e+03	3.493e+01	4.930e+02	2.220e+01	5.810e+02	2.410e+01	5.210e+02	2.283e+01
16	7.440e+02	2.728e+01	1.096e+03	3.311e+01	3.900e+02	1.975e+01	4.890e+02	2.211e+01	7.440e+02	2.728e+01	1.258e+03	3.547e+01	4.950e+02	2.225e+01	6.040e+02	2.458e+01	5.750e+02	2.398e+01
17	7.880e+02	2.807e+01	1.131e+03	3.363e+01	3.880e+02	1.970e+01	4.550e+02	2.133e+01	7.420e+02	2.724e+01	1.347e+03	3.670e+01	5.480e+02	2.341e+01	6.440e+02	2.538e+01	5.990e+02	2.447e+01
