# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1	
1	3.900e+01	6.245e+00	7.100e+01	8.426e+00	1.500e+01	3.873e+00	3.300e+01	5.745e+00	3.200e+01	5.657e+00	5.800e+01	7.616e+00	1.600e+01	4.000e+00	2.600e+01	5.099e+00	2.900e+01	5.385e+00
2	5.200e+01	7.211e+00	5.600e+01	7.483e+00	2.300e+01	4.796e+00	2.500e+01	5.000e+00	4.900e+01	7.000e+00	7.100e+01	8.426e+00	3.000e+01	5.477e+00	2.900e+01	5.385e+00	3.000e+01	5.477e+00
3	5.900e+01	7.681e+00	6.500e+01	8.062e+00	1.800e+01	4.243e+00	3.400e+01	5.831e+00	4.700e+01	6.856e+00	8.300e+01	9.110e+00	3.700e+01	6.083e+00	3.500e+01	5.916e+00	2.300e+01	4.796e+00
4	6.100e+01	7.810e+00	9.300e+01	9.644e+00	1.800e+01	4.243e+00	3.200e+01	5.657e+00	6.300e+01	7.937e+00	9.800e+01	9.899e+00	3.500e+01	5.916e+00	3.400e+01	5.831e+00	2.800e+01	5.292e+00
5	5.900e+01	7.681e+00	1.010e+02	1.005e+01	3.400e+01	5.831e+00	3.700e+01	6.083e+00	5.500e+01	7.416e+00	8.900e+01	9.434e+00	3.600e+01	6.000e+00	4.500e+01	6.708e+00	3.000e+01	5.477e+00
6	8.200e+01	9.055e+00	8.900e+01	9.434e+00	2.900e+01	5.385e+00	3.200e+01	5.657e+00	7.000e+01	8.367e+00	1.030e+02	1.015e+01	4.300e+01	6.557e+00	5.000e+01	7.071e+00	4.000e+01	6.325e+00
7	8.200e+01	9.055e+00	1.090e+02	1.044e+01	2.600e+01	5.099e+00	4.500e+01	6.708e+00	6.300e+01	7.937e+00	1.270e+02	1.127e+01	5.100e+01	7.141e+00	5.000e+01	7.071e+00	4.000e+01	6.325e+00
8	8.000e+01	8.944e+00	1.290e+02	1.136e+01	2.700e+01	5.196e+00	3.500e+01	5.916e+00	7.600e+01	8.718e+00	1.170e+02	1.082e+01	4.300e+01	6.557e+00	4.800e+01	6.928e+00	5.000e+01	7.071e+00
9	9.900e+01	9.950e+00	1.280e+02	1.131e+01	3.300e+01	5.745e+00	5.200e+01	7.211e+00	9.100e+01	9.539e+00	1.360e+02	1.166e+01	6.000e+01	7.746e+00	6.100e+01	7.810e+00	3.900e+01	6.245e+00
10	8.500e+01	9.220e+00	1.170e+02	1.082e+01	4.600e+01	6.782e+00	5.500e+01	7.416e+00	9.000e+01	9.487e+00	1.320e+02	1.149e+01	5.900e+01	7.681e+00	5.800e+01	7.616e+00	4.400e+01	6.633e+00
