# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=2		POL=4		POL=5		POL=4		POL=4		POL=5		POL=1		POL=5		POL=4	
1	3.140e+03	5.604e+01	4.607e+03	6.787e+01	5.109e+03	7.148e+01	8.889e+03	9.428e+01	1.463e+04	1.210e+02	2.459e+04	1.568e+02	1.044e+04	1.022e+02	1.042e+04	1.021e+02	9.039e+03	9.507e+01
2	3.559e+03	5.966e+01	4.967e+03	7.048e+01	5.231e+03	7.233e+01	9.407e+03	9.699e+01	1.750e+04	1.323e+02	3.014e+04	1.736e+02	1.358e+04	1.165e+02	1.195e+04	1.093e+02	9.248e+03	9.617e+01
3	3.740e+03	6.116e+01	4.999e+03	7.070e+01	5.755e+03	7.586e+01	9.867e+03	9.933e+01	1.740e+04	1.319e+02	3.147e+04	1.774e+02	1.502e+04	1.225e+02	1.256e+04	1.121e+02	9.165e+03	9.573e+01
4	3.877e+03	6.227e+01	5.191e+03	7.205e+01	5.364e+03	7.324e+01	9.960e+03	9.980e+01	1.847e+04	1.359e+02	3.349e+04	1.830e+02	1.521e+04	1.233e+02	1.235e+04	1.111e+02	9.150e+03	9.566e+01
5	3.886e+03	6.234e+01	5.173e+03	7.192e+01	5.306e+03	7.284e+01	1.027e+04	1.014e+02	1.831e+04	1.353e+02	3.279e+04	1.811e+02	1.520e+04	1.233e+02	1.248e+04	1.117e+02	9.305e+03	9.646e+01
6	3.845e+03	6.201e+01	5.206e+03	7.215e+01	5.713e+03	7.558e+01	1.005e+04	1.003e+02	1.759e+04	1.326e+02	3.168e+04	1.780e+02	1.446e+04	1.202e+02	1.200e+04	1.095e+02	9.127e+03	9.554e+01
7	3.945e+03	6.281e+01	5.237e+03	7.237e+01	5.334e+03	7.303e+01	9.383e+03	9.687e+01	1.758e+04	1.326e+02	3.185e+04	1.785e+02	1.418e+04	1.191e+02	1.176e+04	1.085e+02	8.884e+03	9.425e+01
8	3.957e+03	6.290e+01	5.219e+03	7.224e+01	5.092e+03	7.136e+01	9.202e+03	9.593e+01	1.720e+04	1.311e+02	3.081e+04	1.755e+02	1.395e+04	1.181e+02	1.111e+04	1.054e+02	8.689e+03	9.321e+01
9	4.024e+03	6.344e+01	5.231e+03	7.233e+01	4.924e+03	7.017e+01	8.551e+03	9.247e+01	1.622e+04	1.273e+02	3.022e+04	1.738e+02	1.354e+04	1.164e+02	1.064e+04	1.032e+02	8.487e+03	9.212e+01
10	3.964e+03	6.296e+01	5.195e+03	7.208e+01	4.772e+03	6.908e+01	8.599e+03	9.273e+01	1.555e+04	1.247e+02	2.816e+04	1.678e+02	1.295e+04	1.138e+02	1.044e+04	1.022e+02	8.479e+03	9.208e+01
11	4.056e+03	6.369e+01	5.151e+03	7.177e+01	4.529e+03	6.730e+01	8.688e+03	9.321e+01	1.514e+04	1.230e+02	2.711e+04	1.646e+02	1.253e+04	1.120e+02	9.967e+03	9.983e+01	8.129e+03	9.016e+01
12	4.083e+03	6.390e+01	5.051e+03	7.107e+01	4.306e+03	6.562e+01	8.289e+03	9.104e+01	1.493e+04	1.222e+02	2.611e+04	1.616e+02	1.223e+04	1.106e+02	9.842e+03	9.921e+01	7.919e+03	8.899e+01
13	3.916e+03	6.258e+01	5.122e+03	7.157e+01	4.615e+03	6.793e+01	8.005e+03	8.947e+01	1.408e+04	1.187e+02	2.584e+04	1.608e+02	1.137e+04	1.066e+02	9.447e+03	9.720e+01	7.950e+03	8.916e+01
14	3.967e+03	6.298e+01	4.913e+03	7.009e+01	4.462e+03	6.680e+01	7.730e+03	8.792e+01	1.393e+04	1.180e+02	2.526e+04	1.589e+02	1.109e+04	1.053e+02	9.195e+03	9.589e+01	7.637e+03	8.739e+01
15	3.996e+03	6.321e+01	5.022e+03	7.087e+01	4.479e+03	6.693e+01	7.563e+03	8.697e+01	1.332e+04	1.154e+02	2.487e+04	1.577e+02	1.100e+04	1.049e+02	9.129e+03	9.555e+01	7.563e+03	8.697e+01
16	3.949e+03	6.284e+01	5.076e+03	7.125e+01	4.397e+03	6.631e+01	7.447e+03	8.630e+01	1.349e+04	1.162e+02	2.408e+04	1.552e+02	1.055e+04	1.027e+02	9.060e+03	9.518e+01	7.692e+03	8.770e+01
17	3.930e+03	6.269e+01	4.857e+03	6.969e+01	4.298e+03	6.556e+01	7.329e+03	8.561e+01	1.276e+04	1.129e+02	2.368e+04	1.539e+02	1.057e+04	1.028e+02	8.783e+03	9.372e+01	7.500e+03	8.660e+01
18	3.802e+03	6.166e+01	4.792e+03	6.922e+01	3.879e+03	6.228e+01	6.801e+03	8.247e+01	1.334e+04	1.155e+02	2.427e+04	1.558e+02	1.049e+04	1.024e+02	8.425e+03	9.179e+01	7.292e+03	8.539e+01
19	3.794e+03	6.160e+01	4.920e+03	7.014e+01	4.026e+03	6.345e+01	7.182e+03	8.475e+01	1.256e+04	1.121e+02	2.334e+04	1.528e+02	1.021e+04	1.010e+02	8.318e+03	9.120e+01	7.381e+03	8.591e+01
20	3.889e+03	6.236e+01	4.906e+03	7.004e+01	3.713e+03	6.093e+01	6.809e+03	8.252e+01	1.269e+04	1.126e+02	2.327e+04	1.525e+02	1.014e+04	1.007e+02	8.222e+03	9.068e+01	7.265e+03	8.523e+01
21	3.823e+03	6.183e+01	4.756e+03	6.896e+01	4.097e+03	6.401e+01	7.016e+03	8.376e+01	1.208e+04	1.099e+02	2.239e+04	1.496e+02	1.009e+04	1.004e+02	8.030e+03	8.961e+01	7.250e+03	8.515e+01
22	3.801e+03	6.165e+01	4.785e+03	6.917e+01	4.004e+03	6.328e+01	6.897e+03	8.305e+01	1.218e+04	1.104e+02	2.297e+04	1.516e+02	1.021e+04	1.011e+02	8.049e+03	8.972e+01	6.945e+03	8.334e+01
23	3.671e+03	6.059e+01	4.729e+03	6.877e+01	3.888e+03	6.235e+01	7.155e+03	8.459e+01	1.224e+04	1.106e+02	2.279e+04	1.510e+02	9.816e+03	9.908e+01	8.264e+03	9.091e+01	7.278e+03	8.531e+01
24	3.680e+03	6.066e+01	4.606e+03	6.787e+01	3.827e+03	6.186e+01	6.716e+03	8.195e+01	1.214e+04	1.102e+02	2.204e+04	1.484e+02	9.836e+03	9.918e+01	8.170e+03	9.039e+01	7.156e+03	8.459e+01
25	3.630e+03	6.025e+01	4.681e+03	6.842e+01	3.756e+03	6.129e+01	6.857e+03	8.281e+01	1.226e+04	1.107e+02	2.222e+04	1.491e+02	9.532e+03	9.763e+01	8.287e+03	9.103e+01	7.228e+03	8.502e+01
26	3.551e+03	5.959e+01	4.745e+03	6.888e+01	3.916e+03	6.258e+01	6.591e+03	8.118e+01	1.174e+04	1.084e+02	2.185e+04	1.478e+02	9.925e+03	9.962e+01	8.201e+03	9.056e+01	7.075e+03	8.411e+01
27	3.496e+03	5.913e+01	4.814e+03	6.938e+01	3.819e+03	6.180e+01	6.576e+03	8.109e+01	1.263e+04	1.124e+02	2.239e+04	1.496e+02	9.052e+03	9.514e+01	8.382e+03	9.155e+01	7.483e+03	8.650e+01
28	3.377e+03	5.811e+01	4.683e+03	6.843e+01	3.781e+03	6.149e+01	6.765e+03	8.225e+01	1.251e+04	1.118e+02	2.224e+04	1.491e+02	8.872e+03	9.419e+01	8.071e+03	8.984e+01	7.148e+03	8.455e+01
29	3.383e+03	5.816e+01	4.487e+03	6.699e+01	3.886e+03	6.234e+01	6.517e+03	8.073e+01	1.162e+04	1.078e+02	2.143e+04	1.464e+02	9.787e+03	9.893e+01	8.192e+03	9.051e+01	7.013e+03	8.374e+01
30	3.480e+03	5.899e+01	4.493e+03	6.703e+01	3.891e+03	6.238e+01	6.567e+03	8.104e+01	1.185e+04	1.089e+02	2.174e+04	1.474e+02	9.901e+03	9.950e+01	8.097e+03	8.998e+01	7.051e+03	8.397e+01
