# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=2		POL=3		POL=1		POL=5		POL=1		POL=1		POL=1		POL=1		POL=1	
1	1.982e+03	4.452e+01	2.590e+03	5.089e+01	8.210e+02	2.865e+01	1.253e+03	3.540e+01	2.044e+03	4.521e+01	3.281e+03	5.728e+01	1.232e+03	3.510e+01	1.425e+03	3.775e+01	1.277e+03	3.574e+01
2	2.386e+03	4.885e+01	2.928e+03	5.411e+01	8.710e+02	2.951e+01	1.446e+03	3.803e+01	2.398e+03	4.897e+01	3.902e+03	6.247e+01	1.595e+03	3.994e+01	1.524e+03	3.904e+01	1.361e+03	3.689e+01
3	2.681e+03	5.178e+01	3.359e+03	5.796e+01	1.029e+03	3.208e+01	1.551e+03	3.938e+01	2.512e+03	5.012e+01	4.036e+03	6.353e+01	1.739e+03	4.170e+01	1.765e+03	4.201e+01	1.438e+03	3.792e+01
4	2.964e+03	5.444e+01	3.728e+03	6.106e+01	1.078e+03	3.283e+01	1.717e+03	4.144e+01	2.729e+03	5.224e+01	4.384e+03	6.621e+01	1.896e+03	4.354e+01	1.865e+03	4.319e+01	1.504e+03	3.878e+01
5	3.073e+03	5.543e+01	4.025e+03	6.344e+01	1.212e+03	3.481e+01	1.895e+03	4.353e+01	3.024e+03	5.499e+01	4.805e+03	6.932e+01	1.991e+03	4.462e+01	2.012e+03	4.486e+01	1.716e+03	4.142e+01
6	3.354e+03	5.791e+01	4.400e+03	6.633e+01	1.458e+03	3.818e+01	2.110e+03	4.593e+01	3.011e+03	5.487e+01	5.034e+03	7.095e+01	2.209e+03	4.700e+01	2.289e+03	4.784e+01	1.896e+03	4.354e+01
7	3.668e+03	6.056e+01	4.535e+03	6.734e+01	1.490e+03	3.860e+01	2.214e+03	4.705e+01	3.322e+03	5.764e+01	5.563e+03	7.459e+01	2.352e+03	4.850e+01	2.380e+03	4.879e+01	2.072e+03	4.552e+01
8	3.800e+03	6.164e+01	4.863e+03	6.974e+01	1.530e+03	3.912e+01	2.326e+03	4.823e+01	3.453e+03	5.876e+01	5.907e+03	7.686e+01	2.514e+03	5.014e+01	2.433e+03	4.933e+01	2.186e+03	4.675e+01
9	4.012e+03	6.334e+01	5.108e+03	7.147e+01	1.615e+03	4.019e+01	2.390e+03	4.889e+01	3.714e+03	6.094e+01	6.298e+03	7.936e+01	2.556e+03	5.056e+01	2.694e+03	5.190e+01	2.411e+03	4.910e+01
10	4.111e+03	6.412e+01	5.401e+03	7.349e+01	1.766e+03	4.202e+01	2.543e+03	5.043e+01	3.992e+03	6.318e+01	6.287e+03	7.929e+01	2.720e+03	5.215e+01	2.843e+03	5.332e+01	2.523e+03	5.023e+01
11	4.485e+03	6.697e+01	5.437e+03	7.374e+01	1.822e+03	4.268e+01	2.785e+03	5.277e+01	4.042e+03	6.358e+01	6.623e+03	8.138e+01	2.830e+03	5.320e+01	2.943e+03	5.425e+01	2.685e+03	5.182e+01
12	4.724e+03	6.873e+01	5.629e+03	7.503e+01	1.903e+03	4.362e+01	2.898e+03	5.383e+01	4.205e+03	6.485e+01	7.145e+03	8.453e+01	3.046e+03	5.519e+01	3.037e+03	5.511e+01	2.846e+03	5.335e+01
13	4.935e+03	7.025e+01	6.100e+03	7.810e+01	2.094e+03	4.576e+01	2.961e+03	5.442e+01	4.556e+03	6.750e+01	7.394e+03	8.599e+01	3.045e+03	5.518e+01	3.218e+03	5.673e+01	3.004e+03	5.481e+01
14	4.964e+03	7.046e+01	5.960e+03	7.720e+01	2.195e+03	4.685e+01	2.985e+03	5.464e+01	4.831e+03	6.951e+01	7.658e+03	8.751e+01	3.191e+03	5.649e+01	3.430e+03	5.857e+01	3.276e+03	5.724e+01
15	5.161e+03	7.184e+01	6.503e+03	8.064e+01	2.101e+03	4.584e+01	3.116e+03	5.582e+01	4.585e+03	6.771e+01	7.938e+03	8.910e+01	3.400e+03	5.831e+01	3.456e+03	5.879e+01	3.422e+03	5.850e+01
16	5.271e+03	7.260e+01	6.698e+03	8.184e+01	2.318e+03	4.815e+01	3.303e+03	5.747e+01	5.007e+03	7.076e+01	8.218e+03	9.065e+01	3.471e+03	5.892e+01	3.590e+03	5.992e+01	3.466e+03	5.887e+01
17	5.347e+03	7.312e+01	6.805e+03	8.249e+01	2.502e+03	5.002e+01	3.419e+03	5.847e+01	5.334e+03	7.303e+01	8.642e+03	9.296e+01	3.593e+03	5.994e+01	3.993e+03	6.319e+01	3.548e+03	5.957e+01
18	5.545e+03	7.446e+01	6.938e+03	8.329e+01	2.271e+03	4.766e+01	3.268e+03	5.717e+01	5.316e+03	7.291e+01	9.047e+03	9.512e+01	3.752e+03	6.125e+01	3.939e+03	6.276e+01	3.862e+03	6.214e+01
19	5.655e+03	7.520e+01	7.128e+03	8.443e+01	2.535e+03	5.035e+01	3.627e+03	6.022e+01	5.492e+03	7.411e+01	9.217e+03	9.601e+01	3.818e+03	6.179e+01	4.014e+03	6.336e+01	3.969e+03	6.300e+01
20	5.783e+03	7.605e+01	7.235e+03	8.506e+01	2.422e+03	4.921e+01	3.545e+03	5.954e+01	5.827e+03	7.633e+01	9.513e+03	9.753e+01	4.118e+03	6.417e+01	4.213e+03	6.491e+01	4.186e+03	6.470e+01
21	5.921e+03	7.695e+01	7.391e+03	8.597e+01	2.674e+03	5.171e+01	3.743e+03	6.118e+01	5.877e+03	7.666e+01	9.424e+03	9.708e+01	4.138e+03	6.433e+01	4.313e+03	6.567e+01	4.317e+03	6.570e+01
22	5.942e+03	7.708e+01	7.591e+03	8.713e+01	2.694e+03	5.190e+01	3.874e+03	6.224e+01	5.993e+03	7.741e+01	1.015e+04	1.008e+02	4.403e+03	6.636e+01	4.442e+03	6.665e+01	4.374e+03	6.614e+01
23	6.152e+03	7.843e+01	7.831e+03	8.849e+01	2.797e+03	5.289e+01	4.149e+03	6.441e+01	6.263e+03	7.914e+01	1.023e+04	1.011e+02	4.496e+03	6.705e+01	4.705e+03	6.859e+01	4.555e+03	6.749e+01
24	6.280e+03	7.925e+01	7.953e+03	8.918e+01	2.858e+03	5.346e+01	4.019e+03	6.340e+01	6.523e+03	8.077e+01	1.064e+04	1.031e+02	4.615e+03	6.793e+01	4.892e+03	6.994e+01	4.808e+03	6.934e+01
25	6.482e+03	8.051e+01	8.275e+03	9.097e+01	2.970e+03	5.450e+01	4.309e+03	6.564e+01	6.653e+03	8.157e+01	1.122e+04	1.059e+02	4.693e+03	6.851e+01	5.066e+03	7.118e+01	4.950e+03	7.036e+01
26	6.526e+03	8.078e+01	8.423e+03	9.178e+01	3.285e+03	5.731e+01	4.298e+03	6.556e+01	6.780e+03	8.234e+01	1.127e+04	1.062e+02	4.775e+03	6.910e+01	5.212e+03	7.219e+01	5.174e+03	7.193e+01
27	6.619e+03	8.136e+01	8.821e+03	9.392e+01	3.287e+03	5.733e+01	4.537e+03	6.736e+01	7.408e+03	8.607e+01	1.182e+04	1.087e+02	4.634e+03	6.807e+01	5.544e+03	7.446e+01	5.306e+03	7.284e+01
28	6.679e+03	8.173e+01	8.835e+03	9.399e+01	3.133e+03	5.597e+01	4.627e+03	6.802e+01	7.665e+03	8.755e+01	1.218e+04	1.104e+02	4.901e+03	7.001e+01	5.471e+03	7.397e+01	5.329e+03	7.300e+01
29	6.971e+03	8.349e+01	8.977e+03	9.475e+01	3.346e+03	5.784e+01	4.699e+03	6.855e+01	7.327e+03	8.560e+01	1.215e+04	1.102e+02	5.352e+03	7.316e+01	5.666e+03	7.527e+01	5.640e+03	7.510e+01
30	6.916e+03	8.316e+01	9.243e+03	9.614e+01	3.510e+03	5.925e+01	4.818e+03	6.941e+01	7.467e+03	8.641e+01	1.239e+04	1.113e+02	5.484e+03	7.405e+01	5.656e+03	7.521e+01	5.746e+03	7.580e+01
