# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.622e+00	9.401e-01	2.096e-01	2.966e-01	1.163e+00	1.166e+00	1.773e+00	1.126e+00	6.881e-01	5.628e-01	7.812e-01	4.519e-01	1.869e+00	1.084e+00	1.370e+00	8.694e-01	2.182e+00	1.267e+00
2	2.695e-01	3.814e-01	9.756e-01	6.916e-01	1.190e+00	1.194e+00	0.000e+00	0.000e+00	8.658e-01	6.135e-01	1.192e+00	5.636e-01	8.721e-01	7.136e-01	6.309e-01	6.319e-01	7.905e-01	7.921e-01
3	8.982e-01	7.350e-01	8.734e-01	6.189e-01	1.143e+00	1.146e+00	1.527e+00	1.084e+00	1.956e+00	9.829e-01	8.940e-01	4.789e-01	8.451e-01	6.915e-01	1.412e+00	8.965e-01	1.434e+00	1.017e+00
4	0.000e+00	0.000e+00	1.734e+00	8.211e-01	1.685e+00	1.382e+00	1.038e+00	8.498e-01	4.367e-01	4.372e-01	4.957e-01	3.509e-01	1.592e+00	1.011e+00	1.897e+00	1.019e+00	6.993e-01	7.005e-01
5	1.015e+00	7.197e-01	1.083e+00	6.270e-01	5.495e-01	7.781e-01	7.018e-01	7.030e-01	6.036e-01	4.936e-01	6.203e-01	3.930e-01	6.024e-01	6.033e-01	1.020e+00	7.234e-01	1.714e+00	9.940e-01
6	4.246e-01	4.251e-01	8.375e-01	5.308e-01	0.000e+00	0.000e+00	3.049e-01	4.315e-01	8.032e-01	5.691e-01	1.296e+00	5.543e-01	0.000e+00	0.000e+00	7.229e-01	5.913e-01	3.049e-01	4.315e-01
7	6.897e-01	5.641e-01	1.256e+00	6.299e-01	4.098e-01	5.802e-01	9.554e-01	7.820e-01	5.597e-01	4.576e-01	6.494e-01	3.755e-01	1.709e+00	9.912e-01	0.000e+00	0.000e+00	9.709e-01	7.947e-01
8	1.536e+00	7.707e-01	1.329e+00	6.288e-01	1.976e+00	1.256e+00	0.000e+00	0.000e+00	1.887e+00	8.478e-01	6.231e-01	3.603e-01	9.434e-01	6.687e-01	2.404e-01	3.402e-01	1.289e+00	8.177e-01
9	1.091e+00	6.316e-01	8.850e-01	5.121e-01	0.000e+00	0.000e+00	5.970e-01	5.979e-01	5.208e-01	4.258e-01	4.032e-01	2.854e-01	2.463e-01	3.485e-01	6.834e-01	5.589e-01	7.937e-01	6.493e-01
10	1.368e+00	6.861e-01	1.242e+00	5.573e-01	1.014e+00	8.296e-01	8.264e-01	6.762e-01	1.558e+00	6.993e-01	5.803e-01	3.355e-01	5.128e-01	5.135e-01	1.775e+00	8.406e-01	7.160e-01	5.857e-01
11	1.395e+00	6.601e-01	1.221e+00	5.477e-01	0.000e+00	0.000e+00	1.690e+00	9.800e-01	4.934e-01	4.034e-01	1.047e+00	4.695e-01	1.720e+00	9.233e-01	1.190e+00	6.894e-01	1.896e+00	9.524e-01
12	1.049e+00	5.625e-01	1.425e+00	5.611e-01	5.917e-01	5.926e-01	1.023e+00	7.252e-01	1.020e+00	5.906e-01	1.143e+00	4.679e-01	1.182e+00	7.498e-01	7.843e-01	5.557e-01	2.222e-01	3.144e-01
13	8.596e-01	4.974e-01	7.246e-01	3.880e-01	8.499e-01	6.954e-01	1.340e+00	8.507e-01	9.023e-01	5.221e-01	8.043e-01	3.799e-01	8.734e-01	6.189e-01	7.220e-01	5.115e-01	8.351e-01	5.917e-01
14	6.596e-01	4.179e-01	1.212e+00	4.964e-01	1.067e+00	7.563e-01	7.177e-01	5.871e-01	7.246e-01	4.591e-01	1.113e+00	4.378e-01	0.000e+00	0.000e+00	8.865e-01	5.619e-01	3.891e-01	3.895e-01
15	1.125e+00	5.318e-01	8.746e-01	4.132e-01	5.848e-01	5.857e-01	8.791e-01	6.230e-01	1.094e+00	5.487e-01	9.740e-01	3.986e-01	1.400e+00	7.510e-01	8.532e-01	5.408e-01	1.139e+00	6.592e-01
16	9.321e-01	4.994e-01	8.145e-01	3.847e-01	2.558e-01	3.619e-01	1.411e+00	7.571e-01	1.064e+00	5.333e-01	7.103e-01	3.355e-01	1.394e+00	7.480e-01	1.948e+00	7.992e-01	1.736e-01	2.456e-01
17	1.129e+00	5.338e-01	5.277e-01	3.051e-01	1.020e+00	7.234e-01	2.193e-01	3.103e-01	6.693e-01	4.240e-01	1.391e+00	4.529e-01	7.246e-01	5.133e-01	1.227e+00	6.154e-01	1.155e+00	6.192e-01
18	1.221e-01	1.727e-01	1.061e+00	4.343e-01	8.264e-01	6.762e-01	5.814e-01	4.754e-01	5.931e-01	3.757e-01	1.194e+00	4.107e-01	7.843e-01	5.557e-01	7.496e-01	4.750e-01	1.292e+00	6.483e-01
19	1.303e+00	5.576e-01	1.273e+00	4.665e-01	1.395e+00	8.085e-01	3.914e-01	3.918e-01	1.103e+00	4.944e-01	6.237e-01	2.945e-01	6.920e-01	4.902e-01	9.859e-01	5.283e-01	8.798e-01	5.091e-01
20	7.034e-01	4.068e-01	1.125e+00	4.121e-01	1.121e+00	7.110e-01	1.126e+00	6.518e-01	4.400e-01	3.115e-01	9.464e-01	3.464e-01	7.849e-01	4.974e-01	8.000e-01	4.628e-01	7.022e-01	4.449e-01
21	7.592e-01	4.066e-01	1.083e+00	3.965e-01	1.253e+00	7.255e-01	5.445e-01	4.452e-01	6.667e-01	3.855e-01	1.041e+00	3.580e-01	3.058e-01	3.060e-01	1.866e+00	6.845e-01	1.527e+00	6.854e-01
22	8.811e-01	4.415e-01	9.112e-01	3.728e-01	1.020e+00	6.470e-01	5.367e-01	4.388e-01	9.063e-01	4.282e-01	9.141e-01	3.345e-01	1.180e+00	5.917e-01	1.650e+00	6.498e-01	9.162e-01	4.909e-01
23	9.317e-01	4.402e-01	7.383e-01	3.154e-01	1.014e+00	6.431e-01	1.212e+00	6.079e-01	5.660e-01	3.273e-01	1.040e+00	3.477e-01	2.180e+00	8.005e-01	1.115e+00	5.000e-01	6.849e-01	3.961e-01
24	1.439e+00	5.458e-01	1.293e+00	4.207e-01	1.919e+00	8.626e-01	1.724e+00	7.384e-01	1.182e+00	4.649e-01	1.010e+00	3.284e-01	1.302e+00	5.842e-01	7.254e-01	3.884e-01	7.821e-01	4.189e-01
25	9.202e-01	4.348e-01	1.190e+00	3.980e-01	7.874e-01	5.579e-01	4.566e-01	3.733e-01	1.642e+00	5.214e-01	1.075e+00	3.326e-01	1.178e+00	5.570e-01	1.262e+00	4.966e-01	1.300e+00	5.325e-01
26	1.358e+00	5.150e-01	6.406e-01	2.870e-01	3.344e-01	3.347e-01	1.651e+00	6.767e-01	9.039e-01	3.863e-01	1.136e+00	3.359e-01	2.574e-01	2.576e-01	7.491e-01	3.752e-01	2.941e-01	2.403e-01
27	6.030e-01	3.487e-01	1.046e+00	3.496e-01	1.199e+00	6.426e-01	7.246e-01	4.591e-01	8.041e-01	3.436e-01	3.797e-01	1.900e-01	1.043e+00	5.229e-01	1.240e+00	4.702e-01	6.686e-01	3.580e-01
28	1.316e+00	5.178e-01	1.256e+00	3.888e-01	1.046e+00	5.608e-01	1.125e+00	5.642e-01	9.266e-01	3.643e-01	7.892e-01	2.712e-01	8.642e-01	4.629e-01	6.244e-01	3.343e-01	8.435e-01	3.985e-01
29	6.604e-01	3.536e-01	1.295e+00	3.917e-01	7.123e-01	4.513e-01	1.100e+00	5.201e-01	1.254e+00	4.314e-01	6.923e-01	2.452e-01	1.063e+00	4.765e-01	1.055e+00	4.150e-01	9.491e-01	4.057e-01
30	1.622e+00	5.587e-01	1.505e+00	4.273e-01	1.471e+00	6.294e-01	1.077e+00	5.089e-01	1.075e+00	3.812e-01	1.191e+00	3.137e-01	4.301e-01	3.045e-01	1.567e+00	4.976e-01	7.143e-01	3.373e-01
