# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=1		POL=2		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1	
1	8.700e+01	9.327e+00	9.500e+01	9.747e+00	3.400e+01	5.831e+00	5.600e+01	7.483e+00	1.040e+02	1.020e+01	1.880e+02	1.371e+01	1.050e+02	1.025e+01	1.460e+02	1.208e+01	1.250e+02	1.118e+01
2	8.500e+01	9.220e+00	9.700e+01	9.849e+00	3.100e+01	5.568e+00	5.600e+01	7.483e+00	9.100e+01	9.539e+00	1.820e+02	1.349e+01	1.160e+02	1.077e+01	1.420e+02	1.192e+01	1.310e+02	1.145e+01
3	7.800e+01	8.832e+00	1.180e+02	1.086e+01	5.500e+01	7.416e+00	5.600e+01	7.483e+00	1.140e+02	1.068e+01	1.820e+02	1.349e+01	1.220e+02	1.105e+01	1.390e+02	1.179e+01	1.220e+02	1.105e+01
4	6.800e+01	8.246e+00	1.190e+02	1.091e+01	5.100e+01	7.141e+00	6.000e+01	7.746e+00	1.410e+02	1.187e+01	2.050e+02	1.432e+01	1.180e+02	1.086e+01	1.540e+02	1.241e+01	1.620e+02	1.273e+01
5	9.200e+01	9.592e+00	1.570e+02	1.253e+01	7.200e+01	8.485e+00	6.700e+01	8.185e+00	1.460e+02	1.208e+01	2.400e+02	1.549e+01	1.230e+02	1.109e+01	1.620e+02	1.273e+01	1.450e+02	1.204e+01
6	1.120e+02	1.058e+01	1.790e+02	1.338e+01	6.200e+01	7.874e+00	6.200e+01	7.874e+00	1.490e+02	1.221e+01	2.350e+02	1.533e+01	1.480e+02	1.217e+01	1.640e+02	1.281e+01	1.820e+02	1.349e+01
7	1.120e+02	1.058e+01	1.710e+02	1.308e+01	7.000e+01	8.367e+00	7.800e+01	8.832e+00	1.320e+02	1.149e+01	2.600e+02	1.612e+01	1.470e+02	1.212e+01	1.770e+02	1.330e+01	1.930e+02	1.389e+01
8	1.230e+02	1.109e+01	1.860e+02	1.364e+01	6.600e+01	8.124e+00	7.500e+01	8.660e+00	1.350e+02	1.162e+01	2.680e+02	1.637e+01	1.220e+02	1.105e+01	1.580e+02	1.257e+01	1.920e+02	1.386e+01
9	1.140e+02	1.068e+01	2.130e+02	1.459e+01	7.300e+01	8.544e+00	7.500e+01	8.660e+00	1.470e+02	1.212e+01	2.590e+02	1.609e+01	1.310e+02	1.145e+01	1.610e+02	1.269e+01	1.860e+02	1.364e+01
10	1.410e+02	1.187e+01	2.200e+02	1.483e+01	8.300e+01	9.110e+00	6.900e+01	8.307e+00	1.680e+02	1.296e+01	2.460e+02	1.568e+01	1.490e+02	1.221e+01	1.950e+02	1.396e+01	2.200e+02	1.483e+01
11	1.290e+02	1.136e+01	2.190e+02	1.480e+01	7.900e+01	8.888e+00	8.500e+01	9.220e+00	1.560e+02	1.249e+01	2.830e+02	1.682e+01	1.420e+02	1.192e+01	1.990e+02	1.411e+01	1.960e+02	1.400e+01
12	1.120e+02	1.058e+01	2.060e+02	1.435e+01	9.500e+01	9.747e+00	8.200e+01	9.055e+00	1.590e+02	1.261e+01	2.630e+02	1.622e+01	1.350e+02	1.162e+01	1.930e+02	1.389e+01	2.110e+02	1.453e+01
13	1.330e+02	1.153e+01	2.160e+02	1.470e+01	1.090e+02	1.044e+01	8.600e+01	9.274e+00	1.940e+02	1.393e+01	3.150e+02	1.775e+01	1.450e+02	1.204e+01	2.070e+02	1.439e+01	2.380e+02	1.543e+01
14	1.350e+02	1.162e+01	2.410e+02	1.552e+01	9.800e+01	9.899e+00	1.010e+02	1.005e+01	1.820e+02	1.349e+01	2.760e+02	1.661e+01	1.650e+02	1.285e+01	2.260e+02	1.503e+01	2.300e+02	1.517e+01
15	1.230e+02	1.109e+01	2.430e+02	1.559e+01	9.300e+01	9.644e+00	8.800e+01	9.381e+00	1.840e+02	1.356e+01	3.030e+02	1.741e+01	1.720e+02	1.311e+01	2.390e+02	1.546e+01	2.490e+02	1.578e+01
16	1.550e+02	1.245e+01	2.480e+02	1.575e+01	1.010e+02	1.005e+01	1.010e+02	1.005e+01	1.940e+02	1.393e+01	3.420e+02	1.849e+01	1.380e+02	1.175e+01	2.180e+02	1.476e+01	2.580e+02	1.606e+01
17	1.520e+02	1.233e+01	2.510e+02	1.584e+01	1.210e+02	1.100e+01	8.100e+01	9.000e+00	1.930e+02	1.389e+01	3.600e+02	1.897e+01	1.540e+02	1.241e+01	2.410e+02	1.552e+01	3.220e+02	1.794e+01
18	1.480e+02	1.217e+01	2.540e+02	1.594e+01	9.000e+01	9.487e+00	1.000e+02	1.000e+01	2.140e+02	1.463e+01	3.160e+02	1.778e+01	1.710e+02	1.308e+01	2.170e+02	1.473e+01	2.590e+02	1.609e+01
19	1.500e+02	1.225e+01	2.440e+02	1.562e+01	1.160e+02	1.077e+01	8.800e+01	9.381e+00	2.090e+02	1.446e+01	3.740e+02	1.934e+01	1.670e+02	1.292e+01	2.410e+02	1.552e+01	3.050e+02	1.746e+01
20	1.530e+02	1.237e+01	2.720e+02	1.649e+01	1.180e+02	1.086e+01	1.010e+02	1.005e+01	1.990e+02	1.411e+01	3.730e+02	1.931e+01	1.830e+02	1.353e+01	2.550e+02	1.597e+01	2.660e+02	1.631e+01
21	1.540e+02	1.241e+01	3.090e+02	1.758e+01	1.040e+02	1.020e+01	1.190e+02	1.091e+01	2.240e+02	1.497e+01	3.720e+02	1.929e+01	1.780e+02	1.334e+01	2.760e+02	1.661e+01	2.920e+02	1.709e+01
22	1.740e+02	1.319e+01	2.720e+02	1.649e+01	1.210e+02	1.100e+01	1.050e+02	1.025e+01	2.320e+02	1.523e+01	3.960e+02	1.990e+01	1.750e+02	1.323e+01	2.510e+02	1.584e+01	2.970e+02	1.723e+01
23	1.540e+02	1.241e+01	2.890e+02	1.700e+01	1.280e+02	1.131e+01	1.370e+02	1.170e+01	2.520e+02	1.587e+01	4.350e+02	2.086e+01	2.090e+02	1.446e+01	2.790e+02	1.670e+01	3.000e+02	1.732e+01
24	1.340e+02	1.158e+01	2.890e+02	1.700e+01	1.200e+02	1.095e+01	1.220e+02	1.105e+01	2.390e+02	1.546e+01	3.900e+02	1.975e+01	1.930e+02	1.389e+01	2.570e+02	1.603e+01	3.350e+02	1.830e+01
25	1.690e+02	1.300e+01	2.720e+02	1.649e+01	1.280e+02	1.131e+01	1.270e+02	1.127e+01	2.640e+02	1.625e+01	4.160e+02	2.040e+01	2.140e+02	1.463e+01	2.770e+02	1.664e+01	3.560e+02	1.887e+01
26	1.560e+02	1.249e+01	2.820e+02	1.679e+01	1.520e+02	1.233e+01	1.340e+02	1.158e+01	2.990e+02	1.729e+01	4.570e+02	2.138e+01	2.280e+02	1.510e+01	3.290e+02	1.814e+01	3.890e+02	1.972e+01
27	1.350e+02	1.162e+01	2.840e+02	1.685e+01	1.350e+02	1.162e+01	1.480e+02	1.217e+01	3.040e+02	1.744e+01	4.660e+02	2.159e+01	1.900e+02	1.378e+01	3.180e+02	1.783e+01	3.850e+02	1.962e+01
28	1.610e+02	1.269e+01	3.040e+02	1.744e+01	1.410e+02	1.187e+01	1.620e+02	1.273e+01	3.320e+02	1.822e+01	5.000e+02	2.236e+01	2.000e+02	1.414e+01	3.170e+02	1.780e+01	3.620e+02	1.903e+01
29	1.670e+02	1.292e+01	3.200e+02	1.789e+01	1.410e+02	1.187e+01	1.490e+02	1.221e+01	3.160e+02	1.778e+01	4.840e+02	2.200e+01	2.110e+02	1.453e+01	4.050e+02	2.012e+01	3.710e+02	1.926e+01
30	1.480e+02	1.217e+01	2.950e+02	1.718e+01	1.480e+02	1.217e+01	1.580e+02	1.257e+01	3.080e+02	1.755e+01	5.560e+02	2.358e+01	2.820e+02	1.679e+01	3.570e+02	1.889e+01	3.950e+02	1.987e+01
