# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_5/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=2		POL=2		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=4	
1	5.001e+04	2.236e+02	7.174e+04	2.678e+02	1.895e+04	1.376e+02	2.512e+04	1.585e+02	3.021e+04	1.738e+02	6.364e+04	2.523e+02	2.669e+04	1.634e+02	5.733e+04	2.394e+02	6.187e+04	2.487e+02
2	5.054e+04	2.248e+02	7.183e+04	2.680e+02	2.031e+04	1.425e+02	2.713e+04	1.647e+02	3.102e+04	1.761e+02	6.811e+04	2.610e+02	3.119e+04	1.766e+02	6.498e+04	2.549e+02	6.521e+04	2.554e+02
3	5.018e+04	2.240e+02	7.037e+04	2.653e+02	2.057e+04	1.434e+02	2.706e+04	1.645e+02	3.088e+04	1.757e+02	6.776e+04	2.603e+02	3.222e+04	1.795e+02	6.614e+04	2.572e+02	6.533e+04	2.556e+02
4	5.021e+04	2.241e+02	7.018e+04	2.649e+02	2.073e+04	1.440e+02	2.722e+04	1.650e+02	3.124e+04	1.767e+02	6.821e+04	2.612e+02	3.231e+04	1.797e+02	6.681e+04	2.585e+02	6.617e+04	2.572e+02
5	4.936e+04	2.222e+02	6.947e+04	2.636e+02	2.091e+04	1.446e+02	2.748e+04	1.658e+02	3.170e+04	1.781e+02	6.881e+04	2.623e+02	3.244e+04	1.801e+02	6.695e+04	2.587e+02	6.712e+04	2.591e+02
6	4.863e+04	2.205e+02	6.945e+04	2.635e+02	2.123e+04	1.457e+02	2.799e+04	1.673e+02	3.215e+04	1.793e+02	6.865e+04	2.620e+02	3.274e+04	1.810e+02	6.741e+04	2.596e+02	6.800e+04	2.608e+02
7	4.820e+04	2.195e+02	6.826e+04	2.613e+02	2.156e+04	1.468e+02	2.809e+04	1.676e+02	3.240e+04	1.800e+02	6.924e+04	2.631e+02	3.323e+04	1.823e+02	6.798e+04	2.607e+02	6.856e+04	2.618e+02
8	4.742e+04	2.178e+02	6.766e+04	2.601e+02	2.172e+04	1.474e+02	2.806e+04	1.675e+02	3.280e+04	1.811e+02	6.988e+04	2.643e+02	3.376e+04	1.837e+02	6.817e+04	2.611e+02	6.900e+04	2.627e+02
9	4.722e+04	2.173e+02	6.681e+04	2.585e+02	2.194e+04	1.481e+02	2.815e+04	1.678e+02	3.276e+04	1.810e+02	7.061e+04	2.657e+02	3.385e+04	1.840e+02	6.854e+04	2.618e+02	6.958e+04	2.638e+02
10	4.705e+04	2.169e+02	6.711e+04	2.590e+02	2.212e+04	1.487e+02	2.828e+04	1.682e+02	3.353e+04	1.831e+02	7.097e+04	2.664e+02	3.386e+04	1.840e+02	6.888e+04	2.625e+02	7.014e+04	2.648e+02
11	4.651e+04	2.157e+02	6.595e+04	2.568e+02	2.217e+04	1.489e+02	2.837e+04	1.684e+02	3.351e+04	1.831e+02	7.126e+04	2.669e+02	3.425e+04	1.851e+02	6.964e+04	2.639e+02	7.050e+04	2.655e+02
12	4.609e+04	2.147e+02	6.559e+04	2.561e+02	2.245e+04	1.498e+02	2.837e+04	1.684e+02	3.397e+04	1.843e+02	7.170e+04	2.678e+02	3.440e+04	1.855e+02	7.002e+04	2.646e+02	7.113e+04	2.667e+02
13	4.627e+04	2.151e+02	6.597e+04	2.568e+02	2.280e+04	1.510e+02	2.876e+04	1.696e+02	3.472e+04	1.863e+02	7.257e+04	2.694e+02	3.431e+04	1.852e+02	7.062e+04	2.657e+02	7.222e+04	2.687e+02
14	4.573e+04	2.138e+02	6.490e+04	2.548e+02	2.336e+04	1.529e+02	2.925e+04	1.710e+02	3.496e+04	1.870e+02	7.279e+04	2.698e+02	3.502e+04	1.871e+02	7.108e+04	2.666e+02	7.284e+04	2.699e+02
15	4.607e+04	2.146e+02	6.539e+04	2.557e+02	2.362e+04	1.537e+02	2.934e+04	1.713e+02	3.496e+04	1.870e+02	7.347e+04	2.711e+02	3.544e+04	1.883e+02	7.134e+04	2.671e+02	7.320e+04	2.706e+02
16	4.577e+04	2.139e+02	6.527e+04	2.555e+02	2.378e+04	1.542e+02	2.967e+04	1.723e+02	3.585e+04	1.893e+02	7.506e+04	2.740e+02	3.555e+04	1.886e+02	7.205e+04	2.684e+02	7.466e+04	2.732e+02
17	4.564e+04	2.136e+02	6.519e+04	2.553e+02	2.408e+04	1.552e+02	2.986e+04	1.728e+02	3.590e+04	1.895e+02	7.508e+04	2.740e+02	3.591e+04	1.895e+02	7.292e+04	2.700e+02	7.513e+04	2.741e+02
18	4.585e+04	2.141e+02	6.482e+04	2.546e+02	2.435e+04	1.560e+02	3.013e+04	1.736e+02	3.638e+04	1.907e+02	7.655e+04	2.767e+02	3.646e+04	1.910e+02	7.305e+04	2.703e+02	7.575e+04	2.752e+02
19	4.554e+04	2.134e+02	6.485e+04	2.547e+02	2.475e+04	1.573e+02	3.059e+04	1.749e+02	3.612e+04	1.901e+02	7.624e+04	2.761e+02	3.738e+04	1.933e+02	7.386e+04	2.718e+02	7.636e+04	2.763e+02
20	4.607e+04	2.146e+02	6.512e+04	2.552e+02	2.493e+04	1.579e+02	3.078e+04	1.754e+02	3.656e+04	1.912e+02	7.781e+04	2.789e+02	3.781e+04	1.944e+02	7.396e+04	2.719e+02	7.722e+04	2.779e+02
21	4.614e+04	2.148e+02	6.518e+04	2.553e+02	2.537e+04	1.593e+02	3.112e+04	1.764e+02	3.675e+04	1.917e+02	7.738e+04	2.782e+02	3.859e+04	1.964e+02	7.498e+04	2.738e+02	7.774e+04	2.788e+02
22	4.645e+04	2.155e+02	6.508e+04	2.551e+02	2.558e+04	1.599e+02	3.142e+04	1.773e+02	3.693e+04	1.922e+02	7.897e+04	2.810e+02	3.880e+04	1.970e+02	7.534e+04	2.745e+02	7.872e+04	2.806e+02
