# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=0		POL=0		POL=0	
1	8.467e-01	4.008e-01	8.725e-01	1.019e-01	9.107e-01	2.893e-01
2	6.672e-01	3.156e-01	9.022e-01	1.095e-01	1.106e+00	2.920e-01
3	7.817e-01	3.078e-01	1.013e+00	1.153e-01	1.159e+00	2.675e-01
4	5.083e-01	2.548e-01	1.077e+00	1.171e-01	1.064e+00	2.335e-01
5	1.124e+00	3.876e-01	9.169e-01	1.043e-01	1.119e+00	2.187e-01
6	1.658e+00	4.931e-01	8.894e-01	9.927e-02	9.401e-01	1.870e-01
7	1.233e+00	4.135e-01	8.625e-01	9.396e-02	1.224e+00	2.012e-01
8	8.378e-01	3.587e-01	8.022e-01	8.710e-02	8.555e-01	1.595e-01
9	1.176e+00	4.321e-01	9.448e-01	9.423e-02	9.068e-01	1.610e-01
10	1.331e+00	4.738e-01	1.040e+00	9.600e-02	1.014e+00	1.631e-01
11	9.363e-01	4.207e-01	1.017e+00	9.219e-02	8.938e-01	1.486e-01
12	1.299e+00	5.337e-01	8.957e-01	8.483e-02	1.216e+00	1.739e-01
13	1.392e+00	5.723e-01	1.006e+00	8.815e-02	9.526e-01	1.495e-01
14	8.547e-01	4.292e-01	1.035e+00	8.744e-02	9.483e-01	1.507e-01
15	2.058e-01	2.060e-01	1.012e+00	8.478e-02	9.687e-01	1.476e-01
16	1.116e+00	5.019e-01	8.970e-01	7.755e-02	9.817e-01	1.505e-01
17	8.529e-01	4.283e-01	9.600e-01	7.929e-02	9.247e-01	1.417e-01
18	5.650e-01	3.583e-01	1.084e+00	8.312e-02	8.341e-01	1.359e-01
19	6.579e-01	3.811e-01	9.464e-01	7.529e-02	1.026e+00	1.474e-01
20	8.351e-01	4.193e-01	9.897e-01	7.628e-02	8.084e-01	1.334e-01
21	1.044e+00	4.693e-01	9.919e-01	7.472e-02	9.189e-01	1.433e-01
22	1.271e+00	5.016e-01	1.017e+00	7.513e-02	9.866e-01	1.486e-01
23	1.296e+00	4.932e-01	8.588e-01	6.704e-02	1.098e+00	1.585e-01
24	1.270e+00	4.833e-01	9.513e-01	7.037e-02	1.005e+00	1.532e-01
25	7.299e-01	3.454e-01	1.017e+00	7.231e-02	1.029e+00	1.560e-01
