# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=0		POL=0		POL=0	
1	2.419e-01	1.141e-01	3.462e-01	2.792e-02	3.501e-01	7.153e-02
2	3.774e-01	1.482e-01	3.536e-01	2.857e-02	2.951e-01	6.444e-02
3	5.094e-01	1.803e-01	3.204e-01	2.725e-02	3.908e-01	7.264e-02
4	5.072e-01	1.992e-01	3.749e-01	2.930e-02	3.882e-01	7.216e-02
5	2.731e-01	1.578e-01	3.179e-01	2.665e-02	3.894e-01	7.057e-02
6	5.107e-01	2.287e-01	3.443e-01	2.790e-02	3.498e-01	6.738e-02
7	7.538e-01	3.083e-01	3.180e-01	2.695e-02	2.983e-01	6.294e-02
8	7.402e-02	1.047e-01	3.598e-01	2.893e-02	2.589e-01	6.193e-02
9	8.177e-02	1.157e-01	3.081e-01	2.684e-02	3.950e-01	7.909e-02
10	2.887e-01	2.359e-01	3.330e-01	2.874e-02	3.569e-01	7.448e-02
11	5.325e-01	3.372e-01	3.296e-01	2.871e-02	3.164e-01	7.171e-02
12	5.256e-01	3.722e-01	3.184e-01	2.873e-02	2.990e-01	7.257e-02
13	1.408e-01	1.993e-01	2.769e-01	2.705e-02	2.743e-01	6.972e-02
14	3.049e-01	3.051e-01	2.960e-01	2.799e-02	3.138e-01	7.977e-02
15	5.025e-01	4.108e-01	3.162e-01	2.964e-02	3.662e-01	8.639e-02
16	3.546e-01	3.549e-01	2.896e-01	2.869e-02	1.948e-01	6.686e-02
17	1.838e-01	2.601e-01	3.365e-01	3.080e-02	2.742e-01	7.922e-02
18	9.479e-01	6.718e-01	3.086e-01	3.000e-02	3.660e-01	9.620e-02
19	2.273e-01	3.216e-01	3.286e-01	3.121e-02	2.459e-01	7.983e-02
20	9.009e-01	7.373e-01	3.345e-01	3.157e-02	3.297e-01	9.730e-02
21	0.000e+00	0.000e+00	2.905e-01	2.967e-02	3.883e-01	1.099e-01
22	6.211e-01	6.221e-01	3.289e-01	3.183e-02	3.162e-01	1.001e-01
23	6.494e-01	6.504e-01	3.719e-01	3.412e-02	3.767e-01	1.164e-01
24	0.000e+00	0.000e+00	2.981e-01	3.069e-02	2.294e-01	9.005e-02
25	0.000e+00	0.000e+00	2.750e-01	2.942e-02	5.039e-01	1.373e-01
