# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=0		POL=1		POL=3	
1	9.000e+00	3.000e+00	1.480e+02	1.217e+01	2.000e+01	4.472e+00
2	9.000e+00	3.000e+00	1.370e+02	1.170e+01	2.900e+01	5.385e+00
3	1.300e+01	3.606e+00	1.560e+02	1.249e+01	3.800e+01	6.164e+00
4	8.000e+00	2.828e+00	1.710e+02	1.308e+01	4.200e+01	6.481e+00
5	1.700e+01	4.123e+00	1.560e+02	1.249e+01	5.300e+01	7.280e+00
6	2.300e+01	4.796e+00	1.620e+02	1.273e+01	5.100e+01	7.141e+00
7	1.800e+01	4.243e+00	1.700e+02	1.304e+01	7.500e+01	8.660e+00
8	1.100e+01	3.317e+00	1.710e+02	1.308e+01	5.800e+01	7.616e+00
9	1.500e+01	3.873e+00	2.030e+02	1.425e+01	6.400e+01	8.000e+00
10	1.600e+01	4.000e+00	2.370e+02	1.539e+01	7.800e+01	8.832e+00
11	1.000e+01	3.162e+00	2.460e+02	1.568e+01	7.300e+01	8.544e+00
12	1.200e+01	3.464e+00	2.250e+02	1.500e+01	9.900e+01	9.950e+00
13	1.200e+01	3.464e+00	2.630e+02	1.622e+01	8.200e+01	9.055e+00
14	8.000e+00	2.828e+00	2.830e+02	1.682e+01	8.000e+01	8.944e+00
15	2.000e+00	1.414e+00	2.880e+02	1.697e+01	8.700e+01	9.327e+00
16	1.000e+01	3.162e+00	2.700e+02	1.643e+01	8.600e+01	9.274e+00
17	8.000e+00	2.828e+00	2.960e+02	1.720e+01	8.600e+01	9.274e+00
18	5.000e+00	2.236e+00	3.440e+02	1.855e+01	7.600e+01	8.718e+00
19	6.000e+00	2.449e+00	3.190e+02	1.786e+01	9.800e+01	9.899e+00
20	8.000e+00	2.828e+00	3.400e+02	1.844e+01	7.400e+01	8.602e+00
21	1.000e+01	3.162e+00	3.560e+02	1.887e+01	8.300e+01	9.110e+00
22	1.300e+01	3.606e+00	3.700e+02	1.924e+01	8.900e+01	9.434e+00
23	1.400e+01	3.742e+00	3.310e+02	1.819e+01	9.700e+01	9.849e+00
24	1.400e+01	3.742e+00	3.690e+02	1.921e+01	8.700e+01	9.327e+00
25	9.000e+00	3.000e+00	4.000e+02	2.000e+01	8.800e+01	9.381e+00
