# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=2		POL=1		POL=1	
1	9.000e+00	3.000e+00	3.080e+02	1.755e+01	4.800e+01	6.928e+00
2	1.300e+01	3.606e+00	3.070e+02	1.752e+01	4.200e+01	6.481e+00
3	1.600e+01	4.000e+00	2.770e+02	1.664e+01	5.800e+01	7.616e+00
4	1.300e+01	3.606e+00	3.280e+02	1.811e+01	5.800e+01	7.616e+00
5	6.000e+00	2.449e+00	2.850e+02	1.688e+01	6.100e+01	7.810e+00
6	1.000e+01	3.162e+00	3.050e+02	1.746e+01	5.400e+01	7.348e+00
7	1.200e+01	3.464e+00	2.790e+02	1.670e+01	4.500e+01	6.708e+00
8	1.000e+00	1.000e+00	3.100e+02	1.761e+01	3.500e+01	5.916e+00
9	1.000e+00	1.000e+00	2.640e+02	1.625e+01	5.000e+01	7.071e+00
10	3.000e+00	1.732e+00	2.690e+02	1.640e+01	4.600e+01	6.782e+00
11	5.000e+00	2.236e+00	2.640e+02	1.625e+01	3.900e+01	6.245e+00
12	4.000e+00	2.000e+00	2.460e+02	1.568e+01	3.400e+01	5.831e+00
13	1.000e+00	1.000e+00	2.100e+02	1.449e+01	3.100e+01	5.568e+00
14	2.000e+00	1.414e+00	2.240e+02	1.497e+01	3.100e+01	5.568e+00
15	3.000e+00	1.732e+00	2.280e+02	1.510e+01	3.600e+01	6.000e+00
16	2.000e+00	1.414e+00	2.040e+02	1.428e+01	1.700e+01	4.123e+00
17	1.000e+00	1.000e+00	2.390e+02	1.546e+01	2.400e+01	4.899e+00
18	4.000e+00	2.000e+00	2.120e+02	1.456e+01	2.900e+01	5.385e+00
19	1.000e+00	1.000e+00	2.220e+02	1.490e+01	1.900e+01	4.359e+00
20	3.000e+00	1.732e+00	2.250e+02	1.500e+01	2.300e+01	4.796e+00
21	0.000e+00	0.000e+00	1.920e+02	1.386e+01	2.500e+01	5.000e+00
22	2.000e+00	1.414e+00	2.140e+02	1.463e+01	2.000e+01	4.472e+00
23	2.000e+00	1.414e+00	2.380e+02	1.543e+01	2.100e+01	4.583e+00
24	0.000e+00	0.000e+00	1.890e+02	1.375e+01	1.300e+01	3.606e+00
25	0.000e+00	0.000e+00	1.750e+02	1.323e+01	2.700e+01	5.196e+00
