# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=5		POL=1		POL=2	
1	5.270e+02	2.296e+01	8.407e+03	9.169e+01	1.088e+03	3.298e+01
2	6.700e+02	2.588e+01	7.524e+03	8.674e+01	1.297e+03	3.601e+01
3	8.250e+02	2.872e+01	7.624e+03	8.732e+01	1.620e+03	4.025e+01
4	7.830e+02	2.798e+01	7.852e+03	8.861e+01	1.952e+03	4.418e+01
5	7.480e+02	2.735e+01	8.429e+03	9.181e+01	2.341e+03	4.838e+01
6	6.820e+02	2.612e+01	9.026e+03	9.501e+01	2.687e+03	5.184e+01
7	7.210e+02	2.685e+01	9.770e+03	9.884e+01	3.025e+03	5.500e+01
8	6.510e+02	2.551e+01	1.057e+04	1.028e+02	3.361e+03	5.797e+01
9	6.300e+02	2.510e+01	1.064e+04	1.032e+02	3.497e+03	5.914e+01
10	5.930e+02	2.435e+01	1.128e+04	1.062e+02	3.809e+03	6.172e+01
11	5.290e+02	2.300e+01	1.197e+04	1.094e+02	4.047e+03	6.362e+01
12	4.560e+02	2.135e+01	1.245e+04	1.116e+02	4.021e+03	6.341e+01
13	4.250e+02	2.062e+01	1.294e+04	1.138e+02	4.263e+03	6.529e+01
14	4.640e+02	2.154e+01	1.353e+04	1.163e+02	4.178e+03	6.464e+01
15	4.850e+02	2.202e+01	1.408e+04	1.187e+02	4.447e+03	6.669e+01
16	4.430e+02	2.105e+01	1.492e+04	1.221e+02	4.337e+03	6.586e+01
17	4.650e+02	2.156e+01	1.527e+04	1.236e+02	4.607e+03	6.787e+01
18	4.400e+02	2.098e+01	1.569e+04	1.253e+02	4.518e+03	6.722e+01
19	4.530e+02	2.128e+01	1.669e+04	1.292e+02	4.725e+03	6.874e+01
20	4.750e+02	2.179e+01	1.701e+04	1.304e+02	4.540e+03	6.738e+01
21	4.740e+02	2.177e+01	1.777e+04	1.333e+02	4.475e+03	6.690e+01
22	5.050e+02	2.247e+01	1.801e+04	1.342e+02	4.466e+03	6.683e+01
23	5.330e+02	2.309e+01	1.911e+04	1.382e+02	4.370e+03	6.611e+01
24	5.440e+02	2.332e+01	1.921e+04	1.386e+02	4.284e+03	6.545e+01
25	6.120e+02	2.474e+01	1.946e+04	1.395e+02	4.230e+03	6.504e+01
