# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=0		POL=0		POL=0	
1	0.000e+00	0.000e+00	9.208e-01	3.370e-01	1.205e+00	1.208e+00
2	3.774e+00	3.810e+00	5.742e-01	3.320e-01	6.250e-01	8.853e-01
3	1.667e+00	2.367e+00	1.119e+00	4.785e-01	1.047e+00	1.050e+00
4	1.471e+00	2.087e+00	6.993e-01	3.744e-01	1.778e+00	1.263e+00
5	0.000e+00	0.000e+00	4.883e-01	3.092e-01	1.413e+00	1.003e+00
6	0.000e+00	0.000e+00	1.365e+00	5.175e-01	1.235e+00	8.757e-01
7	0.000e+00	0.000e+00	9.259e-01	4.151e-01	7.752e-01	6.342e-01
8	1.370e+00	1.944e+00	9.675e-01	4.135e-01	1.117e+00	7.923e-01
9	0.000e+00	0.000e+00	9.166e-01	4.109e-01	7.317e-01	5.985e-01
10	0.000e+00	0.000e+00	7.595e-01	3.587e-01	1.304e+00	7.555e-01
11	0.000e+00	0.000e+00	8.945e-01	4.009e-01	6.073e-01	4.966e-01
12	0.000e+00	0.000e+00	1.108e+00	4.201e-01	8.316e-01	5.893e-01
13	3.333e+00	4.755e+00	1.188e+00	4.350e-01	7.233e-01	5.124e-01
14	0.000e+00	0.000e+00	9.573e-01	3.764e-01	9.766e-01	6.192e-01
15	0.000e+00	0.000e+00	7.402e-01	3.316e-01	8.945e-01	5.670e-01
16	0.000e+00	0.000e+00	9.142e-01	3.594e-01	7.634e-01	5.408e-01
17	0.000e+00	0.000e+00	1.082e+00	3.835e-01	1.051e+00	6.083e-01
18	0.000e+00	0.000e+00	8.777e-01	3.325e-01	1.064e+00	6.159e-01
19	2.439e+00	3.471e+00	8.610e-01	3.261e-01	3.774e-01	3.777e-01
20	0.000e+00	0.000e+00	7.620e-01	2.995e-01	6.024e-01	4.926e-01
21	0.000e+00	0.000e+00	1.107e+00	3.510e-01	2.179e-01	3.083e-01
22	0.000e+00	0.000e+00	8.192e-01	2.998e-01	8.299e-01	5.880e-01
23	2.778e+00	3.956e+00	8.570e-01	3.036e-01	1.232e+00	7.813e-01
24	2.273e+00	3.233e+00	9.799e-01	3.106e-01	1.085e+00	6.878e-01
25	0.000e+00	0.000e+00	9.700e-01	3.001e-01	1.322e+00	7.656e-01
