# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: 13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=0		POL=2		POL=0	
1	0.000e+00	0.000e+00	1.500e+01	3.873e+00	2.000e+00	1.414e+00
2	2.000e+00	1.414e+00	6.000e+00	2.449e+00	1.000e+00	1.000e+00
3	1.000e+00	1.000e+00	1.100e+01	3.317e+00	2.000e+00	1.414e+00
4	1.000e+00	1.000e+00	7.000e+00	2.646e+00	4.000e+00	2.000e+00
5	0.000e+00	0.000e+00	5.000e+00	2.236e+00	4.000e+00	2.000e+00
6	0.000e+00	0.000e+00	1.400e+01	3.742e+00	4.000e+00	2.000e+00
7	0.000e+00	0.000e+00	1.000e+01	3.162e+00	3.000e+00	1.732e+00
8	1.000e+00	1.000e+00	1.100e+01	3.317e+00	4.000e+00	2.000e+00
9	0.000e+00	0.000e+00	1.000e+01	3.162e+00	3.000e+00	1.732e+00
10	0.000e+00	0.000e+00	9.000e+00	3.000e+00	6.000e+00	2.449e+00
11	0.000e+00	0.000e+00	1.000e+01	3.162e+00	3.000e+00	1.732e+00
12	0.000e+00	0.000e+00	1.400e+01	3.742e+00	4.000e+00	2.000e+00
13	1.000e+00	1.000e+00	1.500e+01	3.873e+00	4.000e+00	2.000e+00
14	0.000e+00	0.000e+00	1.300e+01	3.606e+00	5.000e+00	2.236e+00
15	0.000e+00	0.000e+00	1.000e+01	3.162e+00	5.000e+00	2.236e+00
16	0.000e+00	0.000e+00	1.300e+01	3.606e+00	4.000e+00	2.000e+00
17	0.000e+00	0.000e+00	1.600e+01	4.000e+00	6.000e+00	2.449e+00
18	0.000e+00	0.000e+00	1.400e+01	3.742e+00	6.000e+00	2.449e+00
19	1.000e+00	1.000e+00	1.400e+01	3.742e+00	2.000e+00	1.414e+00
20	0.000e+00	0.000e+00	1.300e+01	3.606e+00	3.000e+00	1.732e+00
21	0.000e+00	0.000e+00	2.000e+01	4.472e+00	1.000e+00	1.000e+00
22	0.000e+00	0.000e+00	1.500e+01	3.873e+00	4.000e+00	2.000e+00
23	1.000e+00	1.000e+00	1.600e+01	4.000e+00	5.000e+00	2.236e+00
24	1.000e+00	1.000e+00	2.000e+01	4.472e+00	5.000e+00	2.236e+00
25	0.000e+00	0.000e+00	2.100e+01	4.583e+00	6.000e+00	2.449e+00
