# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=5		POL=2		POL=2	
1	6.000e+00	2.449e+00	4.580e+02	2.140e+01	5.880e+02	2.425e+01
2	7.000e+00	2.646e+00	3.050e+02	1.746e+01	5.970e+02	2.443e+01
3	8.000e+00	2.828e+00	2.870e+02	1.694e+01	7.450e+02	2.729e+01
4	6.000e+00	2.449e+00	3.040e+02	1.744e+01	8.710e+02	2.951e+01
5	6.000e+00	2.449e+00	2.990e+02	1.729e+01	1.171e+03	3.422e+01
6	1.200e+01	3.464e+00	3.020e+02	1.738e+01	1.382e+03	3.718e+01
7	5.000e+00	2.236e+00	3.220e+02	1.794e+01	1.493e+03	3.864e+01
8	3.000e+00	1.732e+00	3.120e+02	1.766e+01	1.516e+03	3.894e+01
9	8.000e+00	2.828e+00	2.990e+02	1.729e+01	1.511e+03	3.887e+01
10	9.000e+00	3.000e+00	3.090e+02	1.758e+01	1.637e+03	4.046e+01
11	1.000e+01	3.162e+00	3.210e+02	1.792e+01	1.665e+03	4.080e+01
12	5.000e+00	2.236e+00	3.070e+02	1.752e+01	1.644e+03	4.055e+01
13	8.000e+00	2.828e+00	3.230e+02	1.797e+01	1.778e+03	4.217e+01
14	3.000e+00	1.732e+00	3.260e+02	1.806e+01	1.612e+03	4.015e+01
15	7.000e+00	2.646e+00	3.480e+02	1.865e+01	1.747e+03	4.180e+01
16	3.000e+00	1.732e+00	3.430e+02	1.852e+01	1.588e+03	3.985e+01
17	1.000e+00	1.000e+00	3.750e+02	1.936e+01	1.665e+03	4.080e+01
18	4.000e+00	2.000e+00	3.570e+02	1.889e+01	1.453e+03	3.812e+01
19	3.000e+00	1.732e+00	3.570e+02	1.889e+01	1.512e+03	3.888e+01
20	4.000e+00	2.000e+00	4.050e+02	2.012e+01	1.382e+03	3.718e+01
21	6.000e+00	2.449e+00	3.720e+02	1.929e+01	1.246e+03	3.530e+01
22	0.000e+00	0.000e+00	4.410e+02	2.100e+01	1.201e+03	3.466e+01
23	1.000e+00	1.000e+00	4.440e+02	2.107e+01	1.055e+03	3.248e+01
24	0.000e+00	0.000e+00	4.450e+02	2.110e+01	1.051e+03	3.242e+01
25	1.000e+00	1.000e+00	4.120e+02	2.030e+01	8.970e+02	2.995e+01
