# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_1/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3
# plane	POL=3		POL=0		POL=2	
1	1.796e+03	4.238e+01	3.126e+04	1.768e+02	6.563e+03	8.101e+01
2	1.895e+03	4.353e+01	4.995e+04	2.235e+02	7.058e+03	8.401e+01
3	1.899e+03	4.358e+01	5.038e+04	2.245e+02	7.144e+03	8.452e+01
4	1.900e+03	4.359e+01	4.927e+04	2.220e+02	7.240e+03	8.509e+01
5	1.868e+03	4.322e+01	5.266e+04	2.295e+02	7.428e+03	8.619e+01
6	1.892e+03	4.350e+01	5.094e+04	2.257e+02	7.527e+03	8.676e+01
7	1.901e+03	4.360e+01	5.026e+04	2.242e+02	7.711e+03	8.781e+01
8	1.846e+03	4.297e+01	5.037e+04	2.244e+02	7.824e+03	8.845e+01
9	1.860e+03	4.313e+01	4.916e+04	2.217e+02	7.709e+03	8.780e+01
10	1.897e+03	4.355e+01	5.186e+04	2.277e+02	7.858e+03	8.865e+01
11	1.895e+03	4.353e+01	5.128e+04	2.264e+02	7.848e+03	8.859e+01
12	1.854e+03	4.306e+01	5.089e+04	2.256e+02	7.921e+03	8.900e+01
13	1.815e+03	4.260e+01	5.047e+04	2.247e+02	7.948e+03	8.915e+01
14	1.829e+03	4.277e+01	5.079e+04	2.254e+02	8.005e+03	8.947e+01
15	1.781e+03	4.220e+01	5.105e+04	2.259e+02	8.010e+03	8.950e+01
16	1.732e+03	4.162e+01	5.028e+04	2.242e+02	8.007e+03	8.948e+01
17	1.680e+03	4.099e+01	5.034e+04	2.244e+02	8.086e+03	8.992e+01
18	1.834e+03	4.283e+01	5.265e+04	2.295e+02	8.025e+03	8.958e+01
19	1.807e+03	4.251e+01	5.318e+04	2.306e+02	8.043e+03	8.968e+01
20	1.789e+03	4.230e+01	5.257e+04	2.293e+02	8.122e+03	9.012e+01
21	1.767e+03	4.204e+01	5.284e+04	2.299e+02	8.148e+03	9.027e+01
22	1.764e+03	4.200e+01	5.320e+04	2.306e+02	8.065e+03	8.981e+01
23	1.756e+03	4.190e+01	5.380e+04	2.319e+02	8.139e+03	9.022e+01
24	1.733e+03	4.163e+01	5.382e+04	2.320e+02	8.146e+03	9.026e+01
25	1.792e+03	4.233e+01	5.460e+04	2.337e+02	8.130e+03	9.017e+01
