# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_2/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.245e+00	7.232e-01	8.264e-01	4.791e-01	1.149e+00	8.175e-01	7.812e-01	7.843e-01	9.247e-01	4.966e-01	2.439e+00	3.492e+00
2	1.376e+00	8.000e-01	1.951e+00	6.967e-01	1.099e+00	7.813e-01	3.077e-01	4.358e-01	1.305e+00	5.877e-01	1.176e+00	1.674e+00
3	2.461e+00	1.062e+00	1.591e+00	6.061e-01	1.520e+00	9.686e-01	2.098e+00	1.224e+00	2.378e+00	8.254e-01	9.174e-01	1.303e+00
4	3.953e+00	1.275e+00	1.595e+00	6.075e-01	1.828e+00	9.860e-01	2.410e-01	3.412e-01	1.897e+00	7.239e-01	1.961e+00	1.980e+00
5	1.498e+00	7.547e-01	1.818e+00	5.953e-01	1.802e+00	9.091e-01	1.475e+00	9.398e-01	1.160e+00	5.218e-01	1.124e+00	1.598e+00
6	6.494e-01	4.607e-01	1.251e+00	4.939e-01	8.696e-01	6.176e-01	2.211e+00	1.054e+00	1.599e+00	6.323e-01	0.000e+00	0.000e+00
7	1.985e+00	7.863e-01	1.706e+00	5.443e-01	1.860e+00	9.390e-01	2.457e-01	3.479e-01	1.636e+00	6.022e-01	2.655e+00	2.197e+00
8	1.671e+00	6.881e-01	1.415e+00	4.751e-01	1.365e+00	7.344e-01	9.852e-01	7.001e-01	1.062e+00	4.773e-01	0.000e+00	0.000e+00
9	1.442e+00	6.192e-01	9.736e-01	3.698e-01	6.036e-01	4.943e-01	1.124e+00	7.147e-01	1.328e+00	5.243e-01	0.000e+00	0.000e+00
10	1.088e+00	5.158e-01	1.097e+00	4.327e-01	1.288e+00	7.482e-01	1.978e+00	9.418e-01	1.482e+00	5.858e-01	0.000e+00	0.000e+00
11	1.038e+00	4.919e-01	1.299e+00	4.484e-01	1.734e+00	8.246e-01	1.896e+00	9.570e-01	1.073e+00	4.824e-01	1.099e+00	1.563e+00
12	1.184e+00	5.079e-01	1.366e+00	4.462e-01	1.880e+00	8.094e-01	1.327e+00	7.715e-01	1.266e+00	4.815e-01	3.937e+00	2.540e+00
13	2.096e+00	6.700e-01	1.848e+00	4.899e-01	1.365e+00	6.873e-01	0.000e+00	0.000e+00	1.845e+00	5.889e-01	0.000e+00	0.000e+00
14	1.384e+00	5.468e-01	8.578e-01	3.256e-01	2.669e+00	9.278e-01	6.873e-01	4.877e-01	1.676e+00	5.634e-01	2.069e+00	1.707e+00
15	1.103e+00	4.731e-01	1.027e+00	3.442e-01	1.325e+00	6.290e-01	9.940e-01	6.318e-01	1.585e+00	5.052e-01	9.009e-01	1.280e+00
16	1.821e+00	5.813e-01	1.476e+00	4.048e-01	7.342e-01	4.661e-01	1.226e+00	6.593e-01	2.051e+00	5.861e-01	1.754e+00	1.770e+00
17	1.092e+00	4.305e-01	1.772e+00	4.274e-01	1.404e+00	6.326e-01	1.027e+00	5.962e-01	1.911e+00	5.570e-01	2.069e+00	1.707e+00
18	1.500e+00	5.186e-01	1.323e+00	3.624e-01	1.156e+00	5.814e-01	4.894e-01	4.006e-01	1.227e+00	4.236e-01	2.069e+00	1.707e+00
19	1.595e+00	5.084e-01	1.364e+00	3.809e-01	1.639e+00	6.748e-01	1.258e+00	6.329e-01	1.389e+00	4.423e-01	2.222e+00	1.589e+00
20	1.235e+00	4.695e-01	1.495e+00	3.767e-01	1.788e+00	7.077e-01	1.362e+00	6.463e-01	1.651e+00	4.910e-01	2.667e+00	1.911e+00
