# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_2/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.202e-01	9.817e-02	1.003e-01	7.094e-02	4.509e-02	6.377e-02	1.330e-01	1.330e-01	8.809e-02	6.230e-02	5.952e-01	8.431e-01
2	3.979e-02	5.628e-02	2.310e-01	1.090e-01	1.357e-01	1.108e-01	2.522e-01	1.784e-01	6.790e-02	5.545e-02	0.000e+00	0.000e+00
3	8.081e-02	8.082e-02	1.735e-01	9.277e-02	1.780e-01	1.259e-01	2.123e-01	1.734e-01	2.305e-02	3.260e-02	0.000e+00	0.000e+00
4	4.077e-02	5.766e-02	1.274e-01	8.061e-02	0.000e+00	0.000e+00	2.596e-01	1.837e-01	9.728e-02	6.880e-02	0.000e+00	0.000e+00
5	1.227e-01	1.002e-01	2.470e-01	1.105e-01	9.565e-02	9.567e-02	4.008e-01	2.316e-01	6.941e-02	5.668e-02	0.000e+00	0.000e+00
6	0.000e+00	0.000e+00	8.152e-02	6.658e-02	4.953e-02	7.005e-02	2.841e-01	2.010e-01	1.264e-01	7.996e-02	0.000e+00	0.000e+00
7	2.055e-01	1.300e-01	8.621e-02	7.040e-02	1.075e-01	1.076e-01	3.864e-01	2.446e-01	2.650e-02	3.748e-02	0.000e+00	0.000e+00
8	1.278e-01	1.044e-01	1.791e-01	1.034e-01	0.000e+00	0.000e+00	2.926e-01	2.071e-01	1.365e-01	8.636e-02	0.000e+00	0.000e+00
9	2.243e-01	1.419e-01	3.008e-02	4.255e-02	1.624e-01	1.327e-01	2.439e-01	1.993e-01	1.113e-01	7.870e-02	1.667e+00	2.367e+00
10	1.444e-01	1.179e-01	9.294e-02	7.590e-02	0.000e+00	0.000e+00	3.524e-01	2.494e-01	8.686e-02	7.093e-02	1.429e+00	2.028e+00
11	9.790e-02	9.792e-02	1.316e-01	9.310e-02	1.995e-01	1.629e-01	5.401e-01	3.122e-01	9.009e-02	7.357e-02	0.000e+00	0.000e+00
12	1.091e-01	1.091e-01	1.032e-01	8.428e-02	0.000e+00	0.000e+00	1.889e-01	1.889e-01	5.893e-02	5.894e-02	0.000e+00	0.000e+00
13	9.980e-02	9.983e-02	1.010e-01	8.247e-02	0.000e+00	0.000e+00	4.562e-01	2.889e-01	9.202e-02	7.516e-02	0.000e+00	0.000e+00
14	0.000e+00	0.000e+00	1.806e-01	1.143e-01	1.417e-01	1.418e-01	9.823e-02	1.390e-01	6.274e-02	6.275e-02	0.000e+00	0.000e+00
15	5.263e-02	7.444e-02	7.005e-02	7.006e-02	6.901e-02	9.762e-02	2.970e-01	2.427e-01	6.244e-02	6.245e-02	0.000e+00	0.000e+00
16	1.087e-01	1.087e-01	1.356e-01	9.591e-02	2.736e-01	1.936e-01	2.096e-01	2.098e-01	9.807e-02	8.009e-02	0.000e+00	0.000e+00
17	0.000e+00	0.000e+00	6.631e-02	6.632e-02	1.536e-01	1.537e-01	5.941e-01	3.435e-01	1.575e-01	9.964e-02	0.000e+00	0.000e+00
18	6.017e-02	8.510e-02	1.704e-01	1.078e-01	8.244e-02	1.166e-01	2.123e-01	2.124e-01	1.265e-01	8.945e-02	1.923e+00	2.733e+00
19	1.182e-01	1.182e-01	1.427e-01	1.009e-01	7.782e-02	1.101e-01	3.289e-01	2.688e-01	1.307e-01	9.246e-02	0.000e+00	0.000e+00
20	6.549e-02	9.263e-02	1.036e-01	8.463e-02	1.571e-01	1.572e-01	0.000e+00	0.000e+00	9.191e-02	7.506e-02	0.000e+00	0.000e+00
