# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_2/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=0	
1	9.300e+01	9.644e+00	1.420e+02	1.192e+01	5.900e+01	7.681e+00	4.600e+01	6.782e+00	9.600e+01	9.798e+00	9.000e+00	3.000e+00
2	7.100e+01	8.426e+00	1.260e+02	1.122e+01	6.100e+01	7.810e+00	3.900e+01	6.245e+00	7.500e+01	8.660e+00	5.000e+00	2.236e+00
3	6.400e+01	8.000e+00	1.600e+02	1.265e+01	5.300e+01	7.280e+00	4.400e+01	6.633e+00	8.600e+01	9.274e+00	7.000e+00	2.646e+00
4	7.100e+01	8.426e+00	1.500e+02	1.225e+01	5.100e+01	7.141e+00	3.600e+01	6.000e+00	9.400e+01	9.695e+00	6.000e+00	2.449e+00
5	9.400e+01	9.695e+00	1.590e+02	1.261e+01	7.400e+01	8.602e+00	4.900e+01	7.000e+00	9.200e+01	9.592e+00	7.000e+00	2.646e+00
6	9.400e+01	9.695e+00	1.790e+02	1.338e+01	6.200e+01	7.874e+00	4.200e+01	6.481e+00	9.400e+01	9.695e+00	4.000e+00	2.000e+00
7	9.000e+01	9.487e+00	1.720e+02	1.311e+01	7.900e+01	8.888e+00	5.100e+01	7.141e+00	8.000e+01	8.944e+00	5.000e+00	2.236e+00
8	7.700e+01	8.775e+00	1.780e+02	1.334e+01	7.300e+01	8.544e+00	3.700e+01	6.083e+00	9.400e+01	9.695e+00	5.000e+00	2.236e+00
9	1.080e+02	1.039e+01	2.000e+02	1.414e+01	6.100e+01	7.810e+00	4.600e+01	6.782e+00	1.010e+02	1.005e+01	6.000e+00	2.449e+00
10	1.110e+02	1.054e+01	1.870e+02	1.367e+01	6.400e+01	8.000e+00	5.000e+01	7.071e+00	8.600e+01	9.274e+00	2.000e+00	1.414e+00
11	1.030e+02	1.015e+01	2.050e+02	1.432e+01	7.900e+01	8.888e+00	5.300e+01	7.280e+00	1.000e+02	1.000e+01	5.000e+00	2.236e+00
12	1.220e+02	1.105e+01	1.980e+02	1.407e+01	6.100e+01	7.810e+00	6.200e+01	7.874e+00	1.140e+02	1.068e+01	7.000e+00	2.646e+00
13	1.220e+02	1.105e+01	2.150e+02	1.466e+01	9.000e+01	9.487e+00	5.900e+01	7.681e+00	1.050e+02	1.025e+01	1.000e+01	3.162e+00
14	1.280e+02	1.131e+01	2.320e+02	1.523e+01	1.010e+02	1.005e+01	5.600e+01	7.483e+00	1.070e+02	1.034e+01	1.300e+01	3.606e+00
15	1.230e+02	1.109e+01	2.470e+02	1.572e+01	7.700e+01	8.775e+00	4.700e+01	6.856e+00	1.200e+02	1.095e+01	4.000e+00	2.000e+00
16	1.210e+02	1.100e+01	2.500e+02	1.581e+01	9.200e+01	9.592e+00	7.600e+01	8.718e+00	1.050e+02	1.025e+01	8.000e+00	2.828e+00
17	1.580e+02	1.257e+01	2.600e+02	1.612e+01	9.100e+01	9.539e+00	5.600e+01	7.483e+00	1.240e+02	1.114e+01	7.000e+00	2.646e+00
18	1.280e+02	1.131e+01	3.060e+02	1.749e+01	9.300e+01	9.644e+00	6.600e+01	8.124e+00	1.460e+02	1.208e+01	4.000e+00	2.000e+00
19	1.660e+02	1.288e+01	3.420e+02	1.849e+01	1.160e+02	1.077e+01	7.200e+01	8.485e+00	1.390e+02	1.179e+01	1.300e+01	3.606e+00
20	1.760e+02	1.327e+01	3.150e+02	1.775e+01	1.110e+02	1.054e+01	7.200e+01	8.485e+00	1.400e+02	1.183e+01	1.200e+01	3.464e+00
