# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_2/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=4	
1	2.380e+02	1.543e+01	3.600e+02	1.897e+01	1.720e+02	1.311e+01	1.270e+02	1.127e+01	3.750e+02	1.936e+01	2.000e+01	4.472e+00
2	2.150e+02	1.466e+01	4.020e+02	2.005e+01	1.800e+02	1.342e+01	1.620e+02	1.273e+01	3.780e+02	1.944e+01	4.200e+01	6.481e+00
3	2.180e+02	1.476e+01	4.330e+02	2.081e+01	1.620e+02	1.273e+01	1.400e+02	1.183e+01	3.490e+02	1.868e+01	5.400e+01	7.348e+00
4	2.430e+02	1.559e+01	4.320e+02	2.078e+01	1.880e+02	1.371e+01	2.070e+02	1.439e+01	3.620e+02	1.903e+01	5.000e+01	7.071e+00
5	2.630e+02	1.622e+01	5.130e+02	2.265e+01	2.180e+02	1.476e+01	1.670e+02	1.292e+01	4.260e+02	2.064e+01	4.400e+01	6.633e+00
6	3.060e+02	1.749e+01	5.130e+02	2.265e+01	2.280e+02	1.510e+01	1.990e+02	1.411e+01	4.000e+02	2.000e+01	4.900e+01	7.000e+00
7	3.210e+02	1.792e+01	5.760e+02	2.400e+01	2.110e+02	1.453e+01	2.030e+02	1.425e+01	4.510e+02	2.124e+01	5.500e+01	7.416e+00
8	3.530e+02	1.879e+01	6.270e+02	2.504e+01	2.530e+02	1.591e+01	2.010e+02	1.418e+01	4.660e+02	2.159e+01	4.900e+01	7.000e+00
9	3.760e+02	1.939e+01	7.120e+02	2.668e+01	2.470e+02	1.572e+01	2.200e+02	1.483e+01	4.830e+02	2.198e+01	6.200e+01	7.874e+00
10	4.090e+02	2.022e+01	5.860e+02	2.421e+01	2.300e+02	1.517e+01	2.230e+02	1.493e+01	4.320e+02	2.078e+01	3.900e+01	6.245e+00
11	4.290e+02	2.071e+01	6.460e+02	2.542e+01	2.550e+02	1.597e+01	2.070e+02	1.439e+01	4.610e+02	2.147e+01	4.500e+01	6.708e+00
12	4.590e+02	2.142e+01	6.860e+02	2.619e+01	2.870e+02	1.694e+01	2.230e+02	1.493e+01	5.460e+02	2.337e+01	6.100e+01	7.810e+00
13	4.670e+02	2.161e+01	7.700e+02	2.775e+01	2.890e+02	1.700e+01	2.330e+02	1.526e+01	5.320e+02	2.307e+01	6.000e+01	7.746e+00
14	4.630e+02	2.152e+01	8.090e+02	2.844e+01	3.100e+02	1.761e+01	2.890e+02	1.700e+01	5.280e+02	2.298e+01	7.100e+01	8.426e+00
15	4.930e+02	2.220e+01	8.670e+02	2.944e+01	3.350e+02	1.830e+01	2.490e+02	1.578e+01	6.210e+02	2.492e+01	5.500e+01	7.416e+00
16	5.390e+02	2.322e+01	9.010e+02	3.002e+01	3.380e+02	1.838e+01	2.820e+02	1.679e+01	5.970e+02	2.443e+01	5.600e+01	7.483e+00
17	5.890e+02	2.427e+01	9.700e+02	3.114e+01	3.510e+02	1.873e+01	2.890e+02	1.700e+01	6.160e+02	2.482e+01	7.100e+01	8.426e+00
18	5.580e+02	2.362e+01	1.007e+03	3.173e+01	3.420e+02	1.849e+01	3.050e+02	1.746e+01	6.840e+02	2.615e+01	7.100e+01	8.426e+00
19	6.170e+02	2.484e+01	9.400e+02	3.066e+01	3.600e+02	1.897e+01	3.140e+02	1.772e+01	7.100e+02	2.665e+01	8.800e+01	9.381e+00
20	5.600e+02	2.366e+01	1.054e+03	3.247e+01	3.570e+02	1.889e+01	3.260e+02	1.806e+01	6.850e+02	2.617e+01	7.300e+01	8.544e+00
