# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_2/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	3.125e+00	2.572e+00	6.993e-01	9.907e-01	0.000e+00	0.000e+00	4.167e+00	4.212e+00	1.031e+00	1.462e+00	0.000e+00	0.000e+00
2	0.000e+00	0.000e+00	3.077e+00	2.193e+00	4.688e+00	3.874e+00	2.500e+00	3.558e+00	0.000e+00	0.000e+00	1.667e+01	2.472e+01
3	3.030e+00	3.054e+00	1.235e+00	1.238e+00	1.852e+00	2.631e+00	2.222e+00	3.161e+00	4.444e+00	3.179e+00	0.000e+00	0.000e+00
4	0.000e+00	0.000e+00	2.597e+00	1.849e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5	4.082e+00	2.917e+00	1.852e+00	1.519e+00	3.896e+00	3.213e+00	0.000e+00	0.000e+00	1.075e+00	1.525e+00	0.000e+00	0.000e+00
6	2.083e+00	2.094e+00	1.105e+00	1.108e+00	1.587e+00	2.254e+00	2.326e+00	3.308e+00	0.000e+00	0.000e+00	2.000e+01	3.000e+01
7	4.255e+00	3.042e+00	1.714e+00	1.406e+00	1.250e+00	1.773e+00	3.774e+00	3.810e+00	2.439e+00	2.454e+00	0.000e+00	0.000e+00
8	7.229e+00	4.254e+00	1.657e+00	1.359e+00	0.000e+00	0.000e+00	5.128e+00	5.197e+00	3.093e+00	2.545e+00	0.000e+00	0.000e+00
9	0.000e+00	0.000e+00	1.478e+00	1.211e+00	6.154e+00	4.422e+00	0.000e+00	0.000e+00	1.942e+00	1.951e+00	1.429e+01	2.103e+01
10	8.929e-01	1.266e+00	2.604e+00	1.658e+00	3.030e+00	3.054e+00	0.000e+00	0.000e+00	1.149e+00	1.630e+00	0.000e+00	0.000e+00
11	0.000e+00	0.000e+00	1.442e+00	1.182e+00	1.250e+00	1.773e+00	3.636e+00	3.671e+00	2.913e+00	2.396e+00	0.000e+00	0.000e+00
12	8.130e-01	1.152e+00	1.980e+00	1.407e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.696e-01	1.232e+00	0.000e+00	0.000e+00
13	2.400e+00	1.972e+00	1.826e+00	1.298e+00	1.099e+00	1.558e+00	1.667e+00	2.367e+00	9.434e-01	1.337e+00	0.000e+00	0.000e+00
14	7.752e-01	1.098e+00	8.547e-01	8.565e-01	9.804e-01	1.390e+00	0.000e+00	0.000e+00	9.259e-01	1.313e+00	0.000e+00	0.000e+00
15	1.600e+00	1.606e+00	2.372e+00	1.378e+00	0.000e+00	0.000e+00	6.000e+00	4.977e+00	8.264e-01	1.171e+00	0.000e+00	0.000e+00
16	8.197e-01	1.162e+00	7.937e-01	7.952e-01	1.075e+00	1.525e+00	0.000e+00	0.000e+00	3.670e+00	2.619e+00	0.000e+00	0.000e+00
17	1.863e+00	1.529e+00	3.831e-01	5.424e-01	1.087e+00	1.541e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
18	1.538e+00	1.544e+00	1.923e+00	1.116e+00	3.125e+00	2.572e+00	0.000e+00	0.000e+00	2.013e+00	1.652e+00	0.000e+00	0.000e+00
19	1.190e+00	1.194e+00	1.156e+00	8.199e-01	8.547e-01	1.211e+00	2.703e+00	2.721e+00	7.143e-01	1.012e+00	0.000e+00	0.000e+00
20	2.222e+00	1.580e+00	1.562e+00	9.921e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.408e+00	1.413e+00	0.000e+00	0.000e+00
