# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_2/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=1		POL=1		POL=4		POL=1		POL=5	
1	2.566e+04	1.602e+02	7.099e+04	2.664e+02	2.872e+04	1.695e+02	3.903e+04	1.976e+02	2.790e+04	1.670e+02	4.774e+03	6.909e+01
2	4.462e+04	2.112e+02	7.332e+04	2.708e+02	2.970e+04	1.723e+02	4.082e+04	2.020e+02	2.937e+04	1.714e+02	5.335e+03	7.304e+01
3	4.480e+04	2.117e+02	7.301e+04	2.702e+02	2.954e+04	1.719e+02	4.072e+04	2.018e+02	2.914e+04	1.707e+02	5.495e+03	7.413e+01
4	4.466e+04	2.113e+02	7.370e+04	2.715e+02	2.966e+04	1.722e+02	4.034e+04	2.009e+02	2.916e+04	1.708e+02	5.558e+03	7.455e+01
5	4.499e+04	2.121e+02	7.384e+04	2.717e+02	2.938e+04	1.714e+02	4.034e+04	2.008e+02	2.899e+04	1.703e+02	5.465e+03	7.393e+01
6	4.469e+04	2.114e+02	7.399e+04	2.720e+02	2.954e+04	1.719e+02	3.962e+04	1.991e+02	2.785e+04	1.669e+02	5.461e+03	7.390e+01
7	4.426e+04	2.104e+02	7.456e+04	2.731e+02	2.937e+04	1.714e+02	3.942e+04	1.985e+02	2.780e+04	1.667e+02	5.393e+03	7.344e+01
8	4.468e+04	2.114e+02	7.465e+04	2.732e+02	2.922e+04	1.709e+02	3.933e+04	1.983e+02	2.759e+04	1.661e+02	5.254e+03	7.248e+01
9	4.610e+04	2.147e+02	7.695e+04	2.774e+02	3.047e+04	1.746e+02	4.105e+04	2.026e+02	3.005e+04	1.734e+02	5.246e+03	7.243e+01
10	4.598e+04	2.144e+02	7.763e+04	2.786e+02	3.060e+04	1.749e+02	4.082e+04	2.020e+02	3.091e+04	1.758e+02	5.565e+03	7.460e+01
11	4.645e+04	2.155e+02	7.854e+04	2.802e+02	3.086e+04	1.757e+02	4.096e+04	2.024e+02	3.084e+04	1.756e+02	5.422e+03	7.363e+01
12	4.684e+04	2.164e+02	7.874e+04	2.806e+02	3.085e+04	1.756e+02	4.049e+04	2.012e+02	2.980e+04	1.726e+02	5.472e+03	7.397e+01
13	4.704e+04	2.169e+02	7.974e+04	2.824e+02	3.099e+04	1.761e+02	4.102e+04	2.025e+02	3.036e+04	1.742e+02	5.599e+03	7.483e+01
14	4.732e+04	2.175e+02	8.031e+04	2.834e+02	3.097e+04	1.760e+02	4.120e+04	2.030e+02	2.995e+04	1.731e+02	5.493e+03	7.411e+01
15	4.782e+04	2.187e+02	8.106e+04	2.847e+02	3.146e+04	1.774e+02	4.097e+04	2.024e+02	2.982e+04	1.727e+02	5.588e+03	7.475e+01
16	4.971e+04	2.230e+02	8.335e+04	2.887e+02	3.201e+04	1.789e+02	4.342e+04	2.084e+02	3.189e+04	1.786e+02	5.804e+03	7.618e+01
17	5.005e+04	2.237e+02	8.446e+04	2.906e+02	3.286e+04	1.813e+02	4.286e+04	2.070e+02	3.308e+04	1.819e+02	5.887e+03	7.673e+01
18	5.043e+04	2.246e+02	8.538e+04	2.922e+02	3.293e+04	1.815e+02	4.296e+04	2.073e+02	3.346e+04	1.829e+02	5.988e+03	7.738e+01
19	5.000e+04	2.236e+02	8.462e+04	2.909e+02	3.243e+04	1.801e+02	4.075e+04	2.019e+02	3.047e+04	1.746e+02	5.930e+03	7.701e+01
20	5.152e+04	2.270e+02	8.645e+04	2.940e+02	3.351e+04	1.831e+02	4.318e+04	2.078e+02	3.349e+04	1.830e+02	6.121e+03	7.824e+01
