# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	9.608e-01	1.393e-01	9.772e-01	1.119e-01	9.397e-01	8.843e-02	8.663e-01	1.195e-01	8.027e-01	1.072e-01	9.727e-01	6.487e-02
2	1.065e+00	1.431e-01	1.117e+00	1.188e-01	1.030e+00	9.028e-02	9.235e-01	1.213e-01	9.470e-01	1.137e-01	9.884e-01	6.301e-02
3	1.016e+00	1.347e-01	1.029e+00	1.087e-01	9.828e-01	8.564e-02	1.089e+00	1.277e-01	9.006e-01	1.081e-01	1.096e+00	6.324e-02
4	1.024e+00	1.329e-01	1.013e+00	1.053e-01	1.024e+00	8.406e-02	8.873e-01	1.114e-01	9.628e-01	1.089e-01	1.038e+00	5.952e-02
5	9.932e-01	1.283e-01	9.549e-01	9.923e-02	1.021e+00	8.206e-02	1.085e+00	1.201e-01	9.859e-01	1.078e-01	1.021e+00	5.706e-02
6	1.110e+00	1.315e-01	1.004e+00	9.916e-02	9.383e-01	7.647e-02	1.022e+00	1.152e-01	1.074e+00	1.108e-01	9.942e-01	5.463e-02
7	1.054e+00	1.271e-01	1.018e+00	9.753e-02	9.957e-01	7.779e-02	8.909e-01	1.058e-01	9.795e-01	1.026e-01	9.900e-01	5.299e-02
8	1.219e+00	1.351e-01	9.651e-01	9.246e-02	1.014e+00	7.611e-02	1.054e+00	1.123e-01	1.093e+00	1.070e-01	1.038e+00	5.318e-02
9	9.703e-01	1.170e-01	1.041e+00	9.433e-02	1.066e+00	7.624e-02	9.392e-01	1.030e-01	1.029e+00	1.020e-01	9.959e-01	5.075e-02
10	8.690e-01	1.095e-01	9.210e-01	8.591e-02	1.008e+00	7.219e-02	1.081e+00	1.079e-01	1.048e+00	1.021e-01	9.923e-01	4.974e-02
11	9.933e-01	1.141e-01	1.010e+00	8.738e-02	9.625e-01	6.899e-02	1.121e+00	1.084e-01	9.357e-01	9.354e-02	1.068e+00	5.053e-02
12	1.120e+00	1.171e-01	9.938e-01	8.549e-02	1.020e+00	6.899e-02	9.650e-01	9.746e-02	1.074e+00	9.878e-02	9.767e-01	4.703e-02
13	9.516e-01	1.069e-01	1.027e+00	8.455e-02	9.870e-01	6.650e-02	1.051e+00	1.008e-01	9.742e-01	9.210e-02	1.081e+00	4.888e-02
14	1.018e+00	1.073e-01	1.012e+00	8.214e-02	1.025e+00	6.636e-02	9.941e-01	9.548e-02	9.209e-01	8.703e-02	1.017e+00	4.657e-02
15	9.884e-01	1.038e-01	8.811e-01	7.467e-02	9.962e-01	6.429e-02	1.089e+00	9.818e-02	9.386e-01	8.719e-02	9.761e-01	4.438e-02
16	9.408e-01	9.936e-02	1.022e+00	7.800e-02	1.012e+00	6.324e-02	9.113e-01	8.709e-02	9.921e-01	8.597e-02	1.049e+00	4.517e-02
17	1.025e+00	1.015e-01	1.010e+00	7.581e-02	1.081e+00	6.350e-02	9.798e-01	8.860e-02	9.652e-01	8.410e-02	1.027e+00	4.389e-02
18	1.093e+00	1.036e-01	1.033e+00	7.545e-02	1.020e+00	6.008e-02	1.077e+00	9.039e-02	1.121e+00	8.882e-02	9.925e-01	4.242e-02
19	1.014e+00	9.713e-02	1.017e+00	7.350e-02	1.037e+00	5.954e-02	9.450e-01	8.392e-02	1.055e+00	8.536e-02	9.833e-01	4.154e-02
20	1.030e+00	9.698e-02	9.700e-01	7.026e-02	1.039e+00	5.835e-02	1.068e+00	8.780e-02	9.862e-01	8.106e-02	9.992e-01	4.119e-02
