# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	4.341e-01	4.530e-02	3.990e-01	3.537e-02	3.783e-01	2.708e-02	3.629e-01	3.669e-02	3.924e-01	3.571e-02	3.766e-01	2.327e-02
2	4.287e-01	4.511e-02	3.603e-01	3.320e-02	3.493e-01	2.553e-02	3.742e-01	3.691e-02	3.773e-01	3.462e-02	3.959e-01	2.335e-02
3	3.942e-01	4.357e-02	3.838e-01	3.403e-02	3.949e-01	2.712e-02	4.103e-01	3.847e-02	3.563e-01	3.416e-02	3.779e-01	2.252e-02
4	3.808e-01	4.289e-02	3.862e-01	3.478e-02	3.753e-01	2.649e-02	4.348e-01	4.041e-02	3.692e-01	3.564e-02	3.746e-01	2.259e-02
5	3.542e-01	4.267e-02	3.568e-01	3.360e-02	3.854e-01	2.721e-02	4.044e-01	3.922e-02	3.823e-01	3.708e-02	4.000e-01	2.335e-02
6	3.608e-01	4.348e-02	3.882e-01	3.577e-02	3.850e-01	2.760e-02	3.840e-01	3.923e-02	3.659e-01	3.653e-02	4.276e-01	2.449e-02
7	4.233e-01	4.767e-02	3.803e-01	3.574e-02	3.905e-01	2.818e-02	3.758e-01	3.890e-02	3.849e-01	3.797e-02	3.541e-01	2.239e-02
8	3.571e-01	4.451e-02	3.416e-01	3.436e-02	3.902e-01	2.845e-02	3.340e-01	3.750e-02	3.783e-01	3.855e-02	4.030e-01	2.420e-02
9	3.675e-01	4.597e-02	3.747e-01	3.626e-02	3.796e-01	2.812e-02	4.001e-01	4.130e-02	3.890e-01	3.943e-02	3.879e-01	2.392e-02
10	3.810e-01	4.768e-02	3.622e-01	3.590e-02	3.512e-01	2.762e-02	3.465e-01	3.878e-02	3.606e-01	3.836e-02	3.773e-01	2.400e-02
11	4.182e-01	5.022e-02	3.958e-01	3.752e-02	3.355e-01	2.701e-02	3.477e-01	3.891e-02	4.435e-01	4.292e-02	3.679e-01	2.405e-02
12	4.388e-01	5.072e-02	3.989e-01	3.825e-02	3.846e-01	2.881e-02	4.223e-01	4.326e-02	3.577e-01	3.849e-02	3.897e-01	2.457e-02
13	4.092e-01	5.004e-02	3.770e-01	3.727e-02	3.802e-01	2.927e-02	3.997e-01	4.253e-02	3.678e-01	3.970e-02	3.633e-01	2.390e-02
14	3.501e-01	4.621e-02	3.548e-01	3.615e-02	4.081e-01	3.032e-02	3.628e-01	4.060e-02	4.109e-01	4.231e-02	3.769e-01	2.443e-02
15	3.388e-01	4.552e-02	3.868e-01	3.815e-02	3.793e-01	2.938e-02	3.550e-01	4.050e-02	3.791e-01	4.069e-02	3.869e-01	2.464e-02
16	4.007e-01	4.937e-02	4.546e-01	4.095e-02	3.922e-01	2.963e-02	3.941e-01	4.217e-02	3.679e-01	3.994e-02	3.825e-01	2.456e-02
17	4.112e-01	5.010e-02	4.135e-01	3.937e-02	3.821e-01	2.942e-02	3.388e-01	3.982e-02	3.542e-01	3.951e-02	3.976e-01	2.507e-02
18	4.257e-01	5.111e-02	3.731e-01	3.735e-02	3.655e-01	2.835e-02	4.131e-01	4.334e-02	4.116e-01	4.227e-02	4.136e-01	2.546e-02
19	3.999e-01	4.965e-02	3.844e-01	3.782e-02	3.947e-01	2.974e-02	3.544e-01	4.042e-02	3.822e-01	4.137e-02	3.496e-01	2.349e-02
20	3.792e-01	4.801e-02	3.466e-01	3.607e-02	3.704e-01	2.891e-02	4.194e-01	4.413e-02	3.408e-01	3.939e-02	3.763e-01	2.436e-02
