# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=1		POL=1		POL=4		POL=1		POL=1		POL=1	
1	9.600e+01	9.798e+00	1.540e+02	1.241e+01	2.280e+02	1.510e+01	1.060e+02	1.030e+01	1.130e+02	1.063e+01	4.540e+02	2.131e+01
2	1.120e+02	1.058e+01	1.790e+02	1.338e+01	2.630e+02	1.622e+01	1.170e+02	1.082e+01	1.400e+02	1.183e+01	4.970e+02	2.229e+01
3	1.150e+02	1.072e+01	1.810e+02	1.345e+01	2.660e+02	1.631e+01	1.470e+02	1.212e+01	1.400e+02	1.183e+01	6.080e+02	2.466e+01
4	1.200e+02	1.095e+01	1.870e+02	1.367e+01	3.000e+02	1.732e+01	1.280e+02	1.131e+01	1.580e+02	1.257e+01	6.150e+02	2.480e+01
5	1.210e+02	1.100e+01	1.870e+02	1.367e+01	3.130e+02	1.769e+01	1.650e+02	1.285e+01	1.690e+02	1.300e+01	6.470e+02	2.544e+01
6	1.440e+02	1.200e+01	2.070e+02	1.439e+01	3.040e+02	1.744e+01	1.590e+02	1.261e+01	1.900e+02	1.378e+01	6.690e+02	2.587e+01
7	1.390e+02	1.179e+01	2.200e+02	1.483e+01	3.310e+02	1.819e+01	1.430e+02	1.196e+01	1.840e+02	1.356e+01	7.050e+02	2.655e+01
8	1.650e+02	1.285e+01	2.200e+02	1.483e+01	3.590e+02	1.895e+01	1.780e+02	1.334e+01	2.110e+02	1.453e+01	7.700e+02	2.775e+01
9	1.390e+02	1.179e+01	2.460e+02	1.568e+01	3.950e+02	1.987e+01	1.680e+02	1.296e+01	2.060e+02	1.435e+01	7.780e+02	2.789e+01
10	1.270e+02	1.127e+01	2.320e+02	1.523e+01	3.940e+02	1.985e+01	2.030e+02	1.425e+01	2.130e+02	1.459e+01	8.040e+02	2.835e+01
11	1.530e+02	1.237e+01	2.700e+02	1.643e+01	3.930e+02	1.982e+01	2.160e+02	1.470e+01	2.020e+02	1.421e+01	9.030e+02	3.005e+01
12	1.850e+02	1.360e+01	2.730e+02	1.652e+01	4.420e+02	2.102e+01	1.980e+02	1.407e+01	2.390e+02	1.546e+01	8.710e+02	2.951e+01
13	1.600e+02	1.265e+01	2.980e+02	1.726e+01	4.450e+02	2.110e+01	2.200e+02	1.483e+01	2.260e+02	1.503e+01	9.890e+02	3.145e+01
14	1.820e+02	1.349e+01	3.070e+02	1.752e+01	4.820e+02	2.195e+01	2.190e+02	1.480e+01	2.260e+02	1.503e+01	9.640e+02	3.105e+01
15	1.830e+02	1.353e+01	2.810e+02	1.676e+01	4.850e+02	2.202e+01	2.490e+02	1.578e+01	2.340e+02	1.530e+01	9.770e+02	3.126e+01
16	1.810e+02	1.345e+01	3.470e+02	1.863e+01	5.170e+02	2.274e+01	2.210e+02	1.487e+01	2.690e+02	1.640e+01	1.090e+03	3.302e+01
17	2.060e+02	1.435e+01	3.590e+02	1.895e+01	5.860e+02	2.421e+01	2.470e+02	1.572e+01	2.660e+02	1.631e+01	1.107e+03	3.327e+01
18	2.250e+02	1.500e+01	3.790e+02	1.947e+01	5.820e+02	2.412e+01	2.870e+02	1.694e+01	3.220e+02	1.794e+01	1.106e+03	3.326e+01
19	2.200e+02	1.483e+01	3.870e+02	1.967e+01	6.130e+02	2.476e+01	2.560e+02	1.600e+01	3.090e+02	1.758e+01	1.132e+03	3.365e+01
20	2.280e+02	1.510e+01	3.850e+02	1.962e+01	6.410e+02	2.532e+01	2.990e+02	1.729e+01	2.990e+02	1.729e+01	1.189e+03	3.448e+01
