# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=2		POL=5		POL=4		POL=2		POL=2		POL=4	
1	4.221e+04	2.054e+02	6.366e+04	2.523e+02	1.030e+05	3.209e+02	5.381e+04	2.320e+02	6.142e+04	2.478e+02	1.389e+05	3.727e+02
2	4.204e+04	2.050e+02	6.526e+04	2.555e+02	1.070e+05	3.271e+02	5.484e+04	2.342e+02	6.284e+04	2.507e+02	1.449e+05	3.807e+02
3	4.144e+04	2.036e+02	6.618e+04	2.573e+02	1.072e+05	3.274e+02	5.534e+04	2.352e+02	6.096e+04	2.469e+02	1.487e+05	3.856e+02
4	4.133e+04	2.033e+02	6.371e+04	2.524e+02	1.067e+05	3.267e+02	5.313e+04	2.305e+02	5.802e+04	2.409e+02	1.465e+05	3.828e+02
5	3.883e+04	1.970e+02	6.311e+04	2.512e+02	1.039e+05	3.224e+02	5.246e+04	2.290e+02	5.550e+04	2.356e+02	1.464e+05	3.827e+02
6	3.811e+04	1.952e+02	6.056e+04	2.461e+02	1.009e+05	3.176e+02	4.981e+04	2.232e+02	5.474e+04	2.340e+02	1.423e+05	3.772e+02
7	3.717e+04	1.928e+02	5.946e+04	2.438e+02	9.820e+04	3.134e+02	4.958e+04	2.227e+02	5.331e+04	2.309e+02	1.410e+05	3.755e+02
8	3.599e+04	1.897e+02	5.777e+04	2.404e+02	9.623e+04	3.102e+02	4.744e+04	2.178e+02	5.082e+04	2.254e+02	1.374e+05	3.707e+02
9	3.471e+04	1.863e+02	5.690e+04	2.385e+02	9.580e+04	3.095e+02	4.680e+04	2.163e+02	4.994e+04	2.235e+02	1.353e+05	3.679e+02
10	3.346e+04	1.829e+02	5.611e+04	2.369e+02	9.193e+04	3.032e+02	4.601e+04	2.145e+02	4.891e+04	2.212e+02	1.307e+05	3.615e+02
11	3.310e+04	1.819e+02	5.612e+04	2.369e+02	9.181e+04	3.030e+02	4.586e+04	2.141e+02	4.804e+04	2.192e+02	1.270e+05	3.564e+02
12	3.404e+04	1.845e+02	5.443e+04	2.333e+02	9.247e+04	3.041e+02	4.503e+04	2.122e+02	4.819e+04	2.195e+02	1.288e+05	3.589e+02
13	3.262e+04	1.806e+02	5.417e+04	2.327e+02	8.856e+04	2.976e+02	4.411e+04	2.100e+02	4.659e+04	2.158e+02	1.270e+05	3.564e+02
14	3.274e+04	1.809e+02	5.421e+04	2.328e+02	8.859e+04	2.976e+02	4.394e+04	2.096e+02	4.580e+04	2.140e+02	1.261e+05	3.551e+02
15	3.265e+04	1.807e+02	5.305e+04	2.303e+02	8.773e+04	2.962e+02	4.322e+04	2.079e+02	4.572e+04	2.138e+02	1.272e+05	3.566e+02
16	3.281e+04	1.811e+02	5.409e+04	2.326e+02	8.915e+04	2.986e+02	4.423e+04	2.103e+02	4.604e+04	2.146e+02	1.266e+05	3.558e+02
17	3.270e+04	1.808e+02	5.323e+04	2.307e+02	8.812e+04	2.968e+02	4.266e+04	2.065e+02	4.529e+04	2.128e+02	1.263e+05	3.553e+02
18	3.252e+04	1.803e+02	5.340e+04	2.311e+02	9.077e+04	3.013e+02	4.388e+04	2.095e+02	4.598e+04	2.144e+02	1.274e+05	3.569e+02
19	3.238e+04	1.799e+02	5.365e+04	2.316e+02	8.908e+04	2.985e+02	4.330e+04	2.081e+02	4.457e+04	2.111e+02	1.265e+05	3.557e+02
20	3.284e+04	1.812e+02	5.318e+04	2.306e+02	8.850e+04	2.975e+02	4.298e+04	2.073e+02	4.386e+04	2.094e+02	1.266e+05	3.558e+02
