# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=2		POL=2		POL=2		POL=2		POL=2		POL=5	
1	4.948e+03	7.034e+01	7.803e+03	8.833e+01	1.202e+04	1.096e+02	6.065e+03	7.788e+01	6.982e+03	8.356e+01	2.311e+04	1.520e+02
2	5.200e+03	7.211e+01	7.920e+03	8.899e+01	1.264e+04	1.124e+02	6.276e+03	7.922e+01	7.322e+03	8.557e+01	2.489e+04	1.578e+02
3	5.602e+03	7.485e+01	8.703e+03	9.329e+01	1.340e+04	1.158e+02	6.675e+03	8.170e+01	7.703e+03	8.777e+01	2.742e+04	1.656e+02
4	5.797e+03	7.614e+01	9.136e+03	9.558e+01	1.450e+04	1.204e+02	7.149e+03	8.455e+01	8.126e+03	9.014e+01	2.931e+04	1.712e+02
5	6.031e+03	7.766e+01	9.698e+03	9.848e+01	1.517e+04	1.232e+02	7.520e+03	8.672e+01	8.486e+03	9.212e+01	3.136e+04	1.771e+02
6	6.417e+03	8.011e+01	1.021e+04	1.010e+02	1.605e+04	1.267e+02	7.697e+03	8.773e+01	8.751e+03	9.355e+01	3.331e+04	1.825e+02
7	6.522e+03	8.076e+01	1.070e+04	1.034e+02	1.646e+04	1.283e+02	7.954e+03	8.919e+01	9.301e+03	9.644e+01	3.525e+04	1.878e+02
8	6.684e+03	8.176e+01	1.129e+04	1.062e+02	1.751e+04	1.323e+02	8.353e+03	9.139e+01	9.546e+03	9.770e+01	3.671e+04	1.916e+02
9	7.093e+03	8.422e+01	1.170e+04	1.081e+02	1.834e+04	1.354e+02	8.860e+03	9.413e+01	9.903e+03	9.951e+01	3.867e+04	1.966e+02
10	7.244e+03	8.511e+01	1.248e+04	1.117e+02	1.934e+04	1.391e+02	9.289e+03	9.638e+01	1.006e+04	1.003e+02	4.011e+04	2.003e+02
11	7.625e+03	8.732e+01	1.323e+04	1.150e+02	2.022e+04	1.422e+02	9.530e+03	9.762e+01	1.069e+04	1.034e+02	4.183e+04	2.045e+02
12	8.164e+03	9.035e+01	1.360e+04	1.166e+02	2.144e+04	1.464e+02	1.016e+04	1.008e+02	1.101e+04	1.049e+02	4.415e+04	2.101e+02
13	8.327e+03	9.125e+01	1.436e+04	1.198e+02	2.232e+04	1.494e+02	1.035e+04	1.017e+02	1.149e+04	1.072e+02	4.524e+04	2.127e+02
14	8.848e+03	9.406e+01	1.501e+04	1.225e+02	2.328e+04	1.526e+02	1.090e+04	1.044e+02	1.216e+04	1.103e+02	4.691e+04	2.166e+02
15	9.166e+03	9.574e+01	1.580e+04	1.257e+02	2.410e+04	1.552e+02	1.130e+04	1.063e+02	1.235e+04	1.111e+02	4.956e+04	2.226e+02
16	9.529e+03	9.762e+01	1.680e+04	1.296e+02	2.530e+04	1.590e+02	1.202e+04	1.096e+02	1.342e+04	1.159e+02	5.142e+04	2.268e+02
17	9.945e+03	9.972e+01	1.758e+04	1.326e+02	2.681e+04	1.637e+02	1.248e+04	1.117e+02	1.365e+04	1.168e+02	5.333e+04	2.309e+02
18	1.018e+04	1.009e+02	1.815e+04	1.347e+02	2.825e+04	1.681e+02	1.318e+04	1.148e+02	1.420e+04	1.192e+02	5.517e+04	2.349e+02
19	1.074e+04	1.036e+02	1.883e+04	1.372e+02	2.925e+04	1.710e+02	1.342e+04	1.158e+02	1.448e+04	1.204e+02	5.700e+04	2.387e+02
20	1.095e+04	1.047e+02	1.965e+04	1.402e+02	3.052e+04	1.747e+02	1.385e+04	1.177e+02	1.501e+04	1.225e+02	5.890e+04	2.427e+02
