# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.151e+00	6.172e-01	6.865e-01	3.970e-01	1.110e+00	3.934e-01	7.246e-01	4.591e-01	5.698e-01	4.035e-01	1.027e+00	2.752e-01
2	9.524e-01	6.038e-01	9.657e-01	4.563e-01	7.241e-01	3.244e-01	9.231e-01	5.342e-01	7.032e-01	4.456e-01	6.910e-01	2.307e-01
3	3.584e-01	3.587e-01	6.329e-01	3.660e-01	4.670e-01	2.499e-01	1.032e+00	5.533e-01	7.052e-01	4.468e-01	7.133e-01	2.260e-01
4	1.220e+00	6.539e-01	9.412e-01	4.717e-01	8.679e-01	3.288e-01	4.673e-01	3.820e-01	7.022e-01	4.449e-01	1.059e+00	2.654e-01
5	5.282e-01	4.318e-01	6.816e-01	3.650e-01	9.981e-01	3.538e-01	2.915e-01	2.918e-01	1.226e+00	5.798e-01	1.304e+00	2.926e-01
6	1.582e-01	2.239e-01	1.415e+00	5.186e-01	1.291e+00	3.905e-01	6.684e-01	4.235e-01	4.144e-01	3.387e-01	1.426e+00	2.952e-01
7	7.634e-01	4.837e-01	5.587e-01	3.230e-01	1.242e+00	3.755e-01	1.077e+00	5.398e-01	6.297e-01	3.989e-01	9.709e-01	2.396e-01
8	1.220e+00	6.116e-01	7.481e-01	3.533e-01	9.236e-01	3.086e-01	1.373e+00	5.876e-01	8.413e-01	4.507e-01	7.657e-01	2.050e-01
9	4.622e-01	3.779e-01	1.206e+00	4.416e-01	6.513e-01	2.559e-01	5.967e-01	3.779e-01	7.101e-01	4.107e-01	9.330e-01	2.268e-01
10	8.772e-01	5.076e-01	1.012e+00	3.981e-01	1.255e+00	3.491e-01	9.050e-01	4.535e-01	7.380e-01	4.269e-01	8.395e-01	2.071e-01
11	9.211e-01	4.935e-01	1.129e+00	4.004e-01	8.772e-01	2.780e-01	8.368e-01	4.193e-01	1.464e+00	5.763e-01	9.794e-01	2.195e-01
12	7.634e-01	4.416e-01	6.152e-01	2.904e-01	1.076e+00	2.993e-01	1.351e+00	5.536e-01	9.923e-01	4.689e-01	9.136e-01	2.074e-01
13	9.816e-01	4.920e-01	5.972e-01	2.820e-01	1.089e+00	2.918e-01	7.656e-01	3.835e-01	4.960e-01	3.141e-01	6.067e-01	1.654e-01
14	7.592e-01	4.066e-01	9.395e-01	3.330e-01	7.567e-01	2.398e-01	8.540e-01	3.827e-01	7.143e-01	3.578e-01	8.902e-01	1.947e-01
15	4.119e-01	2.916e-01	6.347e-01	2.711e-01	1.024e+00	2.650e-01	1.028e+00	4.209e-01	1.494e+00	5.143e-01	9.602e-01	1.945e-01
16	6.024e-01	3.483e-01	7.645e-01	2.797e-01	7.369e-01	2.177e-01	5.677e-01	3.039e-01	1.099e+00	4.322e-01	9.873e-01	1.923e-01
17	9.407e-01	4.217e-01	9.847e-01	3.122e-01	7.120e-01	2.059e-01	1.265e+00	4.352e-01	9.516e-01	3.894e-01	8.080e-01	1.707e-01
18	7.729e-01	3.872e-01	9.329e-01	2.886e-01	7.779e-01	2.121e-01	8.804e-01	3.602e-01	4.850e-01	2.804e-01	9.459e-01	1.792e-01
19	1.119e+00	4.401e-01	8.850e-01	2.737e-01	8.896e-01	2.162e-01	8.191e-01	3.351e-01	7.840e-01	3.350e-01	9.343e-01	1.739e-01
20	6.751e-01	3.381e-01	8.512e-01	2.633e-01	1.032e+00	2.286e-01	1.172e+00	3.918e-01	6.276e-01	2.963e-01	1.016e+00	1.801e-01
