# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=2		POL=1		POL=1		POL=3		POL=1		POL=1	
1	1.960e+02	1.400e+01	3.630e+02	1.905e+01	5.960e+02	2.441e+01	3.060e+02	1.749e+01	2.510e+02	1.584e+01	1.005e+03	3.170e+01
2	1.910e+02	1.382e+01	3.560e+02	1.887e+01	5.690e+02	2.385e+01	2.460e+02	1.568e+01	2.510e+02	1.584e+01	1.028e+03	3.206e+01
3	2.140e+02	1.463e+01	3.730e+02	1.931e+01	6.230e+02	2.496e+01	2.820e+02	1.679e+01	2.500e+02	1.581e+01	1.157e+03	3.401e+01
4	2.120e+02	1.456e+01	4.320e+02	2.078e+01	6.950e+02	2.636e+01	3.180e+02	1.783e+01	2.630e+02	1.622e+01	1.220e+03	3.493e+01
5	1.990e+02	1.411e+01	4.500e+02	2.121e+01	7.070e+02	2.659e+01	3.030e+02	1.741e+01	2.620e+02	1.619e+01	1.263e+03	3.554e+01
6	2.110e+02	1.453e+01	4.470e+02	2.114e+01	7.420e+02	2.724e+01	2.700e+02	1.643e+01	2.900e+02	1.703e+01	1.370e+03	3.701e+01
7	2.280e+02	1.510e+01	4.900e+02	2.214e+01	7.940e+02	2.818e+01	2.740e+02	1.655e+01	2.780e+02	1.667e+01	1.367e+03	3.697e+01
8	2.040e+02	1.428e+01	5.270e+02	2.296e+01	8.110e+02	2.848e+01	2.810e+02	1.676e+01	2.910e+02	1.706e+01	1.422e+03	3.771e+01
9	2.270e+02	1.507e+01	5.090e+02	2.256e+01	8.450e+02	2.907e+01	3.040e+02	1.744e+01	2.500e+02	1.581e+01	1.433e+03	3.785e+01
10	2.700e+02	1.643e+01	5.560e+02	2.358e+01	8.650e+02	2.941e+01	3.530e+02	1.879e+01	2.840e+02	1.685e+01	1.434e+03	3.787e+01
11	2.260e+02	1.503e+01	5.540e+02	2.354e+01	9.340e+02	3.056e+01	3.440e+02	1.855e+01	3.200e+02	1.789e+01	1.448e+03	3.805e+01
12	2.310e+02	1.520e+01	5.670e+02	2.381e+01	9.390e+02	3.064e+01	3.240e+02	1.800e+01	3.190e+02	1.786e+01	1.520e+03	3.899e+01
13	2.440e+02	1.562e+01	5.920e+02	2.433e+01	1.021e+03	3.195e+01	3.780e+02	1.944e+01	3.320e+02	1.822e+01	1.495e+03	3.867e+01
14	2.740e+02	1.655e+01	6.240e+02	2.498e+01	1.050e+03	3.240e+01	4.010e+02	2.002e+01	3.450e+02	1.857e+01	1.599e+03	3.999e+01
15	2.920e+02	1.709e+01	6.610e+02	2.571e+01	1.038e+03	3.222e+01	3.970e+02	1.992e+01	3.560e+02	1.887e+01	1.652e+03	4.064e+01
16	3.100e+02	1.761e+01	7.670e+02	2.769e+01	1.206e+03	3.473e+01	4.250e+02	2.062e+01	3.810e+02	1.952e+01	1.767e+03	4.204e+01
17	3.070e+02	1.752e+01	7.490e+02	2.737e+01	1.174e+03	3.426e+01	4.710e+02	2.170e+01	4.260e+02	2.064e+01	1.733e+03	4.163e+01
18	3.380e+02	1.838e+01	7.720e+02	2.778e+01	1.332e+03	3.650e+01	4.570e+02	2.138e+01	3.920e+02	1.980e+01	1.746e+03	4.179e+01
19	3.580e+02	1.892e+01	7.940e+02	2.818e+01	1.314e+03	3.625e+01	5.080e+02	2.254e+01	4.280e+02	2.069e+01	1.937e+03	4.401e+01
20	3.600e+02	1.897e+01	8.400e+02	2.898e+01	1.399e+03	3.740e+01	4.980e+02	2.232e+01	3.860e+02	1.965e+01	1.872e+03	4.327e+01
