# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_3/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=4		POL=2		POL=3		POL=2		POL=2		POL=2	
1	2.071e+04	1.439e+02	3.884e+04	1.971e+02	5.084e+04	2.255e+02	2.301e+04	1.517e+02	2.453e+04	1.566e+02	8.910e+04	2.985e+02
2	2.032e+04	1.425e+02	4.088e+04	2.022e+02	5.394e+04	2.323e+02	2.484e+04	1.576e+02	2.540e+04	1.594e+02	8.715e+04	2.952e+02
3	2.010e+04	1.418e+02	4.066e+04	2.016e+02	5.318e+04	2.306e+02	2.419e+04	1.555e+02	2.501e+04	1.582e+02	8.660e+04	2.943e+02
4	1.993e+04	1.412e+02	4.019e+04	2.005e+02	5.327e+04	2.308e+02	2.384e+04	1.544e+02	2.410e+04	1.552e+02	8.623e+04	2.936e+02
5	1.938e+04	1.392e+02	3.984e+04	1.996e+02	5.293e+04	2.301e+02	2.383e+04	1.544e+02	2.386e+04	1.545e+02	8.703e+04	2.950e+02
6	1.942e+04	1.394e+02	3.972e+04	1.993e+02	5.244e+04	2.290e+02	2.308e+04	1.519e+02	2.392e+04	1.547e+02	8.674e+04	2.945e+02
7	1.972e+04	1.404e+02	3.967e+04	1.992e+02	5.304e+04	2.303e+02	2.349e+04	1.533e+02	2.410e+04	1.552e+02	8.716e+04	2.952e+02
8	1.947e+04	1.395e+02	3.942e+04	1.985e+02	5.187e+04	2.278e+02	2.281e+04	1.510e+02	2.364e+04	1.537e+02	8.767e+04	2.961e+02
9	1.964e+04	1.401e+02	4.002e+04	2.001e+02	5.372e+04	2.318e+02	2.363e+04	1.537e+02	2.420e+04	1.556e+02	8.820e+04	2.970e+02
10	2.314e+04	1.521e+02	4.258e+04	2.064e+02	5.750e+04	2.398e+02	2.539e+04	1.593e+02	2.625e+04	1.620e+02	9.087e+04	3.014e+02
11	2.308e+04	1.519e+02	4.302e+04	2.074e+02	5.796e+04	2.407e+02	2.552e+04	1.597e+02	2.632e+04	1.622e+02	9.156e+04	3.026e+02
12	2.219e+04	1.489e+02	4.274e+04	2.067e+02	5.750e+04	2.398e+02	2.562e+04	1.601e+02	2.656e+04	1.630e+02	9.245e+04	3.041e+02
13	2.171e+04	1.473e+02	4.247e+04	2.061e+02	5.677e+04	2.383e+02	2.449e+04	1.565e+02	2.547e+04	1.596e+02	9.223e+04	3.037e+02
14	2.188e+04	1.479e+02	4.277e+04	2.068e+02	5.689e+04	2.385e+02	2.478e+04	1.574e+02	2.557e+04	1.599e+02	9.369e+04	3.061e+02
15	2.127e+04	1.459e+02	4.291e+04	2.071e+02	5.759e+04	2.400e+02	2.469e+04	1.571e+02	2.590e+04	1.609e+02	9.514e+04	3.084e+02
16	2.205e+04	1.485e+02	4.466e+04	2.113e+02	5.932e+04	2.436e+02	2.611e+04	1.616e+02	2.708e+04	1.646e+02	9.736e+04	3.120e+02
17	2.244e+04	1.498e+02	4.457e+04	2.111e+02	5.896e+04	2.428e+02	2.548e+04	1.596e+02	2.696e+04	1.642e+02	9.836e+04	3.136e+02
18	2.574e+04	1.604e+02	4.783e+04	2.187e+02	6.482e+04	2.546e+02	2.910e+04	1.706e+02	2.978e+04	1.726e+02	1.028e+05	3.206e+02
19	2.576e+04	1.605e+02	4.876e+04	2.208e+02	6.548e+04	2.559e+02	2.921e+04	1.709e+02	2.978e+04	1.726e+02	1.038e+05	3.222e+02
20	2.628e+04	1.621e+02	4.936e+04	2.222e+02	6.753e+04	2.599e+02	3.009e+04	1.735e+02	3.009e+04	1.735e+02	1.043e+05	3.230e+02
