# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.335e+00	4.361e-01	6.803e-01	3.649e-01	1.386e+00	2.117e-01	1.380e+00	4.633e-01	1.335e+00	2.453e-01	1.105e+00	1.757e-01	1.418e+00	3.233e-01	1.457e+00	1.903e-01	1.488e+00	3.533e-01
2	8.489e-01	3.113e-01	1.328e+00	4.337e-01	1.078e+00	1.747e-01	1.159e+00	3.783e-01	1.435e+00	2.272e-01	1.391e+00	1.816e-01	1.298e+00	2.818e-01	1.317e+00	1.677e-01	1.163e+00	2.683e-01
3	1.200e+00	3.639e-01	1.182e+00	3.859e-01	1.140e+00	1.708e-01	1.267e+00	3.607e-01	1.597e+00	2.360e-01	1.148e+00	1.558e-01	1.288e+00	2.568e-01	1.365e+00	1.603e-01	1.504e+00	2.814e-01
4	1.697e+00	4.213e-01	1.786e+00	4.652e-01	1.281e+00	1.723e-01	1.695e+00	3.974e-01	1.533e+00	2.241e-01	1.125e+00	1.473e-01	1.877e+00	2.996e-01	1.469e+00	1.587e-01	1.263e+00	2.470e-01
5	1.277e+00	3.637e-01	1.405e+00	3.926e-01	1.178e+00	1.619e-01	1.253e+00	3.105e-01	1.291e+00	2.081e-01	1.236e+00	1.471e-01	1.465e+00	2.513e-01	1.484e+00	1.567e-01	1.369e+00	2.364e-01
6	1.767e+00	4.038e-01	1.543e+00	4.016e-01	1.163e+00	1.504e-01	1.304e+00	3.183e-01	1.658e+00	2.276e-01	1.137e+00	1.358e-01	1.050e+00	2.154e-01	1.355e+00	1.480e-01	1.326e+00	2.307e-01
7	1.171e+00	3.093e-01	9.872e-01	3.137e-01	1.069e+00	1.393e-01	1.158e+00	2.911e-01	1.046e+00	1.802e-01	1.326e+00	1.439e-01	1.232e+00	2.263e-01	1.289e+00	1.425e-01	1.295e+00	2.287e-01
8	1.040e+00	3.018e-01	1.253e+00	3.639e-01	1.060e+00	1.327e-01	1.370e+00	3.251e-01	1.146e+00	1.811e-01	1.273e+00	1.354e-01	9.746e-01	1.939e-01	1.272e+00	1.380e-01	1.307e+00	2.208e-01
9	1.311e+00	3.300e-01	1.352e+00	3.457e-01	1.238e+00	1.458e-01	1.919e+00	3.838e-01	1.380e+00	1.956e-01	1.133e+00	1.274e-01	1.388e+00	2.434e-01	1.129e+00	1.269e-01	1.417e+00	2.270e-01
10	1.053e+00	2.935e-01	1.189e+00	3.255e-01	1.281e+00	1.415e-01	1.087e+00	2.871e-01	1.279e+00	1.878e-01	1.221e+00	1.274e-01	1.204e+00	2.231e-01	1.309e+00	1.327e-01	1.250e+00	2.174e-01
11	1.371e+00	3.254e-01	8.190e-01	2.601e-01	1.108e+00	1.261e-01	1.158e+00	3.008e-01	1.259e+00	1.792e-01	1.198e+00	1.236e-01	1.261e+00	2.262e-01	1.333e+00	1.352e-01	1.295e+00	2.219e-01
12	9.546e-01	2.713e-01	1.160e+00	3.063e-01	1.197e+00	1.291e-01	1.381e+00	3.279e-01	1.184e+00	1.737e-01	1.313e+00	1.278e-01	1.001e+00	1.919e-01	1.344e+00	1.333e-01	1.363e+00	2.257e-01
13	1.093e+00	2.666e-01	1.357e+00	3.365e-01	1.136e+00	1.208e-01	8.517e-01	2.469e-01	1.087e+00	1.648e-01	1.199e+00	1.172e-01	1.207e+00	2.115e-01	1.460e+00	1.356e-01	1.249e+00	2.187e-01
14	9.952e-01	2.540e-01	8.054e-01	2.624e-01	1.205e+00	1.215e-01	1.213e+00	2.837e-01	1.185e+00	1.694e-01	1.048e+00	1.081e-01	1.152e+00	2.017e-01	1.284e+00	1.255e-01	1.498e+00	2.448e-01
15	1.203e+00	2.814e-01	1.156e+00	3.001e-01	1.238e+00	1.222e-01	1.079e+00	2.672e-01	9.089e-01	1.481e-01	1.049e+00	1.068e-01	1.257e+00	2.094e-01	1.334e+00	1.236e-01	1.304e+00	2.285e-01
16	1.069e+00	2.607e-01	6.759e-01	2.326e-01	1.052e+00	1.094e-01	1.007e+00	2.530e-01	1.303e+00	1.737e-01	1.090e+00	1.088e-01	8.465e-01	1.683e-01	1.298e+00	1.198e-01	1.233e+00	2.228e-01
17	7.483e-01	2.124e-01	8.671e-01	2.514e-01	1.040e+00	1.099e-01	8.309e-01	2.230e-01	1.144e+00	1.652e-01	1.173e+00	1.123e-01	1.198e+00	1.943e-01	1.334e+00	1.196e-01	8.815e-01	1.867e-01
18	9.917e-01	2.349e-01	1.182e+00	3.070e-01	1.159e+00	1.114e-01	1.254e+00	2.690e-01	1.296e+00	1.721e-01	1.118e+00	1.087e-01	1.107e+00	1.868e-01	1.332e+00	1.197e-01	1.340e+00	2.331e-01
19	1.548e+00	2.923e-01	6.907e-01	2.310e-01	1.163e+00	1.101e-01	1.168e+00	2.564e-01	1.034e+00	1.501e-01	1.067e+00	1.062e-01	1.213e+00	1.955e-01	1.423e+00	1.205e-01	1.161e+00	2.150e-01
20	1.178e+00	2.470e-01	1.097e+00	2.897e-01	1.190e+00	1.099e-01	1.416e+00	2.719e-01	1.322e+00	1.684e-01	1.130e+00	1.088e-01	1.273e+00	1.899e-01	1.056e+00	1.026e-01	1.140e+00	2.110e-01
