# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	3.442e-01	1.148e-01	7.866e-01	2.787e-01	3.539e-01	6.880e-02	3.938e-01	1.609e-01	4.222e-01	8.539e-02	4.101e-01	6.450e-02	3.973e-01	9.942e-02	4.309e-01	6.360e-02	3.739e-01	1.059e-01
2	3.795e-01	1.172e-01	5.644e-01	1.998e-01	4.025e-01	7.236e-02	4.338e-01	1.586e-01	3.538e-01	7.918e-02	4.038e-01	6.201e-02	4.219e-01	1.010e-01	3.572e-01	5.653e-02	4.409e-01	1.121e-01
3	3.580e-01	1.133e-01	2.862e-01	1.432e-01	3.607e-01	6.822e-02	3.487e-01	1.319e-01	4.186e-01	8.833e-02	3.194e-01	5.403e-02	3.230e-01	8.640e-02	4.310e-01	6.102e-02	2.368e-01	8.127e-02
4	5.271e-01	1.363e-01	4.144e-01	1.693e-01	3.819e-01	6.922e-02	4.640e-01	1.434e-01	3.556e-01	8.632e-02	3.883e-01	5.927e-02	3.074e-01	8.533e-02	4.018e-01	5.866e-02	3.213e-01	9.694e-02
5	2.898e-01	1.025e-01	4.617e-01	1.747e-01	3.633e-01	6.871e-02	2.404e-01	9.820e-02	3.417e-01	8.688e-02	3.703e-01	5.719e-02	3.349e-01	9.123e-02	4.689e-01	6.388e-02	4.676e-01	1.170e-01
6	4.150e-01	1.225e-01	1.716e-01	1.086e-01	3.530e-01	6.677e-02	2.382e-01	1.016e-01	3.447e-01	8.763e-02	4.715e-01	6.547e-02	2.771e-01	8.558e-02	3.457e-01	5.650e-02	3.151e-01	9.973e-02
7	4.643e-01	1.315e-01	3.554e-01	1.591e-01	3.930e-01	7.066e-02	5.476e-01	1.617e-01	3.631e-01	9.087e-02	3.714e-01	5.841e-02	4.163e-01	1.076e-01	3.501e-01	5.723e-02	3.529e-01	1.090e-01
8	3.824e-01	1.210e-01	1.905e-01	1.205e-01	3.904e-01	7.018e-02	3.652e-01	1.382e-01	3.802e-01	9.515e-02	4.640e-01	6.602e-02	3.739e-01	1.038e-01	4.108e-01	6.272e-02	3.863e-01	1.140e-01
9	4.247e-01	1.282e-01	2.233e-01	1.194e-01	4.074e-01	7.446e-02	3.450e-01	1.473e-01	3.256e-01	8.557e-02	4.377e-01	6.605e-02	3.142e-01	9.944e-02	4.699e-01	6.653e-02	2.388e-01	9.032e-02
10	2.321e-01	9.481e-02	3.322e-01	1.487e-01	3.727e-01	7.049e-02	4.010e-01	1.712e-01	4.408e-01	9.993e-02	3.685e-01	6.023e-02	3.908e-01	1.129e-01	3.892e-01	6.011e-02	3.168e-01	1.088e-01
11	4.115e-01	1.303e-01	3.133e-01	1.478e-01	3.752e-01	6.974e-02	2.411e-01	1.393e-01	3.267e-01	8.587e-02	3.802e-01	6.173e-02	4.092e-01	1.158e-01	3.865e-01	6.235e-02	2.303e-01	9.408e-02
12	4.956e-01	1.432e-01	4.501e-01	1.768e-01	3.489e-01	6.848e-02	4.977e-01	2.125e-01	4.209e-01	1.007e-01	4.062e-01	6.470e-02	4.139e-01	1.196e-01	3.570e-01	5.915e-02	4.127e-01	1.306e-01
13	2.842e-01	1.116e-01	4.065e-01	1.735e-01	2.828e-01	6.035e-02	4.598e-01	2.059e-01	2.826e-01	8.527e-02	3.497e-01	5.959e-02	3.777e-01	1.140e-01	3.054e-01	5.490e-02	2.175e-01	9.734e-02
14	5.783e-01	1.576e-01	4.332e-01	1.849e-01	3.885e-01	7.160e-02	3.819e-01	1.911e-01	3.458e-01	9.600e-02	3.751e-01	6.214e-02	4.716e-01	1.310e-01	4.088e-01	6.352e-02	3.758e-01	1.290e-01
15	2.312e-01	1.034e-01	2.724e-01	1.457e-01	3.832e-01	7.123e-02	3.972e-01	1.988e-01	3.172e-01	9.164e-02	2.977e-01	5.631e-02	3.137e-01	1.077e-01	3.307e-01	5.677e-02	3.445e-01	1.259e-01
16	3.636e-01	1.329e-01	2.478e-01	1.432e-01	3.378e-01	6.631e-02	2.548e-01	1.613e-01	3.635e-01	9.902e-02	4.212e-01	6.840e-02	2.609e-01	9.866e-02	2.364e-01	4.828e-02	2.647e-01	1.130e-01
17	3.920e-01	1.387e-01	2.594e-01	1.499e-01	3.986e-01	7.346e-02	1.561e-01	1.275e-01	4.744e-01	1.152e-01	4.229e-01	6.959e-02	3.699e-01	1.201e-01	3.307e-01	5.675e-02	3.035e-01	1.240e-01
18	3.754e-01	1.372e-01	3.072e-01	1.643e-01	3.581e-01	6.898e-02	4.889e-01	2.307e-01	3.847e-01	1.048e-01	3.310e-01	6.205e-02	4.978e-01	1.410e-01	4.124e-01	6.487e-02	3.367e-01	1.322e-01
19	3.593e-01	1.359e-01	5.497e-01	2.247e-01	4.793e-01	7.998e-02	7.263e-01	2.854e-01	4.643e-01	1.162e-01	4.627e-01	7.564e-02	4.421e-01	1.305e-01	4.229e-01	6.533e-02	4.932e-01	1.646e-01
20	2.823e-01	1.204e-01	4.180e-01	1.973e-01	4.390e-01	7.650e-02	2.914e-01	1.844e-01	3.979e-01	1.084e-01	3.508e-01	6.576e-02	3.792e-01	1.231e-01	4.079e-01	6.539e-02	3.002e-01	1.344e-01
