# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=1		POL=1		POL=2		POL=5		POL=4		POL=2		POL=1		POL=3		POL=2	
1	1.300e+02	1.140e+01	1.510e+02	1.229e+01	5.260e+02	2.293e+01	8.300e+01	9.110e+00	2.430e+02	1.559e+01	5.210e+02	2.283e+01	2.360e+02	1.536e+01	6.900e+02	2.627e+01	1.350e+02	1.162e+01
2	1.500e+02	1.225e+01	1.950e+02	1.396e+01	5.530e+02	2.352e+01	8.300e+01	9.110e+00	2.740e+02	1.655e+01	5.770e+02	2.402e+01	2.380e+02	1.543e+01	7.040e+02	2.653e+01	1.610e+02	1.269e+01
3	1.680e+02	1.296e+01	2.030e+02	1.425e+01	5.540e+02	2.354e+01	1.210e+02	1.100e+01	3.310e+02	1.819e+01	6.220e+02	2.494e+01	2.360e+02	1.536e+01	7.520e+02	2.742e+01	1.690e+02	1.300e+01
4	1.900e+02	1.378e+01	2.270e+02	1.507e+01	5.750e+02	2.398e+01	1.660e+02	1.288e+01	3.210e+02	1.792e+01	6.490e+02	2.548e+01	2.680e+02	1.637e+01	7.750e+02	2.784e+01	2.410e+02	1.552e+01
5	1.760e+02	1.327e+01	2.170e+02	1.473e+01	6.930e+02	2.632e+01	1.690e+02	1.300e+01	3.210e+02	1.792e+01	7.910e+02	2.812e+01	2.620e+02	1.619e+01	8.470e+02	2.910e+01	2.700e+02	1.643e+01
6	2.140e+02	1.463e+01	2.440e+02	1.562e+01	6.280e+02	2.506e+01	1.790e+02	1.338e+01	3.730e+02	1.931e+01	8.370e+02	2.893e+01	2.990e+02	1.729e+01	8.500e+02	2.915e+01	2.590e+02	1.609e+01
7	2.190e+02	1.480e+01	3.080e+02	1.755e+01	7.560e+02	2.750e+01	1.800e+02	1.342e+01	4.520e+02	2.126e+01	8.500e+02	2.915e+01	3.170e+02	1.780e+01	9.420e+02	3.069e+01	2.820e+02	1.679e+01
8	2.180e+02	1.476e+01	2.870e+02	1.694e+01	8.510e+02	2.917e+01	1.800e+02	1.342e+01	4.420e+02	2.102e+01	9.330e+02	3.055e+01	2.870e+02	1.694e+01	9.740e+02	3.121e+01	3.080e+02	1.755e+01
9	2.380e+02	1.543e+01	2.770e+02	1.664e+01	9.340e+02	3.056e+01	1.120e+02	1.058e+01	4.760e+02	2.182e+01	1.001e+03	3.164e+01	2.940e+02	1.715e+01	1.027e+03	3.205e+01	3.340e+02	1.828e+01
10	2.050e+02	1.432e+01	3.350e+02	1.830e+01	1.066e+03	3.265e+01	8.500e+01	9.220e+00	4.680e+02	2.163e+01	1.003e+03	3.167e+01	3.050e+02	1.746e+01	1.142e+03	3.379e+01	2.990e+02	1.729e+01
11	2.030e+02	1.425e+01	3.200e+02	1.789e+01	1.040e+03	3.225e+01	8.800e+01	9.381e+00	5.620e+02	2.371e+01	1.089e+03	3.300e+01	3.650e+02	1.910e+01	1.170e+03	3.421e+01	3.140e+02	1.772e+01
12	2.690e+02	1.640e+01	3.580e+02	1.892e+01	1.096e+03	3.311e+01	7.200e+01	8.485e+00	5.490e+02	2.343e+01	1.090e+03	3.302e+01	3.220e+02	1.794e+01	1.217e+03	3.489e+01	3.220e+02	1.794e+01
13	2.370e+02	1.539e+01	3.280e+02	1.811e+01	1.290e+03	3.592e+01	9.400e+01	9.695e+00	4.520e+02	2.126e+01	1.179e+03	3.434e+01	3.340e+02	1.828e+01	1.298e+03	3.603e+01	3.320e+02	1.822e+01
14	2.260e+02	1.503e+01	3.910e+02	1.977e+01	1.391e+03	3.730e+01	9.000e+01	9.487e+00	4.700e+02	2.168e+01	1.256e+03	3.544e+01	3.410e+02	1.847e+01	1.403e+03	3.746e+01	3.590e+02	1.895e+01
15	2.420e+02	1.556e+01	4.010e+02	2.002e+01	1.462e+03	3.824e+01	8.700e+01	9.327e+00	5.250e+02	2.291e+01	1.222e+03	3.496e+01	3.480e+02	1.865e+01	1.526e+03	3.906e+01	2.930e+02	1.712e+01
16	2.460e+02	1.568e+01	4.330e+02	2.081e+01	1.581e+03	3.976e+01	9.400e+01	9.695e+00	5.620e+02	2.371e+01	1.160e+03	3.406e+01	3.240e+02	1.800e+01	1.489e+03	3.859e+01	3.620e+02	1.903e+01
17	2.660e+02	1.631e+01	4.450e+02	2.110e+01	1.694e+03	4.116e+01	1.050e+02	1.025e+01	4.960e+02	2.227e+01	1.209e+03	3.477e+01	4.010e+02	2.002e+01	1.607e+03	4.009e+01	3.240e+02	1.800e+01
18	2.440e+02	1.562e+01	4.460e+02	2.112e+01	1.792e+03	4.233e+01	1.080e+02	1.039e+01	4.990e+02	2.234e+01	1.181e+03	3.437e+01	3.930e+02	1.982e+01	1.587e+03	3.984e+01	3.730e+02	1.931e+01
19	2.530e+02	1.591e+01	4.980e+02	2.232e+01	1.925e+03	4.387e+01	1.110e+02	1.054e+01	5.180e+02	2.276e+01	1.164e+03	3.412e+01	4.340e+02	2.083e+01	1.787e+03	4.227e+01	3.510e+02	1.873e+01
20	2.500e+02	1.581e+01	5.000e+02	2.236e+01	2.128e+03	4.613e+01	1.130e+02	1.063e+01	5.500e+02	2.345e+01	1.195e+03	3.457e+01	4.170e+02	2.042e+01	1.835e+03	4.284e+01	3.400e+02	1.844e+01
