# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=0		POL=0		POL=1		POL=0		POL=0		POL=2		POL=5		POL=1		POL=3	
1	1.900e+01	4.359e+00	7.000e+00	2.646e+00	8.700e+01	9.327e+00	1.800e+01	4.243e+00	6.000e+01	7.746e+00	8.000e+01	8.944e+00	3.900e+01	6.245e+00	1.190e+02	1.091e+01	3.600e+01	6.000e+00
2	1.500e+01	3.873e+00	1.900e+01	4.359e+00	7.700e+01	8.775e+00	1.900e+01	4.359e+00	8.100e+01	9.000e+00	1.190e+02	1.091e+01	4.300e+01	6.557e+00	1.250e+02	1.118e+01	3.800e+01	6.164e+00
3	2.200e+01	4.690e+00	1.900e+01	4.359e+00	9.000e+01	9.487e+00	2.500e+01	5.000e+00	9.300e+01	9.644e+00	1.100e+02	1.049e+01	5.100e+01	7.141e+00	1.470e+02	1.212e+01	5.800e+01	7.616e+00
4	3.300e+01	5.745e+00	3.000e+01	5.477e+00	1.120e+02	1.058e+01	3.700e+01	6.083e+00	9.500e+01	9.747e+00	1.180e+02	1.086e+01	8.000e+01	8.944e+00	1.740e+02	1.319e+01	5.300e+01	7.280e+00
5	2.500e+01	5.000e+00	2.600e+01	5.099e+00	1.070e+02	1.034e+01	3.300e+01	5.745e+00	7.800e+01	8.832e+00	1.430e+02	1.196e+01	6.900e+01	8.307e+00	1.820e+02	1.349e+01	6.800e+01	8.246e+00
6	3.900e+01	6.245e+00	3.000e+01	5.477e+00	1.210e+02	1.100e+01	3.400e+01	5.831e+00	1.080e+02	1.039e+01	1.420e+02	1.192e+01	4.800e+01	6.928e+00	1.700e+02	1.304e+01	6.700e+01	8.185e+00
7	2.900e+01	5.385e+00	2.000e+01	4.472e+00	1.190e+02	1.091e+01	3.200e+01	5.657e+00	6.800e+01	8.246e+00	1.720e+02	1.311e+01	6.000e+01	7.746e+00	1.660e+02	1.288e+01	6.500e+01	8.062e+00
8	2.400e+01	4.899e+00	2.400e+01	4.899e+00	1.290e+02	1.136e+01	3.600e+01	6.000e+00	8.100e+01	9.000e+00	1.790e+02	1.338e+01	5.100e+01	7.141e+00	1.720e+02	1.311e+01	7.100e+01	8.426e+00
9	3.200e+01	5.657e+00	3.100e+01	5.568e+00	1.460e+02	1.208e+01	5.100e+01	7.141e+00	1.010e+02	1.005e+01	1.600e+02	1.265e+01	6.600e+01	8.124e+00	1.600e+02	1.265e+01	7.900e+01	8.888e+00
10	2.600e+01	5.099e+00	2.700e+01	5.196e+00	1.660e+02	1.288e+01	2.900e+01	5.385e+00	9.400e+01	9.695e+00	1.860e+02	1.364e+01	5.900e+01	7.681e+00	1.970e+02	1.404e+01	6.700e+01	8.185e+00
