# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=1		POL=2		POL=0		POL=4		POL=4		POL=5		POL=4		POL=1		POL=1	
1	5.212e+03	7.219e+01	2.018e+03	4.492e+01	1.492e+04	1.222e+02	3.035e+03	5.509e+01	1.156e+04	1.075e+02	1.967e+04	1.403e+02	8.023e+03	8.957e+01	2.126e+04	1.458e+02	6.661e+03	8.161e+01
2	5.512e+03	7.424e+01	2.819e+03	5.309e+01	1.534e+04	1.239e+02	3.443e+03	5.868e+01	1.127e+04	1.061e+02	2.096e+04	1.448e+02	8.260e+03	9.088e+01	2.231e+04	1.494e+02	7.000e+03	8.367e+01
3	5.567e+03	7.461e+01	2.787e+03	5.279e+01	1.547e+04	1.244e+02	4.001e+03	6.325e+01	1.071e+04	1.035e+02	2.185e+04	1.478e+02	8.640e+03	9.295e+01	2.310e+04	1.520e+02	7.162e+03	8.463e+01
4	5.662e+03	7.525e+01	2.884e+03	5.370e+01	1.591e+04	1.261e+02	4.505e+03	6.712e+01	9.528e+03	9.761e+01	2.206e+04	1.485e+02	8.431e+03	9.182e+01	2.330e+04	1.527e+02	6.826e+03	8.262e+01
5	5.506e+03	7.420e+01	3.018e+03	5.494e+01	1.536e+04	1.239e+02	4.980e+03	7.057e+01	9.040e+03	9.508e+01	2.260e+04	1.503e+02	8.035e+03	8.964e+01	2.292e+04	1.514e+02	6.812e+03	8.253e+01
6	5.519e+03	7.429e+01	2.909e+03	5.394e+01	1.581e+04	1.257e+02	4.607e+03	6.787e+01	8.962e+03	9.467e+01	2.195e+04	1.482e+02	7.557e+03	8.693e+01	2.162e+04	1.470e+02	6.327e+03	7.954e+01
7	5.360e+03	7.321e+01	2.804e+03	5.295e+01	1.571e+04	1.254e+02	4.177e+03	6.463e+01	8.780e+03	9.370e+01	2.173e+04	1.474e+02	7.177e+03	8.472e+01	2.135e+04	1.461e+02	5.929e+03	7.700e+01
8	5.210e+03	7.218e+01	2.620e+03	5.119e+01	1.582e+04	1.258e+02	3.819e+03	6.180e+01	8.384e+03	9.156e+01	2.124e+04	1.457e+02	6.927e+03	8.323e+01	2.085e+04	1.444e+02	5.931e+03	7.701e+01
9	5.158e+03	7.182e+01	3.128e+03	5.593e+01	1.467e+04	1.211e+02	3.177e+03	5.636e+01	8.878e+03	9.422e+01	2.002e+04	1.415e+02	6.345e+03	7.966e+01	2.118e+04	1.455e+02	5.848e+03	7.647e+01
10	5.158e+03	7.182e+01	3.000e+03	5.477e+01	1.497e+04	1.224e+02	2.732e+03	5.227e+01	8.809e+03	9.386e+01	2.028e+04	1.424e+02	6.118e+03	7.822e+01	2.150e+04	1.466e+02	5.349e+03	7.314e+01
11	4.840e+03	6.957e+01	2.864e+03	5.352e+01	1.540e+04	1.241e+02	2.483e+03	4.983e+01	8.847e+03	9.406e+01	1.991e+04	1.411e+02	6.085e+03	7.801e+01	1.985e+04	1.409e+02	5.198e+03	7.210e+01
12	4.819e+03	6.942e+01	2.875e+03	5.362e+01	1.485e+04	1.219e+02	2.199e+03	4.689e+01	8.281e+03	9.100e+01	1.937e+04	1.392e+02	5.774e+03	7.599e+01	2.037e+04	1.427e+02	4.826e+03	6.947e+01
