# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=1		POL=4		POL=1		POL=3		POL=1		POL=2		POL=4		POL=1		POL=0	
1	7.020e+02	2.650e+01	5.110e+02	2.261e+01	3.094e+03	5.562e+01	6.430e+02	2.536e+01	2.218e+03	4.710e+01	3.579e+03	5.982e+01	1.356e+03	3.682e+01	4.024e+03	6.344e+01	1.192e+03	3.453e+01
2	8.760e+02	2.960e+01	7.060e+02	2.657e+01	3.533e+03	5.944e+01	8.100e+02	2.846e+01	2.781e+03	5.274e+01	4.217e+03	6.494e+01	1.635e+03	4.044e+01	4.684e+03	6.844e+01	1.615e+03	4.019e+01
3	9.060e+02	3.010e+01	7.940e+02	2.818e+01	3.904e+03	6.248e+01	9.740e+02	3.121e+01	2.866e+03	5.354e+01	4.734e+03	6.880e+01	1.954e+03	4.420e+01	5.313e+03	7.289e+01	1.899e+03	4.358e+01
4	9.560e+02	3.092e+01	8.250e+02	2.872e+01	4.315e+03	6.569e+01	1.073e+03	3.276e+01	3.052e+03	5.524e+01	5.185e+03	7.201e+01	2.091e+03	4.573e+01	5.834e+03	7.638e+01	2.071e+03	4.551e+01
5	9.660e+02	3.108e+01	9.120e+02	3.020e+01	4.490e+03	6.701e+01	1.300e+03	3.606e+01	2.982e+03	5.461e+01	5.713e+03	7.558e+01	2.320e+03	4.817e+01	6.041e+03	7.772e+01	2.450e+03	4.950e+01
6	1.084e+03	3.292e+01	9.570e+02	3.094e+01	5.142e+03	7.171e+01	1.287e+03	3.587e+01	3.202e+03	5.659e+01	6.171e+03	7.856e+01	2.262e+03	4.756e+01	6.186e+03	7.865e+01	2.492e+03	4.992e+01
7	1.224e+03	3.499e+01	1.003e+03	3.167e+01	5.509e+03	7.422e+01	1.366e+03	3.696e+01	3.218e+03	5.673e+01	6.400e+03	8.000e+01	2.405e+03	4.904e+01	6.354e+03	7.971e+01	2.477e+03	4.977e+01
8	1.142e+03	3.379e+01	9.460e+02	3.076e+01	6.021e+03	7.760e+01	1.296e+03	3.600e+01	3.494e+03	5.911e+01	6.940e+03	8.331e+01	2.591e+03	5.090e+01	6.676e+03	8.171e+01	2.681e+03	5.178e+01
9	1.204e+03	3.470e+01	1.131e+03	3.363e+01	5.822e+03	7.630e+01	1.303e+03	3.610e+01	3.608e+03	6.007e+01	6.980e+03	8.355e+01	2.344e+03	4.841e+01	7.006e+03	8.370e+01	2.749e+03	5.243e+01
10	1.222e+03	3.496e+01	1.122e+03	3.350e+01	6.398e+03	7.999e+01	1.319e+03	3.632e+01	3.627e+03	6.022e+01	7.524e+03	8.674e+01	2.420e+03	4.919e+01	7.429e+03	8.619e+01	2.646e+03	5.144e+01
11	1.295e+03	3.599e+01	1.211e+03	3.480e+01	6.963e+03	8.344e+01	1.280e+03	3.578e+01	3.922e+03	6.263e+01	7.837e+03	8.853e+01	2.466e+03	4.966e+01	7.292e+03	8.539e+01	2.630e+03	5.128e+01
12	1.297e+03	3.601e+01	1.236e+03	3.516e+01	7.182e+03	8.475e+01	1.285e+03	3.585e+01	3.923e+03	6.263e+01	8.040e+03	8.967e+01	2.719e+03	5.214e+01	7.563e+03	8.697e+01	2.677e+03	5.174e+01
13	1.538e+03	3.922e+01	1.199e+03	3.463e+01	7.788e+03	8.825e+01	1.397e+03	3.738e+01	4.002e+03	6.326e+01	8.733e+03	9.345e+01	2.700e+03	5.196e+01	7.933e+03	8.907e+01	2.610e+03	5.109e+01
14	1.542e+03	3.927e+01	1.170e+03	3.421e+01	8.161e+03	9.034e+01	1.507e+03	3.882e+01	4.128e+03	6.425e+01	8.973e+03	9.473e+01	2.831e+03	5.321e+01	8.152e+03	9.029e+01	2.499e+03	4.999e+01
15	1.519e+03	3.897e+01	1.283e+03	3.582e+01	8.296e+03	9.108e+01	1.512e+03	3.888e+01	4.143e+03	6.437e+01	9.193e+03	9.588e+01	2.867e+03	5.354e+01	8.730e+03	9.343e+01	2.498e+03	4.998e+01
16	1.573e+03	3.966e+01	1.249e+03	3.534e+01	8.792e+03	9.377e+01	1.573e+03	3.966e+01	4.317e+03	6.570e+01	9.211e+03	9.597e+01	2.987e+03	5.465e+01	9.048e+03	9.512e+01	2.484e+03	4.984e+01
17	1.658e+03	4.072e+01	1.372e+03	3.704e+01	8.608e+03	9.278e+01	1.671e+03	4.088e+01	4.191e+03	6.474e+01	9.307e+03	9.647e+01	3.174e+03	5.634e+01	9.322e+03	9.655e+01	2.530e+03	5.030e+01
18	1.797e+03	4.239e+01	1.254e+03	3.541e+01	9.342e+03	9.665e+01	1.733e+03	4.163e+01	4.378e+03	6.617e+01	9.460e+03	9.726e+01	3.172e+03	5.632e+01	9.296e+03	9.642e+01	2.466e+03	4.966e+01
19	1.812e+03	4.257e+01	1.294e+03	3.597e+01	9.602e+03	9.799e+01	1.777e+03	4.215e+01	4.592e+03	6.776e+01	9.459e+03	9.726e+01	3.175e+03	5.635e+01	9.804e+03	9.902e+01	2.511e+03	5.011e+01
20	1.930e+03	4.393e+01	1.307e+03	3.615e+01	9.843e+03	9.921e+01	1.915e+03	4.376e+01	4.664e+03	6.829e+01	9.541e+03	9.768e+01	3.530e+03	5.941e+01	1.003e+04	1.001e+02	2.559e+03	5.059e+01
