# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=0		POL=0		POL=0		POL=3		POL=0		POL=0		POL=0		POL=0		POL=0	
1	0.000e+00	0.000e+00	6.579e-01	9.319e-01	9.416e-01	5.969e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.506e-01	6.026e-01	8.403e-01	8.421e-01	8.621e-01	4.988e-01	2.174e+00	1.785e+00
2	6.623e-01	9.381e-01	5.102e-01	7.225e-01	1.601e+00	7.580e-01	0.000e+00	0.000e+00	3.636e-01	5.147e-01	6.885e-01	4.877e-01	4.184e-01	5.923e-01	1.124e+00	5.634e-01	6.173e-01	8.743e-01
3	5.917e-01	8.381e-01	9.756e-01	9.780e-01	1.248e+00	6.691e-01	3.200e+00	2.281e+00	3.012e-01	4.263e-01	1.738e+00	7.443e-01	2.479e+00	1.441e+00	1.053e+00	5.277e-01	5.882e-01	8.331e-01
4	1.042e+00	1.044e+00	8.734e-01	8.753e-01	1.203e+00	6.449e-01	2.353e+00	1.674e+00	1.231e+00	8.730e-01	1.517e+00	6.812e-01	7.407e-01	7.421e-01	1.274e+00	5.715e-01	4.132e-01	5.850e-01
5	5.650e-01	8.001e-01	9.132e-01	9.153e-01	2.878e-01	2.880e-01	2.874e+00	1.831e+00	1.231e+00	8.730e-01	1.001e+00	5.019e-01	0.000e+00	0.000e+00	1.740e+00	6.382e-01	2.527e+00	1.360e+00
6	9.259e-01	9.281e-01	4.082e-01	5.778e-01	7.899e-01	5.006e-01	2.717e+00	1.731e+00	5.333e-01	5.340e-01	8.294e-01	4.443e-01	1.645e+00	1.045e+00	1.392e+00	5.703e-01	1.894e+00	1.204e+00
7	9.050e-01	9.070e-01	0.000e+00	0.000e+00	1.434e+00	6.137e-01	5.525e-01	7.824e-01	6.593e-01	5.392e-01	9.324e-01	4.673e-01	3.145e-01	4.451e-01	1.361e+00	5.358e-01	1.053e+00	8.618e-01
8	0.000e+00	0.000e+00	1.712e+00	1.088e+00	1.276e+00	5.459e-01	2.703e+00	1.721e+00	4.505e-01	4.510e-01	1.270e+00	5.201e-01	1.712e+00	1.088e+00	1.913e+00	6.238e-01	6.452e-01	6.462e-01
9	8.333e-01	8.351e-01	1.423e+00	1.010e+00	1.268e+00	5.195e-01	8.850e-01	1.254e+00	6.263e-01	5.122e-01	1.185e+00	4.851e-01	1.342e+00	9.524e-01	1.155e+00	4.729e-01	8.902e-01	7.285e-01
10	4.854e-01	6.873e-01	1.471e+00	9.335e-01	8.372e-01	3.955e-01	2.299e+00	2.312e+00	1.887e+00	8.937e-01	1.377e+00	5.221e-01	3.268e-01	4.625e-01	1.211e+00	4.591e-01	1.645e+00	1.045e+00
11	1.456e+00	1.193e+00	6.211e-01	6.221e-01	1.701e+00	5.696e-01	2.222e+00	2.235e+00	1.576e+00	7.460e-01	1.448e+00	5.138e-01	8.152e-01	6.670e-01	7.634e-01	3.605e-01	6.329e-01	6.339e-01
12	7.380e-01	7.394e-01	1.918e+00	1.030e+00	1.704e+00	5.553e-01	1.370e+00	1.944e+00	1.081e+00	6.259e-01	8.189e-01	3.868e-01	2.128e+00	1.143e+00	8.958e-01	3.828e-01	1.829e+00	1.061e+00
13	4.202e-01	5.948e-01	3.040e-01	4.302e-01	1.602e+00	4.963e-01	0.000e+00	0.000e+00	1.310e+00	7.589e-01	1.339e+00	4.750e-01	2.053e+00	1.103e+00	1.067e+00	4.044e-01	8.955e-01	7.328e-01
14	4.405e-01	6.237e-01	1.013e+00	7.179e-01	9.259e-01	3.640e-01	1.099e+00	1.558e+00	6.342e-01	5.187e-01	8.682e-01	3.710e-01	1.445e+00	9.173e-01	1.613e+00	4.776e-01	5.540e-01	5.548e-01
15	4.115e-01	5.826e-01	2.488e-01	3.520e-01	7.468e-01	3.190e-01	0.000e+00	0.000e+00	9.434e-01	5.981e-01	1.133e+00	4.293e-01	2.247e+00	1.130e+00	1.548e+00	4.487e-01	2.333e+00	1.255e+00
16	1.600e+00	1.136e+00	1.367e+00	7.918e-01	1.064e+00	3.659e-01	1.053e+00	1.493e+00	1.056e+00	6.115e-01	8.547e-01	3.831e-01	9.174e-01	7.508e-01	9.315e-01	3.529e-01	1.630e+00	9.452e-01
17	7.463e-01	7.477e-01	8.909e-01	6.314e-01	1.109e+00	3.609e-01	0.000e+00	0.000e+00	1.782e+00	8.439e-01	9.828e-01	4.022e-01	1.716e+00	9.211e-01	1.471e+00	4.264e-01	6.135e-01	6.144e-01
18	1.215e+00	9.947e-01	1.109e+00	7.031e-01	1.158e+00	3.585e-01	0.000e+00	0.000e+00	1.383e+00	7.420e-01	1.006e+00	4.117e-01	5.063e-01	5.070e-01	1.060e+00	3.645e-01	1.323e+00	8.394e-01
19	1.172e+00	9.597e-01	5.988e-01	4.897e-01	1.181e+00	3.492e-01	8.929e-01	1.266e+00	7.663e-01	5.429e-01	1.020e+00	4.177e-01	1.587e+00	8.519e-01	1.162e+00	3.595e-01	1.127e+00	7.990e-01
20	1.961e+00	1.246e+00	7.937e-01	5.623e-01	1.207e+00	3.358e-01	1.739e+00	1.747e+00	9.009e-01	5.711e-01	5.824e-01	3.117e-01	9.501e-01	6.734e-01	1.291e+00	3.739e-01	0.000e+00	0.000e+00
