# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=2		POL=4		POL=1		POL=5		POL=2		POL=2		POL=0		POL=4		POL=3	
1	4.200e+01	6.481e+00	4.400e+01	6.633e+00	2.240e+02	1.497e+01	4.000e+01	6.325e+00	1.730e+02	1.315e+01	2.180e+02	1.476e+01	1.010e+02	1.005e+01	3.030e+02	1.741e+01	7.600e+01	8.718e+00
2	6.600e+01	8.124e+00	7.000e+01	8.367e+00	2.210e+02	1.487e+01	6.400e+01	8.000e+00	2.120e+02	1.456e+01	3.260e+02	1.806e+01	1.430e+02	1.196e+01	3.990e+02	1.997e+01	1.330e+02	1.153e+01
3	8.700e+01	9.327e+00	8.700e+01	9.327e+00	2.350e+02	1.533e+01	8.900e+01	9.434e+00	2.220e+02	1.490e+01	4.190e+02	2.047e+01	1.480e+02	1.217e+01	4.810e+02	2.193e+01	1.400e+02	1.183e+01
4	9.400e+01	9.695e+00	1.090e+02	1.044e+01	2.610e+02	1.616e+01	1.190e+02	1.091e+01	2.500e+02	1.581e+01	5.010e+02	2.238e+01	1.880e+02	1.371e+01	6.270e+02	2.504e+01	1.530e+02	1.237e+01
5	1.150e+02	1.072e+01	1.310e+02	1.145e+01	2.870e+02	1.694e+01	1.450e+02	1.204e+01	2.740e+02	1.655e+01	5.470e+02	2.339e+01	1.770e+02	1.330e+01	6.240e+02	2.498e+01	2.130e+02	1.459e+01
6	1.290e+02	1.136e+01	1.440e+02	1.200e+01	2.810e+02	1.676e+01	1.790e+02	1.338e+01	3.140e+02	1.772e+01	6.430e+02	2.536e+01	1.780e+02	1.334e+01	6.770e+02	2.602e+01	2.460e+02	1.568e+01
7	1.260e+02	1.122e+01	1.250e+02	1.118e+01	3.730e+02	1.931e+01	1.650e+02	1.285e+01	3.180e+02	1.783e+01	6.770e+02	2.602e+01	1.860e+02	1.364e+01	6.970e+02	2.640e+01	2.100e+02	1.449e+01
8	1.200e+02	1.095e+01	1.320e+02	1.149e+01	4.260e+02	2.064e+01	1.640e+02	1.281e+01	3.080e+02	1.755e+01	6.470e+02	2.544e+01	2.020e+02	1.421e+01	7.010e+02	2.648e+01	2.430e+02	1.559e+01
9	1.260e+02	1.122e+01	1.260e+02	1.122e+01	3.820e+02	1.954e+01	1.480e+02	1.217e+01	3.420e+02	1.849e+01	6.640e+02	2.577e+01	2.060e+02	1.435e+01	7.300e+02	2.702e+01	2.750e+02	1.658e+01
10	1.490e+02	1.221e+01	1.270e+02	1.127e+01	4.220e+02	2.054e+01	1.080e+02	1.039e+01	3.730e+02	1.931e+01	7.260e+02	2.694e+01	1.910e+02	1.382e+01	7.970e+02	2.823e+01	2.300e+02	1.517e+01
11	1.460e+02	1.208e+01	1.330e+02	1.153e+01	3.810e+02	1.952e+01	6.400e+01	8.000e+00	3.690e+02	1.921e+01	7.320e+02	2.706e+01	1.850e+02	1.360e+01	7.190e+02	2.681e+01	2.750e+02	1.658e+01
12	1.590e+02	1.261e+01	1.410e+02	1.187e+01	4.710e+02	2.170e+01	5.000e+01	7.071e+00	3.680e+02	1.918e+01	7.230e+02	2.689e+01	1.770e+02	1.330e+01	7.910e+02	2.812e+01	2.290e+02	1.513e+01
13	1.360e+02	1.166e+01	1.450e+02	1.204e+01	4.680e+02	2.163e+01	4.100e+01	6.403e+00	2.950e+02	1.718e+01	7.690e+02	2.773e+01	1.750e+02	1.323e+01	7.960e+02	2.821e+01	2.420e+02	1.556e+01
14	1.420e+02	1.192e+01	1.530e+02	1.237e+01	5.140e+02	2.267e+01	4.500e+01	6.708e+00	3.000e+02	1.732e+01	7.270e+02	2.696e+01	1.660e+02	1.288e+01	8.460e+02	2.909e+01	2.280e+02	1.510e+01
15	1.190e+02	1.091e+01	1.720e+02	1.311e+01	4.730e+02	2.175e+01	4.500e+01	6.708e+00	3.260e+02	1.806e+01	7.430e+02	2.726e+01	1.770e+02	1.330e+01	8.810e+02	2.968e+01	2.450e+02	1.565e+01
16	1.530e+02	1.237e+01	1.700e+02	1.304e+01	5.090e+02	2.256e+01	4.300e+01	6.557e+00	3.010e+02	1.735e+01	7.270e+02	2.696e+01	1.590e+02	1.261e+01	8.690e+02	2.948e+01	2.280e+02	1.510e+01
