# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_4/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9
# plane	POL=4		POL=3		POL=4		POL=3		POL=1		POL=4		POL=3		POL=0		POL=0	
1	1.830e+04	1.353e+02	3.019e+03	5.495e+01	3.138e+04	1.772e+02	7.693e+03	8.771e+01	1.768e+04	1.330e+02	4.553e+04	2.134e+02	2.035e+04	1.427e+02	6.194e+04	2.489e+02	7.544e+03	8.686e+01
2	1.901e+04	1.379e+02	5.239e+03	7.238e+01	3.416e+04	1.848e+02	8.279e+03	9.099e+01	1.772e+04	1.331e+02	4.679e+04	2.163e+02	2.082e+04	1.443e+02	6.447e+04	2.539e+02	8.617e+03	9.283e+01
3	1.926e+04	1.388e+02	5.682e+03	7.538e+01	3.461e+04	1.860e+02	8.521e+03	9.231e+01	1.736e+04	1.317e+02	4.662e+04	2.159e+02	2.203e+04	1.484e+02	6.613e+04	2.572e+02	8.949e+03	9.460e+01
4	1.960e+04	1.400e+02	6.841e+03	8.271e+01	3.491e+04	1.868e+02	8.119e+03	9.011e+01	1.720e+04	1.311e+02	4.739e+04	2.177e+02	2.192e+04	1.480e+02	6.895e+04	2.626e+02	8.592e+03	9.269e+01
5	1.920e+04	1.386e+02	7.472e+03	8.644e+01	3.513e+04	1.874e+02	8.079e+03	8.988e+01	1.699e+04	1.303e+02	4.695e+04	2.167e+02	2.259e+04	1.503e+02	6.916e+04	2.630e+02	8.670e+03	9.311e+01
6	1.901e+04	1.379e+02	7.330e+03	8.562e+01	3.532e+04	1.879e+02	7.566e+03	8.698e+01	1.699e+04	1.303e+02	4.681e+04	2.163e+02	2.237e+04	1.496e+02	6.976e+04	2.641e+02	8.454e+03	9.195e+01
7	1.887e+04	1.374e+02	7.251e+03	8.515e+01	3.594e+04	1.896e+02	7.176e+03	8.471e+01	1.685e+04	1.298e+02	4.643e+04	2.155e+02	2.237e+04	1.496e+02	7.109e+04	2.666e+02	8.327e+03	9.125e+01
8	1.858e+04	1.363e+02	7.064e+03	8.405e+01	3.573e+04	1.890e+02	7.028e+03	8.383e+01	1.653e+04	1.286e+02	4.634e+04	2.153e+02	2.225e+04	1.492e+02	7.175e+04	2.679e+02	8.477e+03	9.207e+01
9	1.754e+04	1.324e+02	8.010e+03	8.950e+01	3.451e+04	1.858e+02	7.098e+03	8.425e+01	1.694e+04	1.301e+02	4.453e+04	2.110e+02	2.226e+04	1.492e+02	7.108e+04	2.666e+02	8.320e+03	9.121e+01
10	1.729e+04	1.315e+02	7.689e+03	8.769e+01	3.455e+04	1.859e+02	6.741e+03	8.210e+01	1.662e+04	1.289e+02	4.442e+04	2.108e+02	2.180e+04	1.476e+02	7.181e+04	2.680e+02	8.061e+03	8.978e+01
11	1.697e+04	1.303e+02	7.329e+03	8.561e+01	3.527e+04	1.878e+02	6.507e+03	8.067e+01	1.655e+04	1.287e+02	4.397e+04	2.097e+02	2.224e+04	1.491e+02	6.972e+04	2.641e+02	8.113e+03	9.007e+01
12	1.664e+04	1.290e+02	6.789e+03	8.240e+01	3.546e+04	1.883e+02	6.287e+03	7.929e+01	1.623e+04	1.274e+02	4.389e+04	2.095e+02	2.216e+04	1.488e+02	7.102e+04	2.665e+02	8.142e+03	9.023e+01
13	1.696e+04	1.302e+02	6.534e+03	8.083e+01	3.576e+04	1.891e+02	6.252e+03	7.907e+01	1.593e+04	1.262e+02	4.275e+04	2.068e+02	2.163e+04	1.471e+02	6.783e+04	2.604e+02	8.186e+03	9.048e+01
14	1.695e+04	1.302e+02	5.967e+03	7.725e+01	3.628e+04	1.905e+02	6.111e+03	7.817e+01	1.581e+04	1.257e+02	4.266e+04	2.065e+02	2.166e+04	1.472e+02	6.905e+04	2.628e+02	8.179e+03	9.044e+01
15	1.708e+04	1.307e+02	5.726e+03	7.567e+01	3.640e+04	1.908e+02	6.123e+03	7.825e+01	1.584e+04	1.259e+02	4.267e+04	2.066e+02	2.151e+04	1.467e+02	6.998e+04	2.645e+02	8.322e+03	9.122e+01
