# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_5/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.050e+00	2.639e-01	1.120e+00	1.355e-01	1.185e+00	1.652e-01	9.168e-01	1.265e-01	9.732e-01	1.186e-01	9.353e-01	1.363e-01	8.032e-01	1.344e-01	9.140e-01	1.118e-01	8.819e-01	1.130e-01	1.042e+00	1.239e-01	7.871e-01	1.212e-01	1.044e+00	1.302e-01
2	1.462e+00	3.006e-01	9.979e-01	1.225e-01	9.878e-01	1.456e-01	1.133e+00	1.358e-01	9.935e-01	1.127e-01	1.154e+00	1.451e-01	9.101e-01	1.371e-01	1.052e+00	1.158e-01	1.042e+00	1.197e-01	1.051e+00	1.196e-01	9.575e-01	1.258e-01	8.710e-01	1.134e-01
3	1.154e+00	2.700e-01	1.081e+00	1.227e-01	1.064e+00	1.455e-01	1.042e+00	1.252e-01	9.128e-01	1.022e-01	9.871e-01	1.292e-01	1.142e+00	1.459e-01	8.575e-01	9.814e-02	9.033e-01	1.066e-01	9.853e-01	1.104e-01	1.078e+00	1.282e-01	1.001e+00	1.174e-01
4	1.430e+00	3.142e-01	9.828e-01	1.111e-01	1.039e+00	1.389e-01	9.396e-01	1.128e-01	1.016e+00	1.034e-01	9.689e-01	1.242e-01	1.085e+00	1.369e-01	1.063e+00	1.058e-01	9.774e-01	1.068e-01	1.126e+00	1.152e-01	9.634e-01	1.157e-01	1.149e+00	1.212e-01
5	9.855e-01	2.557e-01	9.692e-01	1.056e-01	9.347e-01	1.249e-01	9.951e-01	1.115e-01	9.826e-01	9.706e-02	9.210e-01	1.157e-01	1.020e+00	1.252e-01	1.182e+00	1.063e-01	9.431e-01	1.010e-01	1.038e+00	1.049e-01	9.747e-01	1.120e-01	1.024e+00	1.107e-01
6	7.561e-01	2.191e-01	9.852e-01	1.038e-01	1.142e+00	1.339e-01	9.835e-01	1.072e-01	1.012e+00	9.523e-02	1.139e+00	1.246e-01	1.047e+00	1.220e-01	9.127e-01	8.991e-02	8.642e-01	9.387e-02	9.896e-01	9.872e-02	1.061e+00	1.147e-01	9.549e-01	1.029e-01
7	1.388e+00	3.013e-01	1.027e+00	1.028e-01	1.081e+00	1.272e-01	8.606e-01	9.818e-02	9.379e-01	8.905e-02	9.393e-01	1.090e-01	8.855e-01	1.087e-01	1.070e+00	9.415e-02	1.114e+00	1.034e-01	9.676e-01	9.466e-02	8.908e-01	1.007e-01	1.148e+00	1.094e-01
8	1.175e+00	2.712e-01	9.786e-01	9.834e-02	1.073e+00	1.229e-01	9.423e-01	9.980e-02	1.046e+00	9.064e-02	1.121e+00	1.147e-01	1.049e+00	1.161e-01	1.065e+00	9.250e-02	9.282e-01	9.144e-02	1.003e+00	9.438e-02	9.850e-01	1.029e-01	1.080e+00	1.030e-01
9	1.171e+00	2.739e-01	9.931e-01	9.649e-02	1.026e+00	1.195e-01	1.032e+00	1.010e-01	1.040e+00	8.837e-02	1.076e+00	1.110e-01	1.116e+00	1.163e-01	1.098e+00	9.156e-02	1.053e+00	9.566e-02	9.453e-01	8.895e-02	9.759e-01	9.957e-02	9.672e-01	9.440e-02
10	1.205e+00	2.677e-01	1.030e+00	9.569e-02	9.407e-01	1.106e-01	1.081e+00	1.007e-01	1.033e+00	8.563e-02	9.402e-01	1.010e-01	1.123e+00	1.138e-01	1.004e+00	8.593e-02	1.034e+00	9.102e-02	1.077e+00	9.132e-02	1.065e+00	1.025e-01	1.048e+00	9.616e-02
11	1.163e+00	2.617e-01	9.472e-01	9.033e-02	8.983e-01	1.071e-01	9.843e-01	9.432e-02	9.860e-01	8.173e-02	9.445e-01	9.867e-02	1.025e+00	1.057e-01	9.214e-01	7.938e-02	9.622e-01	8.683e-02	9.962e-01	8.633e-02	1.010e+00	9.770e-02	1.098e+00	9.626e-02
12	1.157e+00	2.603e-01	9.687e-01	8.942e-02	1.100e+00	1.141e-01	9.873e-01	9.293e-02	1.064e+00	8.263e-02	9.649e-01	9.721e-02	1.045e+00	1.036e-01	9.419e-01	7.887e-02	9.823e-01	8.528e-02	1.004e+00	8.527e-02	1.007e+00	9.397e-02	9.723e-01	8.792e-02
13	1.180e+00	2.531e-01	1.090e+00	9.201e-02	9.755e-01	1.054e-01	1.067e+00	9.377e-02	9.827e-01	7.807e-02	9.887e-01	9.628e-02	9.349e-01	9.612e-02	1.021e+00	8.091e-02	1.028e+00	8.475e-02	1.050e+00	8.478e-02	1.071e+00	9.572e-02	9.900e-01	8.660e-02
14	1.268e+00	2.632e-01	9.668e-01	8.472e-02	1.050e+00	1.069e-01	1.033e+00	9.007e-02	1.034e+00	7.799e-02	1.086e+00	9.884e-02	9.441e-01	9.509e-02	9.162e-01	7.528e-02	9.251e-01	7.827e-02	1.078e+00	8.365e-02	1.078e+00	9.396e-02	9.060e-01	8.060e-02
15	1.013e+00	2.277e-01	1.049e+00	8.729e-02	1.079e+00	1.061e-01	9.105e-01	8.265e-02	1.059e+00	7.745e-02	1.077e+00	9.612e-02	9.730e-01	9.366e-02	1.103e+00	8.076e-02	9.166e-01	7.569e-02	1.071e+00	8.208e-02	9.765e-01	8.690e-02	9.207e-01	7.932e-02
16	9.974e-01	2.300e-01	1.180e+00	9.063e-02	9.730e-01	9.954e-02	1.070e+00	8.840e-02	1.054e+00	7.569e-02	8.915e-01	8.519e-02	9.202e-01	9.000e-02	9.897e-01	7.445e-02	9.237e-01	7.466e-02	9.957e-01	7.687e-02	1.009e+00	8.748e-02	9.425e-01	7.851e-02
17	1.189e+00	2.441e-01	9.559e-01	7.949e-02	9.980e-01	9.883e-02	1.021e+00	8.382e-02	1.120e+00	7.681e-02	1.006e+00	8.813e-02	1.091e+00	9.656e-02	1.077e+00	7.667e-02	1.008e+00	7.704e-02	1.053e+00	7.889e-02	1.164e+00	9.213e-02	1.087e+00	8.217e-02
18	1.154e+00	2.475e-01	1.010e+00	8.079e-02	1.041e+00	9.954e-02	1.025e+00	8.245e-02	1.031e+00	7.180e-02	1.014e+00	8.630e-02	1.041e+00	9.303e-02	1.051e+00	7.465e-02	1.008e+00	7.450e-02	1.007e+00	7.578e-02	1.039e+00	8.489e-02	1.004e+00	7.729e-02
