# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_5/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	5.027e-01	1.396e-01	4.041e-01	3.865e-02	3.502e-01	3.968e-02	3.440e-01	3.368e-02	3.410e-01	3.439e-02	3.430e-01	3.670e-02	3.951e-01	4.302e-02	4.056e-01	3.337e-02	3.374e-01	3.163e-02	3.562e-01	3.400e-02	3.859e-01	3.892e-02	3.224e-01	3.149e-02
2	3.895e-01	1.203e-01	3.871e-01	3.711e-02	3.967e-01	4.151e-02	3.824e-01	3.466e-02	3.452e-01	3.413e-02	3.415e-01	3.593e-02	3.531e-01	4.040e-02	4.100e-01	3.335e-02	3.803e-01	3.307e-02	3.904e-01	3.482e-02	3.845e-01	3.858e-02	3.917e-01	3.387e-02
3	4.071e-01	1.257e-01	3.785e-01	3.662e-02	3.335e-01	3.828e-02	3.296e-01	3.182e-02	4.121e-01	3.689e-02	3.468e-01	3.609e-02	3.299e-01	3.891e-02	3.915e-01	3.216e-02	3.922e-01	3.348e-02	4.024e-01	3.539e-02	3.671e-01	3.760e-02	3.570e-01	3.235e-02
4	3.782e-01	1.262e-01	3.803e-01	3.680e-02	4.205e-01	4.377e-02	3.516e-01	3.281e-02	3.872e-01	3.606e-02	3.831e-01	3.825e-02	4.424e-01	4.497e-02	3.670e-01	3.110e-02	3.931e-01	3.337e-02	3.559e-01	3.344e-02	3.642e-01	3.740e-02	3.611e-01	3.214e-02
5	2.585e-01	1.056e-01	3.243e-01	3.450e-02	3.439e-01	3.948e-02	4.305e-01	3.630e-02	3.882e-01	3.632e-02	3.786e-01	3.799e-02	3.899e-01	4.271e-02	3.992e-01	3.225e-02	3.538e-01	3.200e-02	3.941e-01	3.487e-02	3.456e-01	3.698e-02	4.096e-01	3.441e-02
6	3.919e-01	1.345e-01	3.674e-01	3.706e-02	4.062e-01	4.335e-02	4.146e-01	3.592e-02	3.951e-01	3.688e-02	3.750e-01	3.851e-02	3.613e-01	4.094e-02	4.182e-01	3.325e-02	3.879e-01	3.386e-02	3.409e-01	3.276e-02	4.020e-01	4.024e-02	3.529e-01	3.224e-02
7	4.359e-01	1.455e-01	3.700e-01	3.790e-02	3.586e-01	4.172e-02	3.745e-01	3.465e-02	3.315e-01	3.404e-02	3.505e-01	3.740e-02	4.132e-01	4.461e-02	4.137e-01	3.365e-02	3.264e-01	3.129e-02	4.415e-01	3.776e-02	3.764e-01	3.938e-02	3.740e-01	3.355e-02
8	4.222e-01	1.494e-01	3.874e-01	3.888e-02	3.891e-01	4.396e-02	3.851e-01	3.556e-02	3.524e-01	3.536e-02	3.813e-01	3.979e-02	4.102e-01	4.520e-02	3.692e-01	3.204e-02	3.621e-01	3.343e-02	3.621e-01	3.471e-02	3.488e-01	3.843e-02	3.297e-01	3.183e-02
9	3.669e-01	1.388e-01	3.564e-01	3.760e-02	4.297e-01	4.721e-02	3.343e-01	3.338e-02	3.151e-01	3.401e-02	3.673e-01	3.942e-02	3.993e-01	4.468e-02	3.508e-01	3.140e-02	3.557e-01	3.334e-02	3.821e-01	3.639e-02	3.423e-01	3.842e-02	3.443e-01	3.301e-02
10	3.388e-01	1.384e-01	3.546e-01	3.773e-02	3.623e-01	4.381e-02	3.888e-01	3.645e-02	3.555e-01	3.632e-02	3.922e-01	4.126e-02	4.054e-01	4.595e-02	3.667e-01	3.264e-02	3.898e-01	3.504e-02	4.003e-01	3.704e-02	3.569e-01	3.982e-02	3.557e-01	3.379e-02
11	5.246e-01	1.704e-01	3.672e-01	3.918e-02	3.301e-01	4.265e-02	3.787e-01	3.639e-02	3.776e-01	3.799e-02	3.645e-01	4.016e-02	4.278e-01	4.758e-02	3.956e-01	3.383e-02	3.286e-01	3.272e-02	3.826e-01	3.685e-02	3.462e-01	4.001e-02	3.816e-01	3.547e-02
12	4.543e-01	1.608e-01	3.332e-01	3.728e-02	3.841e-01	4.628e-02	3.709e-01	3.632e-02	3.704e-01	3.745e-02	4.010e-01	4.243e-02	3.504e-01	4.317e-02	3.631e-01	3.271e-02	3.845e-01	3.535e-02	3.835e-01	3.685e-02	3.391e-01	3.973e-02	4.097e-01	3.713e-02
13	3.080e-01	1.378e-01	4.065e-01	4.142e-02	3.447e-01	4.473e-02	3.648e-01	3.633e-02	3.380e-01	3.606e-02	3.579e-01	4.017e-02	4.323e-01	4.779e-02	3.838e-01	3.376e-02	3.766e-01	3.516e-02	3.741e-01	3.717e-02	3.357e-01	3.987e-02	3.941e-01	3.631e-02
14	4.468e-01	1.633e-01	3.934e-01	4.073e-02	3.892e-01	4.813e-02	3.750e-01	3.681e-02	3.486e-01	3.688e-02	3.484e-01	3.987e-02	3.959e-01	4.639e-02	4.107e-01	3.512e-02	3.791e-01	3.531e-02	3.373e-01	3.519e-02	3.593e-01	4.167e-02	4.056e-01	3.714e-02
15	3.011e-01	1.420e-01	3.448e-01	3.871e-02	3.021e-01	4.297e-02	3.736e-01	3.712e-02	3.459e-01	3.659e-02	3.814e-01	4.203e-02	3.668e-01	4.486e-02	3.452e-01	3.243e-02	3.682e-01	3.498e-02	3.321e-01	3.513e-02	3.643e-01	4.196e-02	3.808e-01	3.618e-02
16	4.034e-01	1.648e-01	3.298e-01	3.798e-02	3.742e-01	4.738e-02	3.483e-01	3.606e-02	3.908e-01	3.922e-02	3.760e-01	4.169e-02	3.555e-01	4.448e-02	3.612e-01	3.321e-02	3.380e-01	3.383e-02	3.934e-01	3.798e-02	4.130e-01	4.538e-02	3.558e-01	3.509e-02
17	4.681e-01	1.771e-01	4.083e-01	4.238e-02	3.559e-01	4.637e-02	3.800e-01	3.785e-02	3.753e-01	3.865e-02	3.872e-01	4.280e-02	3.557e-01	4.468e-02	3.753e-01	3.401e-02	3.454e-01	3.432e-02	3.614e-01	3.721e-02	4.160e-01	4.571e-02	3.728e-01	3.616e-02
18	3.717e-01	1.664e-01	3.665e-01	3.956e-02	3.758e-01	4.797e-02	3.968e-01	3.867e-02	3.745e-01	3.826e-02	3.898e-01	4.257e-02	4.202e-01	4.825e-02	3.639e-01	3.367e-02	3.900e-01	3.609e-02	3.688e-01	3.748e-02	4.369e-01	4.676e-02	3.932e-01	3.711e-02
19	3.700e-01	1.656e-01	3.627e-01	3.997e-02	3.405e-01	4.617e-02	3.652e-01	3.731e-02	3.751e-01	3.842e-02	3.245e-01	3.924e-02	3.870e-01	4.647e-02	3.688e-01	3.384e-02	3.581e-01	3.481e-02	3.891e-01	3.895e-02	3.557e-01	4.226e-02	3.947e-01	3.733e-02
20	3.959e-01	1.772e-01	3.736e-01	4.045e-02	3.415e-01	4.672e-02	3.656e-01	3.725e-02	3.896e-01	3.940e-02	3.754e-01	4.201e-02	3.810e-01	4.575e-02	3.939e-01	3.527e-02	3.535e-01	3.445e-02	3.863e-01	3.867e-02	3.759e-01	4.374e-02	3.560e-01	3.554e-02
21	3.410e-01	1.609e-01	3.815e-01	4.117e-02	4.010e-01	5.018e-02	3.827e-01	3.812e-02	4.341e-01	4.143e-02	3.657e-01	4.131e-02	3.902e-01	4.668e-02	3.906e-01	3.504e-02	3.858e-01	3.617e-02	4.080e-01	4.005e-02	4.140e-01	4.548e-02	3.620e-01	3.579e-02
22	2.728e-01	1.459e-01	3.775e-01	4.086e-02	3.751e-01	4.888e-02	3.983e-01	3.900e-02	3.544e-01	3.760e-02	3.586e-01	4.104e-02	4.385e-01	4.955e-02	3.993e-01	3.554e-02	4.007e-01	3.669e-02	3.666e-01	3.795e-02	3.020e-01	3.918e-02	3.350e-01	3.449e-02
23	6.036e-01	2.207e-01	3.875e-01	4.147e-02	3.763e-01	4.884e-02	4.012e-01	3.910e-02	3.580e-01	3.788e-02	3.888e-01	4.285e-02	4.293e-01	4.930e-02	4.052e-01	3.586e-02	3.647e-01	3.497e-02	3.121e-01	3.471e-02	3.851e-01	4.422e-02	3.677e-01	3.591e-02
24	3.981e-01	1.782e-01	3.588e-01	3.966e-02	3.219e-01	4.579e-02	3.629e-01	3.736e-02	3.596e-01	3.784e-02	3.387e-01	3.981e-02	4.175e-01	4.891e-02	3.963e-01	3.541e-02	3.909e-01	3.594e-02	4.222e-01	4.105e-02	4.192e-01	4.606e-02	3.384e-01	3.466e-02
25	1.762e-01	1.247e-01	3.700e-01	4.017e-02	3.453e-01	4.793e-02	3.696e-01	3.775e-02	3.833e-01	3.906e-02	3.770e-01	4.206e-02	3.607e-01	4.513e-02	4.174e-01	3.651e-02	3.451e-01	3.371e-02	3.788e-01	3.910e-02	3.415e-01	4.144e-02	3.844e-01	3.703e-02
